id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183374670743195648,Sensibiliser les enfants au respect de l’animal est un enjeu majeur ! [LIEN] via @30millionsdamis,Sun Oct 13 13:31:22 +0000 2019,Agnès Django,787347135297687552,4,1
1183339488384372736,"En me promenant dans mon jardin, je vois de l'autre côté, à 80 cm de ma clôture, une patte de sanglier... bienvenue à #Romorantin, ville de #Sologne. Qui l'a déposée là ? Reste de chasse ? Écœurant.  @30millionsdamis  @onevoiceanimal  @LigueDesAnimaux @PartiAnimaliste [LIEN]",Sun Oct 13 11:11:34 +0000 2019,Florence Chps,182810533,8,7
1183338104041680897,"🐶Chaque année, des milliers de #chiens et de #chats sont abandonnés sur le bord des routes. L’abandon d’un animal est toutefois passible de sanctions. 🐱 Quelles sont les sanctions❓@30millionsdamis
➡️ [LIEN] [LIEN]",Sun Oct 13 11:06:04 +0000 2019,DemarchesAdministratives.fr,4015733603,3,3
1183336328441794562,"[#RSI2019]
Joker, 5 ans chien policier spécialisé dans la recherche des stupéfiants. Après une séance de travail il joue avec son maître.
@30millionsdamis 
@PoliceNationale 
@AmiensMetropole 
@Abbeville_Somme [LIEN]",Sun Oct 13 10:59:00 +0000 2019,Police nationale 80,1106124475471446016,39,4
1183315154852810752,Traiter un animal atteint de cancer : un parcours du combattant ? [LIEN] via @30millionsdamis,Sun Oct 13 09:34:52 +0000 2019,Elisabeth-Anne Servais,59430942,8,1
1183254415010082816,"La #SpaDesBaux est de nouveau sans moyen de communication. Elle se bat contre @orange pour leur faire comprendre la nécessité d’avoir une ligne fiable, le réseau portable ne couvrant pas cette zone. 
Partagez !
@30millionsdamis @FBB_Com [LIEN]",Sun Oct 13 05:33:30 +0000 2019,Emmanuel FOUQUART,4507234275,4,3
1183129180499779585,"#StatutJuridiqueAnimal - #Droitsdesanimaux Vous aussi, avec @30millionsdamis, signez la #pétition pour la reconnaissance de la personnalité juridique de l’animal. [LIEN] via @30millionsdamis",Sat Oct 12 21:15:52 +0000 2019,ZeiDen 2.0,931450021106634752,10,6
1183127701302976520,Je viens de tomber sur cette horreur sur Facebook... Ce genre de vente ne devrait pas exister. @30millionsdamis @L214 @LigueDesAnimaux [LIEN],Sat Oct 12 21:10:00 +0000 2019,📺 SerieGeeker 🤫,635607603,0,0
1182985028562833408,Sérieusement ? Ça a sa place sur Twitter ça ???? Quel fdp ce mec à faire ça!  Signaler fort svp @PoliceNationale  @FBB_PORTEPAROLE @30millionsdamis @PETA_France @SNDAnimaux [LIEN],Sat Oct 12 11:43:04 +0000 2019,MIA,766915512794316800,1,0
1182950396345618437,Est ce normal que 3 chiens soient gardés par des gens qu’ils ne connaissent absolument pas que leur maitre les abandonne à des inconnus pdt qu’ils pavanent sur des plateaux tv? @30millionsdamis @SPA_Officiel #berdah #nabilla #LMvsMonde4 #LaBatailleDesCouples2 #LBDC2 [LIEN],Sat Oct 12 09:25:27 +0000 2019,laféedodo,995954143058628608,2,0
1182946066003628032,Rando matinale ce matin et sauvetage d'une buse qui a eu la délicatesse de pas m'arracher un doigt pendant que je sortais son aile percé par un crochet du barbelé! @30millionsdamis @LigueDesAnimaux [LIEN],Sat Oct 12 09:08:14 +0000 2019,NGN,1142387742996873217,197,27
1182942670383144960,"Je confirme 😢
Traiter un animal atteint de cancer : un parcours du combattant ? [LIEN] via @30millionsdamis",Sat Oct 12 08:54:45 +0000 2019,Crissara ☮️☯️🏳️ #FHteam 🇪🇺,230785712,4,1
