id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183393528195567632,Dis donc @ouisncf ! Tu nous prendrais pas pour des débiles ? Même prix pour des billets en appliquant ou non un code de réduction G30 (remboursement lié à un retard) ?? C'est scandaleux... va falloir s'expliquer ! @60millions @SNCF #SNCF [LIEN],Sun Oct 13 14:46:18 +0000 2019,Byothe.fr 🌐👨‍💻📰🚲,55503008,0,0
1183353006156320768,J'ai payé 120 euros pour la suite Office. Et avec la dernière MAJ Apple Catalina : 1) Ca ne marche plus. 2) Je dois passer à la caisse 3) Sous forme d'abonnement. C'est non et c'est de l'extorsion. @60millions @Apple @Microsoft,Sun Oct 13 12:05:16 +0000 2019,Des Jours sans nuit,215997528,0,0
1183330654941057025,"👍 Aidez ""60 Millions de Consommateurs"" (@60millions) à lancer son appli citoyenne d'information des consommateurs sur leurs produits du quotidien ! 

#financementparticipatif

[LIEN]",Sun Oct 13 10:36:28 +0000 2019,Consommons Sainement - Aline Gubri,705414330917978113,3,1
1183261426892320769,Hey @free pourquoi mon debit internet est de 3Mb/s en down et 2Mb/s en up avec un ping de 93ms quand je paie pour 10Mb/s en down ? Et la TV est NOK @Freebox merci de MP @AnthonCorreia. @60millions que faire ? #ADSL #MerciFree #SpeedTest,Sun Oct 13 06:01:22 +0000 2019,Un abonné free,1161809606005403649,1,0
1183109521318780936,Quand avant d’emménager ton technicien @SFR te dit que tout est OK sans avoir vu ton matériel et que quand tu emménage rien de marche et que la seule solution du service client est de payer une intervention 120€ #Cimerlarnaque #adeuxdoigtsderesilier @UFCquechoisir @60millions,Sat Oct 12 19:57:45 +0000 2019,Julaïe,58245919,0,0
1183086496301092869,Dites @geant_casino vous savez que votre offre n’est pas honnête ? #venteforcee @UFCquechoisir car nulle part vous mentionnez que le bon d’achat offert n’est valable qu’a partir... de 120€ d’achat ! C’est plutot bien joué @60millions [LIEN],Sat Oct 12 18:26:16 +0000 2019,Guillaume Tardieu,2419470883,2,1
1183032813009985537,"Salut @Opodo_FR, quand je prends des billets d'avion pour mes parents, que je paie une option ""annulation toute cause"" et que tu me dis que l'annulation gratuite est impossible ""parce que la compagnie a changé les horaires du vol"", tu me fais une blague, hein ? cc @60millions",Sat Oct 12 14:52:56 +0000 2019,Romain Beaucher,57457309,2,1
1183028010661888002,"-&gt; rien ne remplace les fruits et légumes
via @60millions [LIEN]",Sat Oct 12 14:33:51 +0000 2019,BaTaTa,2475736579,0,0
1183025749311315969,C’est comment @bouyguestelecom ?! 🤬 Une semaine que nous avons plus internet à la maison ! On nous ballade de services en services AUCUNES PROPOSITIONS CONCRÈTES pour notre panne ! Et apparement on repartirai encore pour une semaine supplémentaire ! Inadmissible ! @60millions,Sat Oct 12 14:24:52 +0000 2019,🦊,1903627165,0,0
1182746575317192705,"Bonsoir @PierreFabre, le liquide provenant du broyage du corps séché de la femelle d'un insecte est-il réellement nécessaire dans la composition des solutions pour les bains de bouche #Eludril ? @60millions [LIEN]",Fri Oct 11 19:55:32 +0000 2019,Jonathan R.,2366149885,0,0
1182726871798169603,"« #CodeOnline Food, l’information produit sourcée des marques » @SAFThinkTank @Le_Demeter @sebastien_abis @GS1France @RNumerique @francois_deprey @Herve_Pillaud @FNSEA @CoopdeFrance @ANIA_FRANCE @FCDfrance @Min_Agriculture @60millions @UFCquechoisir [LIEN]",Fri Oct 11 18:37:14 +0000 2019,Paul Bounaud,1433403992,5,4
1182725262712147969,11/10 @darty service garantit ? mais @DartySav servie non garantit. Une bbox prise le 28 Aout toujours pas opérationnelle. Merci M. @EnriqMrtz  @AFUTT_fr @60millions @UFCquechoisir,Fri Oct 11 18:30:51 +0000 2019,Patryck,622929839,0,0
1182712131822739456,"💊 Selon le syndicat national des compléments alimentaires (@Synadiet), l’analyse publiée dans le hors-série de @60millions occulte totalement les consommateurs et le bénéfice qu’ils tirent de l’utilisation des #ComplémentsAlimentaires. Via @leQPH_fr 
[LIEN]",Fri Oct 11 17:38:40 +0000 2019,Pierre Pérochon,851037279300800512,0,0
1182695443148480513,"Attention aux compléments alimentaires, notamment pour les enfants . Une enquête de @60millions relayée sur [LIEN] @VirginieFaurou1  [LIEN]",Fri Oct 11 16:32:21 +0000 2019,Corinne Longuet,462072909,1,0
1182681978308612096,"""Au mieux inutiles, au pire dangereux"": @60millions (de consommateurs) met en garde contre l'usage de #compléments #alimentaires cc @AcademieMed @AcadPharm [LIEN] via @BFMTV",Fri Oct 11 15:38:51 +0000 2019,Guillaume de DURAT,34594366,2,0
1182658151218327554,"► Compléments alimentaires : un danger pour la #santé ? 

Christelle Pangrazzi, rédactrice en chef adjointe des hors-séries du magazine @60millions de consommateurs, répondra aux questions de @melanietaravant.

 📺Rendez-vous à 17.30 sur @France5tv ! #cadire [LIEN]",Fri Oct 11 14:04:10 +0000 2019,C à dire - France 5,802748718,3,1
1182647240806031361,"Etre apporteur d’affaires et #particulier, c'est compatible 👍🚀 Retrouvez dans notre article toutes les explications pour vous lancer ou, si vous êtes une #entreprise, pour les solliciter : [LIEN] @LEntreprise @Actionco_fr @Challenges @LeMondeEcoEnt @60millions [LIEN]",Fri Oct 11 13:20:49 +0000 2019,First2trade,970622134237179904,0,0
1182623091991760897,"Bonjour @60millions
 c'est normal de toujours voir la publicité @commejaime encore maintenant sur TVBreiz avec la semaine gratuite ?
@dgccrf  ??",Fri Oct 11 11:44:51 +0000 2019,𝕁é𝕣ô𝕞𝕖 ℂ𝕒𝕡𝕕𝕖𝕧𝕚𝕖𝕝𝕝𝕖 🇫🇷🏳️‍🌈,526905809,0,0
1182614822342426626,"Mise en garde de @60millions contre les compléments alimentaires : en 2009, ils étaient déjà montrés du doigt 💊 #ComplémentsAlimentaires #Santé [LIEN]",Fri Oct 11 11:12:00 +0000 2019,Ina.fr,14430936,24,25
1182608620116234240,"La Société des journalistes de “60 Millions de consommateurs” a été créée durant l'été 2019. Elle rassemble à ce jour la quasi-totalité des membres de la rédaction de @60millions.

Ses missions :
- préserver l'indépendance des journalistes et des médias de 60 Millions ;",Fri Oct 11 10:47:21 +0000 2019,SDJ60,1181943741277523968,0,0
1182601736139051008,"💊Compléments alimentaires : pilules miracle - placebo ou même danger ? L'efficacité n'est pas toujours prouvée.
#ComplementAlimentaire #Sante @60millions 
Explications ⤵️
[LIEN]",Fri Oct 11 10:20:00 +0000 2019,consoGlobe.com,61148972,0,1
1182600149576704001,"60 millions de consommateurs : comment se faire rembourser après les faillites ? 💵
#thomascook #xlairways #aigleazur #amoma 
@60millions
[LIEN]",Fri Oct 11 10:13:41 +0000 2019,L'Echo Touristique,16631496,0,0
1182591220889145344,En fait @CompteNickel c’est bien jusqu’au jour où il vous arrive une opération frauduleuse. Et la ils vous prennent pour des cons. Ils ignorent la loi et refusent tout discours. @60millions,Fri Oct 11 09:38:13 +0000 2019,Trotanoy,547498823,0,0
1182589304071213057,"⚠️Scandale ⛔️#Compléments Alimentaires 👎 Inefficaces voire toxiques mais maxi profits pour les labos ! « Il n y a aucune réglementation malgré des dangers réels de surdosage, les additifs toxiques, le défaut de notification des effets secondaires... » @60millions [LIEN]",Fri Oct 11 09:30:36 +0000 2019,Claude Corse,2698861838,2,0
1182555983551356930,"Compléments alimentaires: sont-ils nos ennemis ? 

#ComplementAlimentaire #sante #consommation #surdosage @60millions 
&gt; [LIEN] [LIEN]",Fri Oct 11 07:18:11 +0000 2019,Quotidien Libre 🇪🇺,734413693820252161,0,0
1182553311284793345,"À 10h35 en direct dans #MorandiniLive

💊Compléments alimentaires : c’est l’enquête de @60millions et @christellepang6 
📖@JLMelenchon veut faire interdire un livre. Le point avec @Simonmarty2018
⛔️Interdire les corridas au -16 ans ? Débat entre @cl_starozinski et @mandygraillon [LIEN]",Fri Oct 11 07:07:34 +0000 2019,Morandini Live,3915556043,10,7
1182530231221063680,"9e jour sans internet. La #Freeboxdelta a l'air géniale, dommage que @free ne fournisse pas le flux internet @UFCquechoisir @60millions @dgccrf @Xavier75 [LIEN]",Fri Oct 11 05:35:52 +0000 2019,TT,121775246,0,0
1182374110204223489,"Bravo @60millions pour votre analyse sur les compléments alimentaires. Inutiles, toujours et dangereux parfois !",Thu Oct 10 19:15:29 +0000 2019,Laurence Coiffard,841308274519605250,6,4
1182362616787853313,"Philou
Constantin
Olivier
Alex
et ts les sociétaires
Oui
on est fiers
On consomme
autrement !

4 € de + par an
En buvant 50 litres de lait/an
(en moyenne)
1 #conso
permet au producteur de lait
#CQLP
de mieux vivre

Buvons le lait
@C_qui_le_Patron
noté le meilleur
par @60millions [LIEN]",Thu Oct 10 18:29:49 +0000 2019,isa,2969683938,1,1
1182330040345907200,"Rhume, fatigue, gastro... les compléments alimentaires ""inefficaces voire dangereux"", selon @60millions [LIEN]",Thu Oct 10 16:20:22 +0000 2019,actu.fr,821768392113848321,0,3
1182326730566049793,"Une nouvelle alerte de @60millions [LIEN]
[LIEN]
#santef5 #complementsalimentaires",Thu Oct 10 16:07:13 +0000 2019,Allodocteurs,94585213,9,1
1182326210770214913,"Dans son hors-série paru ce jeudi 10 Octobre, la magazine 60 millions de consommateurs met en garde contre l'usage des compléments alimentaires. Lesquels sont utiles et efficaces ?
#bienêtre #nutrition #santé @60millions 
&gt;&gt; [LIEN] [LIEN]",Thu Oct 10 16:05:09 +0000 2019,Madame Figaro,21396868,2,1
1182319973299040258,"Bonjour @EDFofficiel  ""provisoire"" depuis juillet on est en octobre, pas sécurisé, hyper dangereux et sur le chemin d'une école. Le foutage de gueule est aussi provisoire ? @VilleMaurepas  @GGarestier @60millions @sqy @LeParisien_78 @78actu [LIEN]",Thu Oct 10 15:40:22 +0000 2019,S.e.b,3182539995,1,0
1182317435980046337,"""L'INFO DIFFÉRENTE"" vous informe que l'association
"" @60millions de consommateurs"" a besoin de vous pour lancer son «#Yuka».

L'association lance son projet d’#appli citoyenne pour informer le consommateur de la #toxicité des produits.

 [LIEN]",Thu Oct 10 15:30:17 +0000 2019,Vivre FM,100170912,1,1
1182315896884387840,"""L’éclairage du  choix  du  consommateur, à travers une information indépendante et claire, et l’amélioration de l’environnement alimentaire""
👏 ex. : [LIEN]

@RACFrance @60millions [LIEN]",Thu Oct 10 15:24:10 +0000 2019,Fabrice Coiscaud,2308415113,4,0
1182315673768415232,"Dites @60millions, je n'ai pas lu l'article papier, mais cette info sur la possible nocivité de la vitamine #B12 en surdose, elle sort d'où ?
Parce que l'AFSSA en 2004 et 2009 était très claire : AUCUN risque de toxicité. ⤵️
#végétarien #végétalien #végan
[LIEN] [LIEN]",Thu Oct 10 15:23:17 +0000 2019,🥝🥕 KVal 🐰🐶,2799992720,2,1
1182300440853176320,"Sévère réquisitoire de @60millions contre les compléments alimentaires de l'hiver.

[LIEN]",Thu Oct 10 14:22:45 +0000 2019,Alceste au féminin,2684774340,1,1
1182293440358473735,Le magazine @60millions a passé au crible 120 compléments alimentaires parmi les plus vendus en hiver. [LIEN],Thu Oct 10 13:54:56 +0000 2019,Quotidien Pharmacien,2791204396,2,4
1182275680874176513,".@60millions de Consommateurs lance son application qui scanne et analyse nos achats et nous aide à faire les bons choix pour notre santé et l'environnement ! 💪😍

►[LIEN] [LIEN]",Thu Oct 10 12:44:22 +0000 2019,KissKissBankBank,117407010,2,0
1182275210604617728,"Apparemment c'est habituel chez @InfoAbonneCanal @canalplus @canal
Ils se foutent du monde

@60millions
@union_conso
@UFCquechoisir
@consom
@gouvernementFR 
@SignalArnaques 
@Signalert [LIEN]",Thu Oct 10 12:42:30 +0000 2019,Sondages libres,950082995121213440,0,0
1182270577568026624,"Inefficaces voire dangereux, les compléments alimentaires critiqués dans enquête ""⁦@60millions⁩ consommateurs"" Souvent distribués par #MLM nouvelle forme de #sectarisme mise en péril adeptes régimes /pseudo alimentation saine #fakenutrition #fakemed [LIEN]",Thu Oct 10 12:24:05 +0000 2019,GEMPPI Limousin Auvergne,1060516335434809344,0,3
1182265484877676545,Dites @oorgarden vous êtes justes des amateurs ou bien des escrocs ? Non parce que j'ai un sérieux doute là...  @UFCquechoisir @60millions,Thu Oct 10 12:03:51 +0000 2019,♠️Timagno🇨🇵⭐⭐🇨🇵,131224647,0,0
1182252440449687552,"Attention aux compléments alimentaires. Ils sont souvent inefficaces, voir dangereux.
#complémentsalimentaires
#santé Via @FranceTVInfoFR
et @60millions
[LIEN]",Thu Oct 10 11:12:01 +0000 2019,Fred Parel,2978358718,1,0
1183407429356310532,"Comment mieux informer la population de la toxicité des produits ? La solution c'est une initiative @60millions pour lancer une appli conso via une campagne de financement participatif. Rdv pour tout savoir lundi @EAssayag @Europe1 
C'est la France qui bouge !",Sun Oct 13 15:41:32 +0000 2019,Raphaëlle Duchemin,314049466,1,0
