id,text,date,user,user_id,favorite_cnt,retweet_cnt
1182992775815553025,Utile ces putains de prospections commerciales que j'ai pourtant expressément demandé l'arrêt ! @CitroenFrance @DS_fr @Citroen . Est-ce que l' @Arcep pourrait jouer son rôle et leur coller une petite amende pour utilisation non autorisé de données a caractère personnel ? [LIEN],Sat Oct 12 12:13:51 +0000 2019,Sébastien (Athar) M.,2199305467,0,0
1182928675588706304,14 jours et .@free ne nous a toujours pas rétabli le service. Cc @Arcep [LIEN],Sat Oct 12 07:59:08 +0000 2019,Sebastien Priollet,19913735,0,0
1182377520173375488,"Mouais, déçu de la 4G Box de @bouyguestelecom, ça fait 3 semaines que le débit est lamentable en journée et le soir, on est loin des 10x plus rapide que l'ADSL... @Arcep  [LIEN] [LIEN]",Thu Oct 10 19:29:02 +0000 2019,Miguel Moreno,90616938,0,0
1182325832326533126,"#TraduisonsLes Une collectivité locale en est rendu à payer une entreprise privée pour faire des mesures pour faire pression aux opérateurs m
L’@Arcep et l’@anfr servent a quoi si les collectivités locales n’exploite pas leurs données [LIEN]",Thu Oct 10 16:03:39 +0000 2019,Dorian,848991179874209792,1,0
1182325042346151936,Un format assez cool d’une table ronde! Posée sur mon canapé j’assiste à une session de débat sur le #TechForGood avec @cedric_o @ovh_fr @Arcep @_GRK @oliviersichel. @Bpifrance #InnoGeneration 👏🏼❤️ [LIEN],Thu Oct 10 16:00:31 +0000 2019,✨Asma Fendri,983342870554972160,1,0
1182303868841058304,"Aujourd’hui, @BouyguesTelecom entame quatre expérimentations 5G supplémentaires en France. Nous sommes ravis de la décision de @Arcep de nous autoriser à les réaliser dans la bande de fréquences 26 GHz. C'est ainsi que nous allons contribuer à inventer les usages de demain.",Thu Oct 10 14:36:23 +0000 2019,Jean-Paul ARZEL,1916397391,57,31
1182268924274118656,Dis @orange on fait comment dans ce cas ? Aucune éligibilité. Genre pour une PME de 10 personnes quand même… cc @Arcep @sorianotech [LIEN],Thu Oct 10 12:17:31 +0000 2019,Jérôme Nicolle,195496982,2,0
1182213090387075072,📣L’@ARCEP a lancé un appel à projet pour identifier les usages de la #5G. Le projet de #smartcity de Bordeaux Métropole en partenariat avec @bouyguestelecom a été retenu. En savoir plus ➡️ [LIEN] [LIEN],Thu Oct 10 08:35:39 +0000 2019,Bouygues Telecom Entreprises,532451133,5,8
1182192971032256513,"Laissez-moi deviner pour la Livebox 5: on peut se brosser pour le mode bridge. Et pendant ce temps l'@arcep
 pivote sur sa chaise au sujet de la neutralité technologique des équipements de terminaison du réseau. #CestPasMoiCestLeBerec &gt;:(",Thu Oct 10 07:15:43 +0000 2019,Isithran,252136468,3,0
1182173937028997121,Merci @Arcep ! [LIEN],Thu Oct 10 06:00:04 +0000 2019,Ludovic Subran,529499961,0,0
