id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183425592370311169,"Bien sûr, ça peut aussi intéresser les syndicats (@CgtTuifrance) qui sont également victimes de répression, ou les ONG (@attac_fr, etc.) [LIEN]",Sun Oct 13 16:53:42 +0000 2019,Alexandre Chauvin - conférencier gesticulant,841594742886535169,2,2
1183411129780965376,"Tiens, pas un mot de nos écologistes  @ExtinctionR #giletsjaunes @attac_fr @EELV @EuropeEcologie
@yjadot sur l'échouage d'un cargo dans une réserve maritime malgré le scandale des faits. Ils sont plus occupés à pourrir les rues et à noircir des murs.
Rappel pour le cargo 1/2 [LIEN]",Sun Oct 13 15:56:14 +0000 2019,Caroline Titi,1083935271278792704,5,2
1183396478313738241,"105 p. solides, avec contribution de @Mathilde_Dupre_ également, qui font échos aux travaux, campagnes et actions en cours de @transnationales @ccfd_tsolidaire et @attac_fr notam. #reprenonslepouvoir #BindingTreaty #StopImpunite @Greg_Niaudet @swannbom @MaximCombes [LIEN]",Sun Oct 13 14:58:01 +0000 2019,Jean Vettraino,1354441166,3,0
1183384340404867073,"#StopImpunite #HorsService @attac_fr 
Dans le cadre de la campagne nationale menée contre les multinationales,  une action menée ce matin à Concarneau contre #Amazon #BNP. #Total à suivre ...",Sun Oct 13 14:09:47 +0000 2019,Attac Concarneau,964196840039165952,0,3
1183364763843215363,"🛢 Les militants @attac_fr ont aspergé de gouache noir le siège de #Total, ce samedi, pour lutter contre «l'impunité» des multinationales 👇 [LIEN]",Sun Oct 13 12:52:00 +0000 2019,Le Figaro,8350912,61,26
1183362818323730435,"Des citoyens et des militants de @actionclimat75 @greenpeacefr @Youth4Climatefr @attac_fr se sont mobilisés samedi 21 septembre avec des ""gilets jaunes"" et des syndicats lors d'une marche pour le climat à Paris.

Voici le reportage que j'ai réalisé.
[LIEN]",Sun Oct 13 12:44:16 +0000 2019,Marie Boetti,3815471775,1,0
1183345320765329409,Tiens ce matin l’Amazon Locker de Rosny2 #HorsService #StopImpunite @attac_fr :D [LIEN],Sun Oct 13 11:34:44 +0000 2019,Exoriel,1465342212,3,1
1183323680589434880,Le témoignage est à lire ABSOLUMENT. C'est pour cela qu'il faut changer le système... @cdion @FondationNH @NicoleFerroniZe @N_Hulot @CaronAymericoff @attac_fr @Poulin2012 @ManonAubryFr @GMeurice @atterres @EstherBenbassa @IanBrossat @mbompard @GaccioB [LIEN],Sun Oct 13 10:08:45 +0000 2019,Domarie 🌻,481520152,0,0
1183287770602758144,Brétigny-sur-Orge : action @gj et @attac_fr contre @AmazonNewsFR pour une justice fiscale qui n’exonère plus les multinationales les plus destructrices de payer leur impôt dans les lieux qu’elles exploitent et saccagent [LIEN],Sun Oct 13 07:46:03 +0000 2019,Keith Schya,942093542817763329,0,0
1183282555262525441,Paris : des militants d' @attac_fr peignent en noir le siège de @Total. [LIEN],Sun Oct 13 07:25:20 +0000 2019,Amis de la Terre VB,819274390743502859,1,0
