id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184530899121135617,"Merci à @Raphaelle_O
de nous avoir donné l'opportunité de parler de nos projets de recherche sur le plateau de @tv7bordeaux ! 
@maude_wagner2
@univbordeaux
@Inria_Bordeaux

Vous pouvez revoir notre interview sur: [LIEN] via @tv7bordeaux",Wed Oct 16 18:05:48 +0000 2019,Floriane Gidel,1174658215713394694,0,0
1184529382423040002,Rentrée plateforme #SimBA ⁦@univbordeaux⁩ ⁦@CHUBordeaux⁩ ⁦@ARS_NAquit⁩ ⁦@universitelaval⁩ #debreffage [LIEN],Wed Oct 16 17:59:46 +0000 2019,Rogues Anne-Marie,3226954522,0,1
1184523414347931651,"Soirée  autour de Simba, la plate forme de simulation en santé de @univbordeaux @CHUBordeaux a destination de Tous les pro de santé avec Jl Pellegrin, E Rivière et @yannbubien @NvelleAquitaine [LIEN]",Wed Oct 16 17:36:04 +0000 2019,Françoise Jeanson,3013311951,5,2
1184523271204671491,Le centre de simulation SIMBA du @CHUBordeaux et de @univbordeaux : un centre de formation d’avenir pour les professionnels de santé de @BxMetro et de @NvelleAquitaine avec @PhilippeMorlat @caimadja @jeromeleleu @ARS_NAquit @fjeanson1 [LIEN],Wed Oct 16 17:35:29 +0000 2019,yann bubien,176733680,17,5
1184523189503827968,Mon frigo est peut être vide et mon compte en banque aussi et en plus je suis terriblement seul et triste et personne ne m’aime mais au moins je peut emprunter les tomes de Berserk à la BU merci @univbordeaux,Wed Oct 16 17:35:10 +0000 2019,Ben,2938467903,2,0
1184521027981893633,La rentrée de simba @univbordeaux avec @yannbubien / « la formation d’avenir favorisant l’interdisciplinarité » [LIEN],Wed Oct 16 17:26:35 +0000 2019,Jarthur Micoulaud 〽️,213842518,2,0
1184520266564722693,Maxence COMPAGNAT @LaboHavae @unilim présente ses travaux sur l’actimetrie et validation des capteurs portés chez les patients post AVC lors de la 1ère soirée scientifique de l’IUSR de @univbordeaux,Wed Oct 16 17:23:33 +0000 2019,Daviet Jean-Christophe,1183082881847087107,2,2
1184515331022299136,"Début de la soirée IUSR avec en première présentation @MatthieuGMN qui nous présente ses travaux sur les prothèses myoelectriques. 

@univbordeaux @Neuro_Bordeaux [LIEN]",Wed Oct 16 17:03:56 +0000 2019,Chauvin thomas,795053630,1,1
1184513463378436096,Thaïs Dabadie lauréate du concours photos étudiant @VU_Pessac élève en 4A @ScPoBx reçoit ses prix des mains du directeur @YDeloye en présence de @fsztark adjoint au maire de Pessac. [LIEN],Wed Oct 16 16:56:31 +0000 2019,Sciences Po Bordeaux,2841968733,8,4
1184510458054823937,Remise des prix du concours photos organisé par @Villedepessac à l’occasion des @VU_Pessac . Expo dans le Hall de @ScPoBx . @fsztark et ses collègues représentants de @RaynalPessac maire de Pessac sont accueillis par @YDeloye directeur @ScPoBx [LIEN],Wed Oct 16 16:44:34 +0000 2019,Sciences Po Bordeaux,2841968733,6,1
1184510295013765120,"J’ai le mien... et vous ?? #histoire #bordeaux ⁦@Cemmc33⁩ ⁦@UBMontaigne⁩ ⁦@hvelascograciet⁩
Et avec que des auteurs de talent!! 💪 [LIEN]",Wed Oct 16 16:43:56 +0000 2019,Caroline Le Mao,2183652088,21,10
1184500956165234688,"Il est bien beau de leur rendre hommage sur les réseaux sociaux mais la première marque de respect et de considération serait de leur faire SIGNER UN CONTRAT et de les PAYER pour le travail fait. 

#STOPmepris #AESH @acbordeaux [LIEN]",Wed Oct 16 16:06:49 +0000 2019,SNFOLC33,977215796505137152,4,2
1184500621950492678,"Dès demain et jusqu'à lundi s'installe le village des 80 ans du CNRS, place du Forum à #Talence. 5 jours pour découvrir ou re-découvrir l’étendue des activités des 49 unités de recherche du @CNRSAquitaine et de ses partenaires :
[LIEN] #80ansCNRS [LIEN]",Wed Oct 16 16:05:29 +0000 2019,Université de Bordeaux,91130731,7,4
1184500553100996609,"#Business #trip organisé à @MeukowCognac pour nos étudiants #DU affaires économiques / Passerelle /CEEF 
Une belle découverte pour nos étudiants @univbordeaux [LIEN]",Wed Oct 16 16:05:13 +0000 2019,Bertrand Blancheton,3499147876,2,0
1184497883602706434,Licence de journalisme territorial en formation continue [LIEN] via @UBmontaigne,Wed Oct 16 15:54:37 +0000 2019,Myriam Bahuaud,837451644,0,0
1184488315820695556,"✈️Suivez le carnet de recherches d'Hélène Crombet, chercheuse en Info. Communication (@LelabMICA - @UBMontaigne) qui va tester la notion d’ilinx, (""jeux susceptibles de provoquer un véritable tournis, un frisson voluptueux"") lors d'un vol en impesanteur ! [LIEN] [LIEN]",Wed Oct 16 15:16:35 +0000 2019,U Bordeaux Montaigne,154462399,5,1
1184486588056817664,"Avec la combinaison que je porterai demain matin dans le cadre du vol en impesanteur. Excitation (et ""légère"" anxiété). Merci beaucoup à l'@OdE_CNES , j'ai beaucoup de chance de participer à cette résidence de recherche.
@LelabMICA @UBMontaigne @MSHAquitaine [LIEN]",Wed Oct 16 15:09:43 +0000 2019,Hélène Crombet,250549911,4,0
1184477918690529282,"Bonjour @univbordeaux : est-ce que l'on peut assister à des colloques, séminaires, cours du soir au sein de Bordeaux-III notamment sans avoir le statut d'étudiant ? Lorsque j'étudiais à BX-III c'était la cas. Si oui, où sont la liste de ses événements ? 
Merci",Wed Oct 16 14:35:17 +0000 2019,Hello,4724519656,0,0
1184477242996465664,Restitution projet @ErasmusplusFR Learn @acbordeaux rassemblant des enseignants 1er degré cycle 3 écoles REP et REP+ ayant réalisé un stage linguistique en Europe. Un réel enthousiasme pour les opportunités offertes par le programme E+ [LIEN],Wed Oct 16 14:32:35 +0000 2019,Dareic Bordeaux,436592272,8,2
1184467199907549185,"En rendez-vous cet après-midi avec l'@univbordeaux. 

Au programme : 

➡️Etat des lieux sur l'intégration universitaire des IFSI
➡️Accès aux services universitaires pour les IFSI délocalisés
➡️Droit de vote des ESI
➡️Déploiement de la pratique avancée [LIEN]",Wed Oct 16 13:52:41 +0000 2019,Margot Sauvestre,1043067381466247168,1,0
1184466122810114049,Colloque sur la révocation populaire des élu.e.s à @univbordeaux : c’est parti ! Rendez-vous au PJJ place Pey-Berland [LIEN],Wed Oct 16 13:48:24 +0000 2019,CERCCLE Université de Bordeaux,1083409146278494209,8,3
1184465424987119616,Plein soutien de @ScPoBx et de ses personnels @LaboratoireLAM @CEDurkheim à nos collègues et ami(e)s du @CERI_SciencesPo @ScPoResearch [LIEN],Wed Oct 16 13:45:38 +0000 2019,Yves Deloye,3336179487,14,6
1184464555524722689,[Journée d'étude] 18/10 | Les enfants français de Syrie.  @univbordeaux @cerccle @cerfap [LIEN] [LIEN],Wed Oct 16 13:42:10 +0000 2019,Droit international,973637409610129408,2,1
1184450921025150978,Une thématique d’actualité à aborder certainement aussi sous l’angle scientifique @CNRS @CNRSAquitaine ...avec le GDR CNRS Sport et Activité Physique dans le cadre de l’axe 4 Facteurs Sociétaux?🙂 [LIEN],Wed Oct 16 12:48:00 +0000 2019,Alexis Gallice,1083043152838168583,0,0
1184448206018666496,Demain &gt; 🚕🚌🚎🛵🏍️🚲🛴🚦Journée simulation dynamique de trafic à  #Talence @CeremaCom @Ifsttar @BordeauxINP  @DigitAqui #simulation #transport [LIEN] @_ITSFr #ITS,Wed Oct 16 12:37:12 +0000 2019,TOPOS -ITS,1020237056755355648,2,1
1184446326332899329,"Nouvelle expérience en immersion pour les étudiants M1 #postgraduate de @kedgebsBDX qui après avoir élaboré des scénarios #SupplyChain pour lutter contre le dérèglement climatique, ont testé l'escape game @GaiacticaNet pour travailler sur la transition climatique @AmabilePhilippe [LIEN]",Wed Oct 16 12:29:44 +0000 2019,Isabelle,1079837984,3,3
1184442994923102214,Les étudiants internationaux en business trip chez meukow à cognac @univbordeaux @GREThA5113 [LIEN],Wed Oct 16 12:16:30 +0000 2019,Bertrand Blancheton,3499147876,2,0
1184436324830330885,"A 14:00, Olivier le Deuff @neuromancien, Jean David, @arthurperret et Clément Borel @clemB de l'équipe MICA  @UBMontaigne présenteront  l’Otletosphère et le projet  @HyperOtlet. @AgenceRecherche #H2PTM19 [LIEN]",Wed Oct 16 11:50:00 +0000 2019,Laboratoire ELLIADD,1154306586694868993,3,2
1184434494624993280,"17-19/10 Colloque ""Le #possible et le #nécessaire : domaines #conceptuels et expressions de la #modalité""  co-organisé par les labo ALTER de @universite_uppa, CeLiSo de @Sorbonne_Univ_ et CLIMAS de @UBMontaigne [LIEN] [LIEN]",Wed Oct 16 11:42:43 +0000 2019,Université de Pau et des Pays de l'Adour (UPPA),214819961,1,0
1184432753925918720,"Un portrait inconnu de Madame Lavoisier, découvert dans les fonds de la bibliothèque de l'@univbordeaux, entre deux pages.

[LIEN]",Wed Oct 16 11:35:48 +0000 2019,NL,1501184341,2,1
1184425185165926400,Oyez oyez! Le premier colloque d'@Humanistica aura lieu le 13 et 14 mai 2020 à l'@UBMontaigne  : envoyez vos proposition de posters et de communications (20 mns) via [LIEN] avant le 15 décembre 2019 [LIEN],Wed Oct 16 11:05:44 +0000 2019,Marie Puren,710827419394043904,9,7
1184424874896478208,"Vernissage de l'expo photo ""qu'avons-nous en partage ?"" par les étudiants internationaux @univbordeaux jusqu'au 8 novembre bâtiment C à Pessac! [LIEN]",Wed Oct 16 11:04:30 +0000 2019,Véronique Debord,2865836867,8,3
1184422152621187077,"Merci aux étudiantes en M2 AGEST de @UBMontaigne
 pour leur article :  [LIEN] via @etourismeinfo",Wed Oct 16 10:53:41 +0000 2019,Wonder France Festival 🎥🎬,1133683097176891392,0,0
1184418018203525120,"Quand tu animes un cours de community management à l'université @UBMontaigne et que le vidéoprojecteur tombe en panne, tu redécouvres la craie. #CM #CommunityManager [LIEN]",Wed Oct 16 10:37:15 +0000 2019,Editoile,51982267,8,0
1184417646332305411,"Campus de Bordeaux : des chercheurs primés 
@univbordeaux [LIEN] [LIEN]",Wed Oct 16 10:35:46 +0000 2019,Sud Ouest Bordeaux,96780715,7,3
1184415133210161153,"📌 Un adhérent recrute :
▫️@BordeauxINP▫️
Bordeaux INP recrute un(e) animateur-trice en prévention des risques
&gt;&gt; [LIEN] [LIEN]",Wed Oct 16 10:25:47 +0000 2019,Afelim,2609539993,0,0
1184413723672416257,"""Quelques pistes (provocantes) pour sortir le vin français de la crise"" : article signé Jean-Marie Cardebat (professeur d'économie @univbordeaux ) dans @FR_Conversation : [LIEN] [LIEN]",Wed Oct 16 10:20:11 +0000 2019,Université de Bordeaux,91130731,2,2
1184411505858625537,"Zoom @F3Aquitaine sur les sites délocalisés de l'#Université de #Bordeaux @univbordeaux, une ouverture qui permet aux étudiants l'accès et la qualité des études dans différents territoires de l'académie @acbordeaux [LIEN]",Wed Oct 16 10:11:22 +0000 2019,Onisep Bordeaux,2882417211,3,4
1184411439567659008,"Voyage d'étude à Bristol UK pour les masters SGM @ScPoBx et IAT #ensapBx. Rencontre avec Mike Devereux, professeur d'architecture à l'University of West England. ""Frontiers Borders and the City"" Many thanks to him! [LIEN]",Wed Oct 16 10:11:07 +0000 2019,Gilles Pinson,528390583,1,1
1184411176471535618,"A l'occasion de son 50ème anniversaire, l'Institut du Travail de l'Université de Bordeaux a organisé une journée d'étude intitulée ""La liberté syndicale : crise ou transformations ?""
Replay à visionner sur #CanalU &gt;&gt; [LIEN] 26min 04.10.2019 @univbordeaux [LIEN]",Wed Oct 16 10:10:04 +0000 2019,Canal-U,95171677,0,0
1184406943177285632,"Replay du passage au JT (15/10 - 17') @F3Aquitaine d'@OlivierPujolar , vice-président en charge des partenariats &amp; territoires pour évoquer les sites délocalisés @univbordeaux , qui ont de très bons taux de réussite et répondent aux besoins des territoires
[LIEN] [LIEN]",Wed Oct 16 09:53:15 +0000 2019,Université de Bordeaux,91130731,15,7
1184404934986477568,"Quand le campus de @UBMontaigne  s'anime aussi le samedi ! 
[LIEN]",Wed Oct 16 09:45:16 +0000 2019,Hélène MARIE-MONTAGNAC,97464957,0,0
1184403006080598016,"Table ronde : La prévention santé pour les jeunes, ça ne sert à rien? 
@PaulineRaufaste @Injep @SecoursPop @univbordeaux #RPSanté2019 [LIEN]",Wed Oct 16 09:37:36 +0000 2019,Acteurs de La Prévention,791930946949779457,0,1
1184402669408010240,"#RPSante2019 c'est parti pour la table ronde avec Christophe Tzourio : ""La #prevention #santé pour les #jeunes, ça ne sert à rien ?"" @univbordeaux @ESEBordeaux @RamsaySante #santepublique [LIEN]",Wed Oct 16 09:36:16 +0000 2019,i-Share,1054644114,3,0
1184401718924251136,"#RPSanté2019 : première table ronde de la journée
""La #prévention #santé pour les #jeunes, ça ne sert à rien ?""
Avec @PaulineRaufaste, Thibaut de SAINT POL @Injep
Houria TAREB @SecoursPop, Pr. Christophe TZOURIO @univbordeaux @iShare_etude [LIEN]",Wed Oct 16 09:32:29 +0000 2019,Ramsay Santé,4923886959,9,4
1184401121508560901,⁦@EcocenePau⁩ ⁦@waterfamily_⁩ @fildesséounes #CAVL #CVL #referentvielyceenne ⁦@CREPAQ⁩ #référentEDD accompagnent localement les projets #agenda2030 ⁦@acbordeaux⁩ ⁦@NvelleAquitaine⁩ [LIEN],Wed Oct 16 09:30:07 +0000 2019,Thomas-Latour Caroline,2375420810,4,1
