id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184514140188090369,"Un grand bravo à Fabrice Wendling, un de nos intervenants réguliers lors de la @Semaine_Cerveau à @metropolerennes! 
@UnivRennes1 @InsermGrdOuest @Espace_sciences [LIEN]",Wed Oct 16 16:59:12 +0000 2019,SemCerveau Rennes,829984545470562304,1,0
1184499925176016898,"Très bel exposé de Dr. Abdelhamid Chriette du @LaboLS2N @CentraleNantes sur la manipulation aérienne aux 12ème journées nationales de la recherche en robotique, Vittel, 🇫🇷 @CNRS_dr17 @UnivNantes [LIEN]",Wed Oct 16 16:02:43 +0000 2019,Caro Stephane,790169855920107529,1,0
1184495006360449025,"Et pour voir et écouter Denis Guthleben en vrai à #Rennes, il faudra attendre le 12/11 pour une conf dans le cadre des #MardisEDS @LesChampsLibres organisée par @Espace_sciences et @CNRS_dr17 ! On a hâte !
👁‍🗨[LIEN] [LIEN]",Wed Oct 16 15:43:11 +0000 2019,🌍SUR / Observ. des Sciences de l'Univers Rennes,2240988799,1,1
1184493292706238466,"Encore fier de parrainer cette nouvelle promo @UnivRennes1
Toujours un grand plaisir d'échanger avec les étudiants. Merci @FondationR1 @L_Quatreboeufs @S_langouet [LIEN]",Wed Oct 16 15:36:22 +0000 2019,Hervé Esseul,964941692,2,1
1184490189600837633,"Élisa Fromont travaille sur l’interprétabilité des modèles #IA #machinelearning #deeplearning : comment les décisions sont prises par le système.
➡️ [LIEN]
🤝 @irisa_lab @ENSRennes @inria @INSA_Rennes @centralesupelec @IMTAtlantique @UBS_Universite @UnivRennes1 [LIEN]",Wed Oct 16 15:24:02 +0000 2019,Numérique au CNRS,3068046988,8,2
1184482659503923207,"En tant que membre du club Partenaire  Entreprises 🤝 de l'@INSA_Rennes , retrouvez nous demain pour l'édition 2019 du #StageDating des 5e année. 🚀

En avant-première 🤩, voici nos offres de stage pour 2020 en #Dev #FullStack, #IACyber.

#INSA #Rennes #jobdating [LIEN]",Wed Oct 16 14:54:07 +0000 2019,SILICOM,796086493106282496,3,1
1184471148815360000,Ah non mais radio chouchenn arrosée au lipig ça fait mal @BBCRadio2 @jtmetc #jetaimeetc 🏟 @ObispoPascal @Daphne_Burki01 @andremanou @UnivRennes1 @regionbretagne @FemmesBretagne 🥞🍹🍋🌿🌱🍍🍉🐣🍒🥕🥥🍰🍪🍩🍭🍯🍬🍓📻🎧🎤☎️ #astarisborn 🌟 #thisisParis,Wed Oct 16 14:08:22 +0000 2019,l. fée cr.chète,596786065,1,0
1184467305264234497,"#Diversité sociale &amp; accès aux #GrandesÉcoles 

@ENS_ULM @ENSdeLyon @ENSRennes @ENS_ParisSaclay @HECParis @essec @ESCPeurope &amp; @Polytechnique ont remis le 14/10/19 leurs rapports à Mmes @VidalFrederique @sup_recherche &amp; @florence_parly @Defense_gouv

📰[LIEN] [LIEN]",Wed Oct 16 13:53:06 +0000 2019,ENS de Lyon,2549384167,4,2
1184461393459851265,"JSM J-3⃣ ! 🎉
Écoutez 👂le podcast 🎧 d'@InAttendue_Clab sur @RadioClab 🖱️➡️ [LIEN] ⏱️(15'40""➡️25'00"")
👥Nancy Bertin &amp; @CuryClaire, coordinatrices de @laJSM vous parlent de cette journée
@irisa_lab @Inria_Rennes @CNRS @AssoNicomaque  @DiapasonRennes @UnivRennes1",Wed Oct 16 13:29:37 +0000 2019,Science & Musique,557134267,2,2
1184453022728032257,"🚨 Job Dating 🚨

Retrouvez Jérôme &amp; Gwénola au Stage Dating de l' @INSA_Rennes demain dès 13h30 !

Ils vous présenteront nos offres de #stage et vous feront découvrir l'esprit #SpikeeLabs 🦁🦓

#ingénieur #jobdating #rennes  #spikeelabs [LIEN]",Wed Oct 16 12:56:21 +0000 2019,SpikeeLabs,930000161396461568,2,1
