id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183430191156269056,"Les féminine 5 matchs 5 victoires 17 buts marqués un seul encaissé (aujourd'hui)

BRAVO LES FILLES !!!!

D2 FÉMININE - dimanche 13 octobre 2019 - 12H30

@AmiensSC 1-2 @ASSEofficiel
#ASCASSE
Via @FFF
[LIEN]",Sun Oct 13 17:11:59 +0000 2019,Romeyer démission,2713594695,0,0
1183386948314042370,"⚽️ Match nul entre @LOSC_Feminines et le FC Vendenheim #LOSCFCV 

Prochain rendez-vous au Stadium le 27/10 pour affronter @AmiensSC 🏟

⚪️🔴 #VivezLeStadium [LIEN]",Sun Oct 13 14:20:09 +0000 2019,Le Stadium,1182780474,2,0
1183333993808322565,"Je participe pour @AmiensSC à l'Orange e ligue 1. 
Good luck [LIEN]",Sun Oct 13 10:49:44 +0000 2019,HitNaab - Le Gorafi de FIFA 20,3633337347,1,0
1183295028921360384,#foot #football #birthday 🎂 Joyeux Anniversaire Clément Diop Degoud 🇸🇳🇫🇷 (2⃣6⃣ ans) gardien de but de @impactmontreal ex @IvryFoot @AmiensSC @uscamon @LAGalaxy [LIEN],Sun Oct 13 08:14:54 +0000 2019,YanMae,65620617,0,0
1183061496668012545,Je tenterai de représenter une nouvelle fois l’@AmiensSC pour cette saison d’@e_LIGUE_1 ! [LIEN],Sat Oct 12 16:46:55 +0000 2019,Snake ASTROL,2572851033,25,2
1182943301042872320,"Une partie pas simple en L1 avec @AmiensSC en faisant de Kakuta un ballon d'or, une partie plaisir avec le @RedStarFC en chantant la gloire de Bauer en stream, une partie grosbill avec @PSG_inside en enchaînant les titres en ligue des champions [LIEN]",Sat Oct 12 08:57:15 +0000 2019,Michaël Dudragne,60953619,1,0
1182674126797971456,"✍ Visuel à retrouver sur la page Instagram de @F_Diabate27 , attaquant d' @AmiensSC. Création réalisée pour mettre en lumière sa passe décisive contre l'OM en Ligue 1 Conforama. Nous lui souhaitons une belle saison sous ses nouvelles couleurs 🙌 [LIEN]",Fri Oct 11 15:07:39 +0000 2019,Le Couteau Suisse,1127462105689546752,3,1
1182591107357650944,"En attendant #FCMFCN samedi prochain, voici les coulisses radio des 5 derniers matchs : des @girondins à @SB29 en passant par @ASSEofficiel @ToulouseFC et @AmiensSC . Bonne lecture, les supporters du @FCMetz #Fbsport #FCMetz [LIEN]",Fri Oct 11 09:37:46 +0000 2019,Thomas Jeangeorge ☨,1472230388,3,2
1182333868239675398,"#FIFA20 

Annonce des Tournois Majeurs 

🏆ePremier League
⚽️@AVFCOfficial
🧑@SavageSkillzAJ 

🏆eLigue 1 
⚽️@AmiensSC
🧑@TRushFiaskoo

🏆eLigue 1
⚽️@MontpellierHSC
🧑@Luglio__ [LIEN]",Thu Oct 10 16:35:35 +0000 2019,T-Rush Esport,1091734034462457856,11,3
1182324584659464197,"Lundi prochain aura lieu une #MasterclassEAJF spéciale @AmiensSC 

#football #soccer #foot #ligue1 #AmiensSC [LIEN]",Thu Oct 10 15:58:42 +0000 2019,E.A.J.F,262249773,3,1
