id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183685447479955462,"Beaucoup de clients mécontents de @back_market sur les forums de @60millions et de @UFCquechoisir #conso

[LIEN]

[LIEN]",Mon Oct 14 10:06:17 +0000 2019,Jan K,2666487577,0,0
1183683889740570624,"Table Ronde-Champions de la French Tech: l'Expérience Client au coeur de leur développement. Le 17 octobre au #ZendeskPresents à @joinstationf. Intervenants:@GMTonning @getqonto, @Pelloch @back_market, @aslebreton  @dashlane, @Chams. Inscrivez-vous: [LIEN] [LIEN]",Mon Oct 14 10:00:05 +0000 2019,Zendesk France,1284629934,7,4
1183346372218642437,C’est normal qu’après avoir fait un changement de batterie il y a un mois j’aie ça ??? @backmarket #backmarket [LIEN],Sun Oct 13 11:38:55 +0000 2019,le choncle,1120435222426869760,0,0
1183320888109867008,J’essaye de finaliser ma commande et je me fais envoyer valser par la personne en chat suite à une question qu’il ne comprend pas @back_market vous ne voulez pas vendre? 🤔 #badfirstimpression,Sun Oct 13 09:57:39 +0000 2019,LPA,2455918330,0,0
1183121710704410624,J’ai commander un téléphone chez @backmarket je vois tellement de commentaires négatives que sa commence à me faire peur... or que je l’es pas encore reçu par contre la livraison prise en charge en 1 journée c’est le top,Sat Oct 12 20:46:11 +0000 2019,De_Nuance 👑✨,432896098,0,0
1182739753059475456,Ma femme a commandé un ordinateur chez @backmarket ... Malheureusement la batterie ne tenait pas 3h ! Elle décide de le retourner dans les conditions de la loi Hamon. Pas de chance chez @backmarket ils te pénalisent de 40% du prix du bien quand t'es pas satisfait ! #ShinyOrArgent,Fri Oct 11 19:28:26 +0000 2019,NiziBazal,56411705,0,0
1182715790790987776,J’ai acheté un iPhone sur @back_market y marche déjà plus 😫😖,Fri Oct 11 17:53:12 +0000 2019,🤓,992822000,0,0
1182678053366980609,"Macbook reconditionné acheté sur @back_market début juin, 4 mois sans ordinateur, aucune solution, vous n'avez pas honte ? je vous ai transmis un email, sans réponse évidemment, j'attends un remboursement... qu'en pense la @dgccrf ?",Fri Oct 11 15:23:15 +0000 2019,Ariane Dubois,82425627,0,0
1182626394884444161,"Donc là... @backmarket ils reprennent mon iPhone 233€ de plus qu'Apple. 
(Apple me le reprenait 0 parce que l'écran était pété).",Fri Oct 11 11:57:59 +0000 2019,Damien Mescudi,311460803,45,0
1182602583048933376,"Mercredi, Fanny, notre Business Developer s’est rendue à une conférence dans les locaux de @wttj_fr

L’occasion pour elle de s’immerger dans les équipes d’Alexis Jerome, Head of Business Developement chez @back_market et Pierre-Gaël Pasquiou, Head of Business chez @wttj_fr [LIEN]",Fri Oct 11 10:23:22 +0000 2019,Hypee Communication,1577275921,1,0
