date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Tue Oct 15 17:01:44 +0000 2019,,1184152389537931264,1184126909262815233,,"@F_Allan_ Venez me voir en DM, on va regarder ça de plus près 😉
[LIEN]",BlaBlaCar,7173912
Mon Oct 14 10:23:20 +0000 2019,,1183689739444076545,1183621033154285568,,"@lacarottedu44 Bonjour Caroline, l'estimation de la durée des trajets est basée sur des données Google, auxquelles on ajoute 15 minutes pour chaque étape. Plus les adresses de départ et d'arrivée seront précises, plus exacte sera notre estimation. Dispos en DM pour + d'infos 🙂",BlaBlaCar,7173912
Fri Oct 11 13:55:54 +0000 2019,,1182656068993933312,1182649703156109312,,"@Guillaume_amb Bonjour Guillaume, avez-vous essayé de désinstaller et de réinstaller l'application ? Il y a peut être un soucis de mise à jour",BlaBlaCar,7173912
Fri Oct 11 10:52:36 +0000 2019,,1182609939702964224,1182592960552157184,,"@petaramesh Bonjour Swami, en effet ça n'est pas normal ! Je viens de transférer à notre équipes technique ;)",BlaBlaCar,7173912
Fri Oct 11 08:44:30 +0000 2019,,1182577705457455104,1182348724955238400,,@KatKat2114 Et alors ? Vous l'avez reçue ? 🧐,BlaBlaCar,7173912
Thu Oct 10 12:51:18 +0000 2019,,1182277423439716355,1182268023631224833,,"@TiFr_Vince Bonjour Vince, vous pouvez choisir les notifications que vous recevez en passant par les paramètres de l'appli et de votre téléphone. Si vous êtes toujours importuné par ces communications, n'hésitez pas à nous communiquer vos coordonnées en MP pour qu'on puisse regarder ensemble",BlaBlaCar,7173912
Thu Oct 10 10:38:47 +0000 2019,,1182244074331488258,1182237048419356673,,"@axelponcet69 Oups ! 🙈 On va remonter ça à nos équipes techniques, navré pour ce malentendu !",BlaBlaCar,7173912
Thu Oct 10 07:35:22 +0000 2019,,1182197918306045952,1182036256190058500,,"@Soraphirot Bonjour, On vous propose en effet désormais des arrêts pas forcément prévus, pour récupérer des passager·e·s sur la route. Mais ce n'est qu'une proposition, pas une obligation, vous pouvez refuser la demande. Dispo en DM pour + d'infos :)
[LIEN]",BlaBlaCar,7173912
Wed Oct 09 12:18:02 +0000 2019,,1181906665718865920,1181894691119337473,,@Katialyn63 @SNCF @Mobicoop Bonjour Katia 🙂 BlaBlaCar reste une société indépendante et n'a pas été rachetée :) La SNCF a choisi d’investir à titre minoritaire parmi d’autres actionnaires. Cette alliance permettra de joindre nos forces pour offrir une expérience de mobilité partagée plus diversifiée !,BlaBlaCar,7173912
Tue Oct 08 15:44:15 +0000 2019,,1181596173938954240,1181584458971000833,,"@Stitch2503 Bonjour, je vous propose de nous retrouver en DM pour que l'on regarde ça de plus près !
[LIEN]",BlaBlaCar,7173912
Tue Oct 08 12:41:54 +0000 2019,,1181550285153607681,1181497158207508481,,"@arebiere Bonjour, les prix plus chers que vous observez sont liés à une nouvelle fonctionnalité, qui propose au passager des portions pas initialement prévues par le conducteur sur son trajet, moyennant un petit bonus en compensation. Dispo en MP si besoin 🙂
[LIEN]",BlaBlaCar,7173912
