id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184136744305938433,".@merignac @BxMetro 
Vs comptez vs bouger 1jour pr désengorger niveau rond point Dassault ? C l’enfer au quotidien avec l’agrandissement ! Comment peut-on laisser un bordel pareil ? j’ai l’impression de me retrouver sur l’A86 un vendredi veille de départ en vacances !",Tue Oct 15 15:59:34 +0000 2019,🐞,2757359985,2,0
1184110059564994560,Créer des liens sur son territoire : ce soir le @CAAquitaine et @comandvisit emmènent de jeunes de @BxMetro  à la rencontre de professionnels de talent. Des pépites on vous dit ! ➡️Une visite à suivre sur instagram #afterdecale [LIEN],Tue Oct 15 14:13:32 +0000 2019,CA Aquitaine,596638827,3,1
1184090825074053123,"#CatherineGueguen vous donne rendez-vous pour 2 conférences sur le thème « Heureux d'apprendre à l'école : Comment les neurosciences peuvent changer l'éducation » !

👉 Le 28 Janvier 2020 🗓, à @villedelyon ! 🎯

👉 Et le 3 Février 2020 🗓, à @Bordeaux ! 🎯 [LIEN]",Tue Oct 15 12:57:06 +0000 2019,RencontresPerspectiv,2351961654,1,1
1184087638925611008,En commission de contrôle de @BxMetro avec mes collegues elu(e)s un regard spécifique notament sur des DSP.,Tue Oct 15 12:44:27 +0000 2019,David Yohan,884509735,0,0
1184070812149702657,#LeHaillan vous incite à vous mettre au vélo @VeloCiteBdx @leonAVelo @dupuy_barthere @ericfabre33 @AnneGourvennec @delpeyrat @BrigitteTerraza @BxMetro [LIEN],Tue Oct 15 11:37:35 +0000 2019,Andrea Kiss,833026011872768000,3,1
1184069007189663746,"💧Comment faire un diagnostic intégré des #micropolluants et comment les réduire ? 
🎬Retrouvez en replay cette formation, avec @ChristopheJRD, @suezFR, @suez, @BxMetro : [LIEN]
#eau #pollution #micropolluant [LIEN]",Tue Oct 15 11:30:24 +0000 2019,Réseau EAU,3040420641,0,0
1184068044403986433,"La dernière fois que le Tour de France est passé à Bordeaux, Evenepoel entrait en CM2. 

Ça commence à faire long. @LeTour @Bordeaux",Tue Oct 15 11:26:35 +0000 2019,Sébastien ;),465882019,4,2
1184058731107094528,"Toujours pas d'étape à Bordeaux..

Réveillez vous @Bordeaux [LIEN]",Tue Oct 15 10:49:34 +0000 2019,エース Ｔｈｅ Ｒｅｖａｎｃｈｉｓｔ,421492051,0,0
1184058089957445633,"Rencontre chaleureuse et échanges passionnants avec les collaborateurs de Pessac @Bordeaux ce matin, merci  à @BertrandDauba et son équipe de leur accueil [LIEN]",Tue Oct 15 10:47:02 +0000 2019,Eric Lemaire 🎀,430576407,22,4
1184055235863633920,"En 2019, @strasbourg et @Bordeaux se placent au top 11 et 12 des villes cyclables dans le monde ! Bravo 🎊 
@RepFranceCdE @francediplo 

[LIEN]",Tue Oct 15 10:35:41 +0000 2019,Diplomacycles,821720648187781121,3,2
1184034760185843712,"Du gadget...aucune vision à long terme pour les déplacements doux. La part belle toujours laissée aux véhicules particuliers. Bref, un nouveau rendez-vous manqué. 
@Bordeaux @BxMetro @nflorian33 [LIEN]",Tue Oct 15 09:14:19 +0000 2019,Pierre Davous ✏️,2499259500,0,0
