date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Thu Sep 26 19:25:38 +0000 2019,,1177303233175457792,1177301200095588353,,"@Monster_Ben Bonsoir,

Je suis sincèrement navré pour la gêne occasionnée, pouvez vous me contacter en dm avec votre numéro de commande?

Je vous remercie.

Cyril",Boulanger,122333150
Thu Sep 26 19:14:07 +0000 2019,,1177300336144539651,1177299939317207042,,"@johanncrf28 Bonsoir,

Pouvez vous me contacter en dm avec votre numéro de commande pour que je puisse vérifier?

Cyril",Boulanger,122333150
Thu Sep 26 07:28:49 +0000 2019,,1177122839448756224,1176877111468068867,,"@violettepnssian Bonjour, 
je suis navrée pour cette expérience dans l'un de nos magasins. Si vous souhaitez échanger sur cette situation, 
je reste disponible en DM. 
Tiffany",Boulanger,122333150
Wed Sep 25 14:32:36 +0000 2019,,1176867100436180994,1176866495512666112,,"@zolabeiIIes Je vous remercie, nous restons à votre disposition ! VOUS êtes top !

Cyril [LIEN]",Boulanger,122333150
Wed Sep 25 06:26:18 +0000 2019,,1176744720661405697,1176450079642804224,,"@BenDiagauto Bonjour @BenDiagauto, 
Nous allons trouver une solution. :) Pouvez-vous m'envoyer votre numéro de facture en DM et m'apporter plus de précisions sur votre situation s'il vous plaît ? 

- Lucille",Boulanger,122333150
Tue Sep 24 15:13:34 +0000 2019,,1176515023667126279,1176502975663091713,,"@LaissaFenty Bonjour, pouvez-vous me rejoindre en DM avec le n° de votre commande? Nous allons faire un point sur le réapprovisionnement. Mélanie",Boulanger,122333150
Tue Sep 24 08:21:30 +0000 2019,,1176411320863866882,1176409103859691521,,"@erdaltoprak_ Bonjour Erdal,
En effet, ce n'est pas très compréhensible. 😅

Je transmets votre remarque au service informatique, je vous remercie pour votre message !

Je reste disponible en DM si besoin. 
Manon",Boulanger,122333150
Tue Sep 24 07:58:12 +0000 2019,,1176405459047260161,1176404089556676609,,"@ManonFbe Bonjour.

Je suis navré pour la gêne occasionnée.

Pouvez-vous venir en DM avec votre numéro de commande s'il vous plaît ?

Mehdi.

Mehdi.",Boulanger,122333150
Mon Sep 23 13:30:12 +0000 2019,,1176126622249947142,1176116735952465920,,"@LLefand Bonjour Léa, 
Je vous invite à me rejoindre en DM, nous allons faire un point ensemble 😉
Mélanie",Boulanger,122333150
Mon Sep 23 11:28:47 +0000 2019,,1176096063654105088,1176088486044217344,,@NAMUPRlNT Profitez bien. 😊 [LIEN],Boulanger,122333150
Mon Sep 23 08:31:08 +0000 2019,,1176051359461859329,1176050339881074688,,"@CasiMir33793597 @dgccrf Bonjour,

Je suis navré pour la gêne occasionnée.

Pouvez-vous venir en DM avec votre numéro de commande afin qu'on fasse le point s'il vous plaît ?

Mehdi.",Boulanger,122333150
Sun Sep 22 06:27:19 +0000 2019,,1175657810635476993,1175647000932573184,,"@RVEILLERETTE Bonjour,

Ce produit est à ce prix la sur le marché effectivement et selon le fournisseur :)

Cyril",Boulanger,122333150
Sat Sep 21 18:40:25 +0000 2019,,1175479912817315840,1175475386425233409,,"@Rychopy @iambilalhassani Bonsoir @Rychopy 

Ça, c'est une bonne idée ! 

Merci de nous avoir partager votre envie musicale, nous allons l'avoir en tête toute la soirée. 🥰

Florence",Boulanger,122333150
Sat Sep 21 16:21:16 +0000 2019,,1175444894099394560,1175441412067876865,,"@yannick_lacoste Je vous apporterai bien tout mon soutien, mais je ne connais pas non plus, sans doute trop jeune. Désolé ! Mais tant que le produit marche... :D

/Baptiste/",Boulanger,122333150
Sat Sep 21 12:09:54 +0000 2019,,1175381639238705152,1175380680064286721,,"@GuyomePerez @Apple @UFCquechoisir Bonjour,

Je suis navré pour la gêne occasionnée, pouvez vous me contacter en DM avec votre numéro de commande afin que nous puissions en discuter?

Je vous remercie par avance.

Cyril",Boulanger,122333150
Sat Sep 21 09:09:21 +0000 2019,,1175336200363810817,1175330052315189248,,"@VinceGuerrier Oups... C'est fin de semaine, on peut l'excuser. 🙄
Marine [LIEN]",Boulanger,122333150
Sat Sep 21 07:48:31 +0000 2019,,1175315859985915909,1175310635606925314,,"@Julien_SERE Bonjour Julien, 

Pouvez-vous me communiquer votre numéro de commande en DM je vous prie ? 

À tout de suite ! 
Marine",Boulanger,122333150
Sat Sep 21 07:01:52 +0000 2019,,1175304116144394241,1175301427784290306,,"@DjayRoNimo Bonjour, 
Les commandes de l'iPhone 11 sont honorées dans l'ordre de passage des pré-commandes et en fonction des stocks accordés par Apple. 
Je suis navrée pour la gêne occasionnée.
Marine",Boulanger,122333150
Sat Sep 21 06:25:18 +0000 2019,,1175294914449551360,1175288245451722752,,"@lostrogo59 @SamsungFR Bonjour, 
Je suis navrée d'apprendre le dysfonctionnement de votre TV... 
Pouvez-vous me communiquer votre numéro de commande commençant par F en DM je vous prie ? Nous allons voir ce qu'il est possible de faire. 
À tout de suite ! 
Marine",Boulanger,122333150
Fri Sep 20 10:51:27 +0000 2019,,1174999507349774336,1174996914116419586,,"@DjayRoNimo Bonjour @DjayRoNimo,
Nous sommes effectivement tributaires d'Apple dans cette situation. Nous sommes sincèrement navrés de la gêne occasionnée par cette situation et faisons notre maximum pour écourter cette attente.

- Lucille",Boulanger,122333150
Fri Sep 20 10:11:31 +0000 2019,,1174989456442634240,1174989453162622976,,"Et si on se déplaçait autrement ? 
Profitez-en pour vous déplacer de façon plus green ! [LIEN]
#SiBienEnsemble",Boulanger,122333150