id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183095584791642112,"La pub de @Boursorama avec @BradPitt c'est une blague. 
Il serait descendu si bas.🤔",Sat Oct 12 19:02:22 +0000 2019,nadma14,301506732,0,0
1183065009712181251,"Merci beaucoup @Boursorama et @benoitgrisoni, tout ça c’est aussi grâce à vous. Et si vous deveniez mécène de notre cause, ne serait-ce pas une belle fin pour cette histoire ? 😊 [LIEN]",Sat Oct 12 17:00:53 +0000 2019,DANS MA RUE,805769465933824000,2,0
1182777699171000321,"Test de la carte Ultim de @Boursorama (compte joint avec carte Visa Ultim et visa premier). Si tout est OK, ça pourrait devenir notre banque principale. [LIEN]",Fri Oct 11 21:59:13 +0000 2019,Frnck,362608183,1,0
1182721637394911233,"Quand @Boursorama peut se payer Brad Pitt pour 6 millions d’euros on comprend que malgré les évolutions dans le secteur, une banque reste un banque.... #moneyismoney #largentfaitlebonheurdesbanques 💸

[LIEN]",Fri Oct 11 18:16:26 +0000 2019,Morgane Lopez,974597630490791936,0,0
1182676058790907904,#BONPLAN #banques Boost du parrainage chez @Boursorama C'est le moment passer aux banques en ligne 💪💰 -&gt; [LIEN] [LIEN],Fri Oct 11 15:15:20 +0000 2019,Snafu356,1083627221854707712,0,0
1182666813349478400,Une belle campagne de @BUZZMAN_TIME pour @Boursorama détournée par l’association @DMARUE !! À voir !! #BradPitt a retrouvé sa voix !! #Video #publicité #communication #Solidarity [LIEN] [LIEN],Fri Oct 11 14:38:35 +0000 2019,Studio Mademoiselle,883328117917573120,2,1
1182658245493702658,130€ pour l'ouverture d'un compte @Boursorama [LIEN],Fri Oct 11 14:04:33 +0000 2019,Antoine R,80921149,2,0
1182633009847119872,Malgré les nombreuses offres de parrainage pour @Boursorama je n’ai pas ouvert de compte là bas puisque c’est @SG_etvous et que je quitte toute cette banque globalement ! Il y a d’autres solutions.  Pensez y ! #jechangedebanque 😘,Fri Oct 11 12:24:16 +0000 2019,M au carré,259173519,0,0
1182606626576125953,"Il y a l'excellente #pub de @Boursorama par l'agence @BUZZMAN_TIME avec Brad Pitt muet pour rappeler que les meilleurs ambassadeurs d'une marque sont ses clients!
Y a pas mieux pour le rappeler
[LIEN]
Puis il y a eu une excellent détournement de cet pub 👏👏👏👏 [LIEN]",Fri Oct 11 10:39:26 +0000 2019,🔥BAHIA💡,40699559,1,1
1182598043654377472,"Voilà un parfait exemple de détournement de #publicité en faveur d’une bonne cause. L’association “Dans ma rue” détourne la pub @Boursorama avec @BradPitt pour la cause des sans-abri.
👉[LIEN] by @creapills",Fri Oct 11 10:05:19 +0000 2019,Ipmop,1174957268976062464,1,0
1182597687608336384,Dites donc @boursorama. Vous faites comment pour être totalement injoignable ? Le pire des services clients que je connaisse. impossible de contacter un humain...,Fri Oct 11 10:03:54 +0000 2019,stephane mercurio,56443845,0,1
1182592119996932096,"📣#bourse @Methanor société spécialisée dans le financement et l'exploitation de projets d'énergies #renouvelables, annonce une hausse de ses résultats au titre de son premier semestre 2019 via @Boursorama $ALMET
[LIEN] [LIEN]",Fri Oct 11 09:41:47 +0000 2019,Methanor,1513466640,0,0
1182588087270068224,"Gros soucis avec @Boursorama : totalement bloqué dans une situation critique à cause de la carte bien que les fonds et que le plafond soient OK. Inacceptable, j’ai besoin d’aide de manière urgente. #boursorama",Fri Oct 11 09:25:46 +0000 2019,Bastien,20981117,1,0
1182585627193200640,"""la mobilité ne se réduira pas mais elle va évoluer vers la durabilité et l'économie d'énergie.""Olivier Selignan, @Michelin au micro d'@AgaBruyere et @kosowski_b, avec les intervenants de Benoît Grisoni @Boursorama, Fabien Ramos @cmacgm #ThinkParis2019 [LIEN]",Fri Oct 11 09:15:59 +0000 2019,ROUSSELIN,423279415,0,0
1182585149877346305,"Beaucoup plus pertinente cette parodie... [LIEN] même si je salue le travail de @Boursorama pour leur créativité sur l'original !
#Pub #Boursorama #SansAbri #DansMaRue",Fri Oct 11 09:14:05 +0000 2019,Guillaume Ramecki,719615321791930370,0,0
1182560686888673280,"La campagne de base de @BUZZMAN_TIME pour @boursorama est déjà brillante, le détournement de @DMARUE l'est encore plus 👏 [LIEN]",Fri Oct 11 07:36:53 +0000 2019,Torréfacteur (˘▽˘)っ旦,2839671957,1,1
1182381467114135553,Allô @jmaphatie @nutela @maif @boursorama allez vous réagir comme vous l avez fait envers @ericzemour.Pourtant les propos de cet imam sont à mon goût plus dangereux.On ne comparent pas où vous voulez en arriver. Mais vous participez activement à détruire ce qui fut un beau pays🇫🇷 [LIEN],Thu Oct 10 19:44:44 +0000 2019,Jmb,1052236208791678978,0,0
1182368930612027392,Je viens de clôturer mes comptes courants et sur livret de @monabanq au profit de l’excellente @Boursorama pour la même raison #JeSoutiensZemmour [LIEN],Thu Oct 10 18:54:55 +0000 2019,Harry Callahan,2344037334,0,0
1182319921130278913,"Un projet de #loi qui prévoit d'aligner la #fiscalité des #logements vacants sur celle des #maisons secondaires.
Qu'en pensez-vous ?
v/ @Boursorama [LIEN]",Thu Oct 10 15:40:10 +0000 2019,MonToitaMoi,2548007046,0,0
1182318631893504002,Très inspirant le discours de @ChevalMari à #InnoGénération ! (Ex @SocieteGenerale et @Boursorama puis maintenant @CarrefourFrance) 👍🏻 #Bang @Bpifrance [LIEN],Thu Oct 10 15:35:02 +0000 2019,Alizée English,389432476,1,2
1182317391021260802,Très sympa de revoir @ChevalMari à #InnoGénération ! Ex @SocieteGenerale et @Boursorama puis @CarrefourFrance [LIEN],Thu Oct 10 15:30:07 +0000 2019,Jean-Marc Ouvré 🚗🔋🍏🚀🏉,6712502,12,0
1182291459761987584,"#Epargne #Retraite des #indépendants  
&gt; Des précisions sur le #PER @Boursorama 
[LIEN]",Thu Oct 10 13:47:04 +0000 2019,Corinne Espiard #aof,1011321459841687552,0,0
1182277765044813825,"Détournement très malin de la publicité @Boursorama par l’association @DMARUE, qui vient de fêter ses 4 ans d’engagement pour la cause des personnes sans-abri. Bravo! [LIEN]",Thu Oct 10 12:52:39 +0000 2019,Julie Déléant,34575065,1,1
1182264618917474304,"L'#IFI a engendré des effets indésirables sans montrer d'impact positif à ce stade sur l'#économie selon un rapport du Sénat
@Boursorama [LIEN] #immobilier #impôts #fiscalité [LIEN]",Thu Oct 10 12:00:25 +0000 2019,Le Plan Immobilier,236755994,0,1
1182247546439290880,[LIEN] détourne la publicité qui fait le Buzz pour @Boursorama avec Brad Pitt. Joli cas d'école! [LIEN],Thu Oct 10 10:52:34 +0000 2019,Olivia 📍BackLight,1133354275088867333,2,0
1182240714090012672,Prix de l'immobilier à Paris : les locataires logés à la même enseigne que les propriétaires - ⁦@Boursorama⁩  [LIEN],Thu Oct 10 10:25:25 +0000 2019,Placement,1245579715,0,0
1182238091618197504,"#BTP Eiffage : lancement d'Aevia par Eiffage Génie Civil - @boursorama @eiffagefr 
➡[LIEN] #GenieCivil",Thu Oct 10 10:15:00 +0000 2019,ISBA TP,1106558799786229760,0,1
1182236134132334592,"Brad Pitt qui fait la pub de @Boursorama, c’est pas une légende d’automne ? #ciné-club",Thu Oct 10 10:07:13 +0000 2019,Damien Pelé,1354360111,6,0
1182232908960030720,"Génie !! Dans ma rue détourne la pub @boursorama de @ROSAPARK_agency et fait parler Brad Pitt d'un sujet important  
[LIEN]",Thu Oct 10 09:54:24 +0000 2019,Louis brouard,724921178595450880,4,0
