data,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Thu Sep 19 16:28:11 +0000 2019,56,1174721861541912577,,6,Il faut toujours vérifier ses sources… mais bon ceux qui votent sur l'app le savaient déjà. [LIEN],Burger King France,2242099796
Tue Sep 17 12:31:26 +0000 2019,1,1173937503474266112,,0,Rien à ajouter. [LIEN],Burger King France,2242099796
Tue Sep 17 12:30:30 +0000 2019,2,1173937268790308865,,0,On n'a pas meilleure description. [LIEN],Burger King France,2242099796
Tue Sep 17 12:29:07 +0000 2019,5,1173936920361164802,,0,Du coup on l'a mis deux fois dans le thread. [LIEN],Burger King France,2242099796
Tue Sep 17 12:28:57 +0000 2019,5,1173936881681272833,,0,Du coup on l'a mis deux fois dans le thread. [LIEN],Burger King France,2242099796
Tue Sep 17 12:28:27 +0000 2019,1,1173936754711257088,,0,Pas besoin d'écrire plus que ça. [LIEN],Burger King France,2242099796
Tue Sep 17 12:22:03 +0000 2019,0,1173935142898929665,,0,Notre tweet préféré. [LIEN],Burger King France,2242099796
Tue Sep 17 12:21:22 +0000 2019,19,1173934970894786560,,4,En attendant un Burger King® dans sa ville. [LIEN],Burger King France,2242099796
Tue Sep 17 12:20:19 +0000 2019,5,1173934706506850306,,1,C'est vous qui le dites. [LIEN],Burger King France,2242099796
Mon Sep 16 16:06:38 +0000 2019,10,1173629274533879810,,2,"Votre prochain projet : voter maintenant avec l’app BURGER KING® France pour choisir quel burger sera à 2€ la semaine prochaine.

Et pour les conditions, c’est par ici : [LIEN]",Burger King France,2242099796
