date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Fri Oct 11 08:30:01 +0000 2019,,1182574061077094405,1182564318489042944,,"@Isabelle_Kohl Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Fri Oct 11 08:30:01 +0000 2019,,1182574059927855104,1182547938591068160,,"@CaroleMurphy67 Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Wed Oct 09 08:30:01 +0000 2019,,1181849283781373952,1181832285206790145,,"@Sophie_Corbin87 Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Wed Oct 09 08:00:02 +0000 2019,,1181841737037287425,1181664414434566146,,"@KerjoD Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Tue Oct 08 16:15:01 +0000 2019,,1181603917664260096,1181566758634868736,,"@filmcorporate Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Tue Oct 08 13:15:02 +0000 2019,,1181558622897225728,1181540288210378754,,"@IsaRouger Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Tue Oct 08 13:15:02 +0000 2019,,1181558621630545925,1181520864686288901,,"@Alain_Marche Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Tue Oct 08 08:45:02 +0000 2019,,1181490674484613125,1181427443204272128,,"@clientXbox Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Tue Oct 08 08:15:03 +0000 2019,,1181483127530766336,1181334041712320512,,"@Ros_Dearg Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
Mon Oct 07 08:15:02 +0000 2019,,1181120736527863809,1180205989259296768,,"@Nellpetit Merci ! Votre soutien à #generose a permis de sensibiliser 8 personnes à la lutte contre le Cancer du sein. Grâce à votre partage, @CaissedEpargne reverse à @RubanRose 0,50€. RDV sur [LIEN]",Caisse d'Epargne,30470543
