id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183362964621008896,il a géchan le maillot du pfc @canalplus [LIEN],Sun Oct 13 12:44:51 +0000 2019,DOAN 🦔,1085576960854683650,0,0
1183359980038176768,c'est un grand OUI #poulpovision ! bravo @Monsieur_Poulpe ! On veut des émissions comme ça @canalplus !,Sun Oct 13 12:32:59 +0000 2019,Léopold,256997077,1,0
1183359274279493632,Poser au calme devant #Vikings  @canalplus,Sun Oct 13 12:30:11 +0000 2019,⚜️LA ⚜️FAMILIA ⚜️,3097513325,0,0
1183351819608776706,"3eme tentative de voir le replay des qualif du #GPJapan sur @canalplus 3eme fois que ça plante. Quoi qu'en disent vos pub, vous êtes tellement loin de #Netflix les mecs !",Sun Oct 13 12:00:34 +0000 2019,Julie Bing-Geller,19185057,0,0
1183348344107786240,"Bravo encore à @canalplus , @CanalplusF1 pour avoir mit le replay des qualifications SANS la Q3 ......👏👏👏👏👏",Sun Oct 13 11:46:45 +0000 2019,Erwan Le Gall,482136175,0,0
1183347089385971712,"Je regrette cette époque où on se précipitait pour les regarder 
#canal + ! @canalplus [LIEN]",Sun Oct 13 11:41:46 +0000 2019,Régalade,759538917016268805,2,3
1183343559946178560,"Regarder @canalplus le dimanche après manger c’est beaucoup de souvenirs, alors aujourd’hui ce sera un de ces jours qui me font dire que la vie s’est bien goupillée 🤜🏼🤛🏼 14h20 EN CLAIR AUJ [LIEN]",Sun Oct 13 11:27:44 +0000 2019,Vanessa Brias,65611204,2,0
1183342221791244294,Petite antiseche au cas où t'oublies les combinaisons... @lartot @philousports @canalplus @BoucherieOvalie @LeRugbynistere @IsaIthurburu [LIEN],Sun Oct 13 11:22:25 +0000 2019,Gaegaet,529790584,1,0
1183341169562005506,Euh @canalplus envoyer ça à des gens qui n'ont JAMAIS été client chez vous c'est une nouvelle technique pour essayer de chopper des clients ou votre système est vraiment si pété que ça ? Ou alors vous avez des données me concernant que vous ne devriez pas avoir ? [LIEN],Sun Oct 13 11:18:14 +0000 2019,Dr Emixam,74234047,0,0
1183341163895492608,La @RTNBurundi bientôt sur @canalplus chaîne 385. Pour mieux servir la communauté Nationale et Internationale ainsi que la diaspora Tous ces efforts visent à couper cour avec la désinformation dont le monde est victime sur la réalité de la situation au #Burundi,Sun Oct 13 11:18:13 +0000 2019,Journal Le Renouveau,742642739062439936,0,1
1183328498280271877,"Bonne nuit Blanche avec #BlancheGardin, merci @canalplus !",Sun Oct 13 10:27:53 +0000 2019,Hervé Berthol,101790937,0,0
1183327548937244672,"Merci les deux moines, l'apôtre et le parrain Philou.Merci @canalplus et son esprit.
Maintenant, c'est: islamo-collabo, @RNational_off, @lesRepublicains, @EmmanuelMacron ci,@CCastaner là, #Ligonesse ou pas...
A chaque époque ses humoristes..qu'elle mérité et qu'elle se fabrique. [LIEN]",Sun Oct 13 10:24:07 +0000 2019,Regards des deux rives.,1017415475028824065,0,0
1183318679339126784,40€ par mois et j’ai droit à de la pub sur le on-demand ! vous êtes sérieux @canalplus @CANALTechTeam !!! [LIEN],Sun Oct 13 09:48:52 +0000 2019,adrien gabriel,288747404,0,0
1183305103752810497,Fallait-il une nouvelle adaptation du Nom de la Rose ? Notre réponse ici. [LIEN] @OCSTV @Umberto_Ecco @canalplus [LIEN],Sun Oct 13 08:54:56 +0000 2019,Bla Bla Blog,724136417237078016,0,0
1183304771400294401,"Frustrant de se lever pour voir les qualifications du #JapaneseGP à la demande , et s’apercevoir qu’il manque Q3 dans la vidéo... Sérieusement @canalplus, comment c’est possible ?! 😡 @CanalplusF1",Sun Oct 13 08:53:36 +0000 2019,Axel,4625150368,2,0
1183302595315748864,"Jaurès Hugo au secours, les journaleux du grand @dnatweets @DNALive_  d’ @Alsace  se prennent pour @Groland  @canalplus dans des articles inouïes non signés. Ne  critiquez pas: ils vivent en médiocratie, s’y complaisent et son au taquet de leurs talents avec l’argent des lecteurs [LIEN]",Sun Oct 13 08:44:58 +0000 2019,Sonia Wunderlich,731875853710307331,0,0
1183299774604292098,"S'il y a un chose que m'énerve totalement, c'est @canalplus . Jamais j'ai pû voir un film, un documentaire, une série avec de SOUS-TITRES. J'ai tout essayé et comme d'hab, rien. Vous êtes nul.",Sun Oct 13 08:33:45 +0000 2019,Vel,981696653722779648,1,0
1183296599319072768,Aujourd'hui dans .@LeJDD mon article sur la série #Chimerica (demain soir sur .@canalplus ) ⤵️ [LIEN],Sun Oct 13 08:21:08 +0000 2019,Romain Nigita,123853412,0,0
1183291318073810944,"⚡ JOUR DE MATCH ⚡

🆚 @RCTofficiel
🏆 @top14rugby, J7
⌚️ 16h50
🏟 Stade Jean Bouin, Paris
📺 @canalplus

#SFPRCT | #SFParis [LIEN]",Sun Oct 13 08:00:09 +0000 2019,Stade Français Paris,454903662,22,3
1183286382682243072,"Selon une source digne de foi , la @RTNBurundi sera bientôt sur @canalplus chaîne 385. Un résultat d'efforts de beaucoup de patriotes burundais. Merci @NdayizeyeFaust1 #Burundi",Sun Oct 13 07:40:32 +0000 2019,Sindayihebura Rénovat,728261533,12,10
1183282585377628160,Rendez-vous ce soir à 19h15 sur @canalplus [LIEN],Sun Oct 13 07:25:27 +0000 2019,OGC Nice,329683737,73,5
1183282192623063040,"Je me suis demandé ce qui pouvait vous amener à dire autant d'âneries sans véritablement avoir voyagé dans les recoins des terres #Islam ! Sans vous être enquis de la manière où, dans ces pays l'apostasie est réprimé ! En mal de buzz depuis votre licenciement sur @canalplus ?😉🇫🇷 [LIEN]",Sun Oct 13 07:23:53 +0000 2019,JOHN-NR 2025,1059152095,13,8
1183268924399538176,Devant le #JapanGP avec un café ⁦@canalplus⁩ ⁦@Julien_FEBREAU⁩ ⁦@margotlaffite⁩ ⁦@ThomasSenecal⁩ ⁦@Fmontagny⁩ une sieste est prévue cette après-midi pour récupérer. Merci à toute l’équipe ⁦@CanalplusF1⁩ pour vos commentaires 👍👍 [LIEN],Sun Oct 13 06:31:10 +0000 2019,GuillaumeChlt30,936282615065251841,0,0
1183265346242994176,"Merci @NetflixFR d’avoir permis la production de #Banlieusards de @KeryJames - alors que @canalplus, attaché à sa vision merdique et abrutissante des banlieues, a préféré produire Les Sauvages. Le monopole est terminé, désormais vous aurez des contradicteurs.",Sun Oct 13 06:16:57 +0000 2019,tsukuru,484997942,3,1
1183233795643920385,"⏰C'est l'heure de se réveiller !

☀Le soleil est de retour à Suzuka et la grille c'est maintenant en direct sur @canalplus !

#japanGP",Sun Oct 13 04:11:34 +0000 2019,CANAL+ F1®,1229481818,144,21
1183201128474914816,Bah alors @canalplus  on a eu du mal à montrer un mini reportage ? #Canalplus #F1 #Q3,Sun Oct 13 02:01:46 +0000 2019,Coconuts_666,548345414,1,0
1183200967061360641,PTDRRR @canalplus tu fais quoi ?😭,Sun Oct 13 02:01:08 +0000 2019,Villas Boiste,2774308101,0,0
1183192886466273280,Merci @NetflixFR d’avoir les couille de sortir dés film comme ça #Banlieusards @canalplus @TF1 @Francetele @M6Groupe vous server a rien avec vos série claqué @KeryJames #keryjames,Sun Oct 13 01:29:01 +0000 2019,twicognito,1007353346016120832,0,0
1183191058198466561,"Regardez la photo d'un vieux monsieur qui a été frappe par la police de @Lenin en Équateur.
@libe @Le_Figaro @RadioCanadaInfo @TV5MONDE @LePoint @canalplus @afpfr @LeDevoir @journalmetro @gazettefemmes gazette [LIEN]",Sun Oct 13 01:21:45 +0000 2019,Ek Balam,118857603,0,0
1183187268112146433,Bonjour @canalplus @CanalplusF1 comment se situe la F1 actuellement par rapport au typhon?,Sun Oct 13 01:06:41 +0000 2019,Gémella Momblaz,130460081,0,0
1183161474677653504,"Le concert était bien.
Les musiciens, les chanteurs, sécurité au top, la sono.

Bravo @EasyGroupEXP @canalplus 
#CanalTour acte 1",Sat Oct 12 23:24:12 +0000 2019,❤ A N A Ï S ❤,1669642458,9,8
