date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Fri Sep 27 12:58:09 +0000 2019,,1177568107583459328,1176870536066060294,,"@DetDidine Bonjour, votre message nous interpelle. Nous sommes désolés pour cet incident. Afin de vous aider pouvez-vous nous communiquer vos coordonnées (tél, mail) s’il vous plaît ? Merci. Stéphanie.",Géant Casino,115074264
Thu Sep 26 11:28:18 +0000 2019,,1177183109223276546,1177169551580160000,,"@MathieuDGO MathieuDGO pouvez-vous nous transmettre vos coordonnées (tél,mail) et le magasin concerné en DM? Nous allons les transmettre à notre service clients qui vous contactera dans les meilleurs délais. Merci. Anthony",Géant Casino,115074264
Mon Sep 23 08:47:22 +0000 2019,,1176055441954148352,1176048602281627648,,"@BeguetN bonjour, merci pour votre message. Afin de pouvoir mener les actions nécessaires, pouvez-vous nous envoyer vos coordonnées (tel, mail) en privé ? Nous sommes à votre écoute.Anthony",Géant Casino,115074264
Sun Sep 29 12:10:23 +0000 2019,,1178280862464561152,1178227067273568257,,"@whjkgdi bonjour, n’hésitez pas à contacter votre magasin pour vous informer. Vous trouverez son numéro en ligne : [LIEN]  Anthony",Géant Casino,115074264
Sat Sep 28 09:15:22 +0000 2019,,1177874428375515138,1177169551580160000,,"@MathieuDGO Bonjour Mathieu, merci pour votre message. Nous l'avons transmis aux équipes du magasin. A bientôt. Stéphanie.",Géant Casino,115074264
Tue Oct 01 08:28:10 +0000 2019,,1178949713875341312,1177628785123958785,,"@dgntnse Bonjour, nous sommes désolés pour le délai de réponse. Pouvez-vous nous apporter des précisions en DM ainsi que vos coordonnées (tél, mail) en DM afin que nous puissions vous aider ? Merci. Stéphanie.",Géant Casino,115074264
Tue Oct 01 09:05:20 +0000 2019,,1178959068007976960,1177990327380172800,,@SylvC83 Cette nouvelle présentation arrive progressivement dans nos magasins. Soyez assuré que ce sujet est au cœur de nos préoccupations chez Casino. Excellente journée. Stéphanie.(2/2),Géant Casino,115074264
Tue Oct 01 09:04:19 +0000 2019,,1178958813170487301,1177990327380172800,,"@SylvC83 Bonjour, dans le cadre de nos engagements suite à la signature du pacte plastique nous nous engageons à réduire les quantités de déchets liées au plastique et au suremballage. (1/2)",Géant Casino,115074264
Thu Oct 03 13:42:03 +0000 2019,,1179753483383312386,1177628785123958785,,"@dgntnse Bonjour, merci pour votre message. Nous sommes en attente de vos précisions afin de traiter votre remarque A bientôt. Stéphanie.",Géant Casino,115074264
Mon Oct 07 09:19:23 +0000 2019,,1181136931285094402,1181134739224301568,,@santon2solitude OK...Bonne humeur en perspective ! :) N'hésitez pas à signaler votre venue au vigile du magasin d'accord ? [LIEN],Géant Casino,115074264
Thu Oct 10 07:27:49 +0000 2019,,1182196016612810752,1181953168520949761,,"@Darth_Colette @ENGIEgroup @Galeries_Laf Bonjour, votre message nous interpelle. Pouvez-vous nous envoyer votre numéro de téléphone en privé ? Nous allons faire remonter votre dossier à notre partenaire. Merci",Géant Casino,115074264
Thu Oct 10 18:04:02 +0000 2019,,1182356129025839105,1182341656718270466,,"@BrolloValerie bonsoir, pouvez-vous nous préciser en privé votre rue ? Un rappel sera fait au livreur. Merci Aurore",Géant Casino,115074264
Sat Oct 12 13:07:21 +0000 2019,,1183006240538005504,1183004259710918658,,"@marcolageoire bonjour, nous nous excusons pour les faits relatés.  Votre message sera transmis aux équipes concernées.  Très bonne journée à vous. Anthony",Géant Casino,115074264
Mon Oct 14 07:51:02 +0000 2019,,1183651412787552256,1183423730028044289,,@vacuiTCA @guillaumegarot @hugoclement Bonjour ! Puis-je vous demander de quel magasin et de quelle enseigne il s'agit s'il vous plaît ? Il nous comprendre ce qu'il s'est passé.,Groupe Casino,832519808172302338
Wed Oct 09 07:38:25 +0000 2019,,1181836298291732481,1181831505498247169,,@Benjy953 Bonjour ! Pourriez-vous m'indiquer s'il vous plaît dans quelle enseigne vous avez acheté ce produit ?,Groupe Casino,832519808172302338
Mon Oct 07 07:26:55 +0000 2019,,1181108628452970496,1180925501176778752,,@MRGRTSWAN Bonjour ! Je suis navré pour cet incident. Au sein de quelle enseigne avez-vous acheté ce produit ?,Groupe Casino,832519808172302338
Mon Oct 14 18:44:40 +0000 2019,,1183815904582193152,1183812854757113864,,"@dyrudyru bonsoir, pouvez-vous nous transmettre vos coordonnées (tel,mail) en DM ? Nous allons les transmettre à notre service clients qui vous contactera dans les meilleurs délais. Merci d’avance. Victoria",Géant Casino,115074264
Mon Oct 14 13:46:17 +0000 2019,,1183740814058577923,1183086496301092869,,"@G_Tardieu @UFCquechoisir @60millions Bonjour, pouvez-vous nous envoyer vos coordonnées en privé ? Notre service clients vous contactera dans les plus brefs délais. Merci",Géant Casino,115074264
