date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Fri Sep 27 10:41:03 +0000 2019,,1177533606253727744,1.1775327704003297e+18,,"@Loutoxx Bonjour,
Votre message a été pris en compte. Je le transmets de suite au service client qui reviendra vers vous dans les plus brefs délais. 
Bonne journée, 
Mia",Cdiscount,63142684
Fri Sep 27 09:51:38 +0000 2019,,1177521167046991872,1.1775202775188972e+18,,"@KoolBool Bonjour,
Votre message a été pris en compte.  Pour que je puisse vous aider, pouvez-vous me communiquer votre Nom, Prénom, votre mail client ainsi que votre numéro de téléphone en privé, svp ? 
Merci de votre compréhension
Mia",Cdiscount,63142684
Fri Sep 27 07:09:53 +0000 2019,,1177480461334925312,1.177479562642387e+18,,"@MrTaffinovic Bonjour,
Nous avons bien pris connaissance de votre demande. Afin de vous aider au mieux, je vous invite à me communiquer vos coordonnées en message privé svp.
Merci,
Onja",Cdiscount,63142684
Fri Sep 27 06:04:40 +0000 2019,,1177464049736376320,1.1772433438704517e+18,,"@fanix8888 Bonjour,
Je suis navrée pour la mauvaise expérience.  Pour que je puisse vous aider, pouvez-vous me communiquer votre Nom, Prénom, votre mail client ainsi que votre numéro de téléphone en privé, svp ? 
Merci de votre compréhension
Mia",Cdiscount,63142684
Thu Sep 26 12:20:44 +0000 2019,,1177196303903809536,1.1771646966607135e+18,,"@PetitMomo4 Bonjour, 
On va regarder. Vous pouvez m'en dire plus en dm ? Merci
Lucie",Cdiscount,63142684
Thu Sep 26 11:51:26 +0000 2019,,1177188929537286144,1.177164050058416e+18,,"@SpiriTAlphaWolf @XboxFR Bonjour, 
La remise de 6€ n'est pas sur la manette, mais sur l'abonnement Xbox Live Gold 3 mois si vous achetez une Console XBox One S ou Xbox One X OU une manette.
Lucie",Cdiscount,63142684
Thu Sep 26 10:14:45 +0000 2019,,1177164599554125825,1.177164050058416e+18,,"@SpiriTAlphaWolf Bonjour,
Je transmets votre message au service dédié qui pourra mieux vous renseigner. Je reste disponible si vous avez des questions.
Bien à vous, 
Onja",Cdiscount,63142684
Thu Sep 26 09:57:40 +0000 2019,,1177160298521714689,1.1771238730426532e+18,,"@NicolasCatard Bonjour Nicolas, 
Je suis vraiment navrée de cette expérience. Pouvez vous me contacter en dm pour me donner vos coordonnées ? J'aimerai qu'on regarde ensemble plus en détails ce qui se passe. Aucune envie que vous restiez sur cette mauvaise impression.
A tout de suite !
Lucie",Cdiscount,63142684
Tue Sep 24 11:19:05 +0000 2019,,1176456013404418050,1.176455674164908e+18,,"@Beubeucorp Bonjour Bryan, 
Pour avoir plus de renseignement, je vais vous mettre en relation avec le service concerné qui reviendra vers vous dans le plus bref délai.
Bonne journée 
Mia",Cdiscount,63142684
Tue Sep 24 11:06:19 +0000 2019,,1176452799082745857,1.176452495557714e+18,,"@Hams38 Bonjour,
Je vous invite à nous contacter en privé afin que nous puissions faire le necéssaire pour votre abonnement.
Onja",Cdiscount,63142684
Tue Sep 24 09:10:55 +0000 2019,,1176423757239529472,1.1764230093657006e+18,,"@emanu124 Bonjour,
Je suis sincèrement navrée pour la gêne occasionnée.
Pouvez-vous nous contacter en privé pour le traitement de votre demande s’il vous plaît ? 
Merci à vous,
Mia",Cdiscount,63142684
Mon Sep 23 20:57:34 +0000 2019,,1176239204822585344,1.176238831286268e+18,,"@Damm10MC Bonsoir,
Nous avons bien pris connaissance de votre demande. Oui, vous pouvez me donner plus de détails en message privé.
Onja",Cdiscount,63142684
Mon Sep 23 15:42:53 +0000 2019,,1176160012525350918,1.176156839903449e+18,,"@t12lve Bonjour, 
Je comprends votre étonnement. Je fais suivre votre signalement en interne, afin d'alerter le vendeur. Notez tout de même que les vendeurs professionnels de la marketplace sont libres de fixer leurs tarifs et les frais de port. 
Bien à vous
Lucie",Cdiscount,63142684