id,text,data,user,user_id,favorite_cnt,retweet_cnt
1177523327642013696,"Pierre Lartigue triple vainqueur consécutif du @dakar à l’exposition 100 ans de @CitroenFrance 💪🏻
#SalonAutoLyon [LIEN]",Fri Sep 27 10:00:13 +0000 2019,Salon Auto Lyon,373851390,3,2
1177518863199506432,"Le @salonautolyon c'est aussi des voitures historiques avec deux très belles expos consacrées aux marques françaises 🇫🇷 #Alpine et #Citroen
@alpine_cars @Citroen @CitroenFrance @Salon_EpoquAuto   @tourauto @PeterAuto @MichelVaillant_ @ClassicRacingSc #salonautolyon @LyonForEvents [LIEN]",Fri Sep 27 09:42:28 +0000 2019,#AutomotivPress,334560180,4,2
1177485130543165440,Je suis pris de remord avec ma nouvelle C3 et ses 96 grammes de co2 @CitroenFrance quand je passe tous les matins devant cette fabrique de NUAGES BIO et cette odeur attirante de barbapapa #regret @Min_Ecologie @Ecolo @redaction07 @gouvernementFR @EcologieUrbaine #salaise [LIEN],Fri Sep 27 07:28:26 +0000 2019,TONTON PIERRE,2589685285,0,0
1177287569115160578,"A revoir, la mythique poursuite en CX après l'élection de Chirac en 95 #Chirac #JacquesChirac @CitroenFrance [LIEN]",Thu Sep 26 18:23:24 +0000 2019,Guillaume Vachey,2696469055,1,0
1177284205635624960,"Jacques Chirac nous a quitté aujourd'hui à l'âge de 86 ans... C'est un monument de la politique française qui disparaît 🇨🇵
Le voici, sortant de sa @Citroen
C6 dans la cours des Invalides à #Paris

#citroen #Politique #France #Elysee @CitroenFrance [LIEN]",Thu Sep 26 18:10:02 +0000 2019,Découvertes Automobiles,1084838576574156802,0,0
1177250089020067841,Merci @CitroenFrance ❤️ Est ce que @renault_fr vous auriez fait mieux ? 💛 [LIEN],Thu Sep 26 15:54:28 +0000 2019,Uzumaki,1537299072,10,0
1177240883172954114,"Future #Citroen C4 (2020) : ambition retrouvée 

&gt; [LIEN]

@CitroenFrance @Citroen [LIEN]",Thu Sep 26 15:17:53 +0000 2019,Julien JODRY,365946436,28,11
1177152673809948672,"Cette année au #SalonAutoLyon, venez découvrir l’exposition des 100 ans de @CitroenFrance ! ➡️ Hall 6 [LIEN]",Thu Sep 26 09:27:22 +0000 2019,Salon Auto Lyon,373851390,4,3
1176934264316862464,#Citroen fête son centenaire également au @salonautolyon #salonautolyon avec un très bel espace @Citroen @CitroenFrance [LIEN],Wed Sep 25 18:59:29 +0000 2019,#AutomotivPress,334560180,16,2
1176887179378929664,"01.06.2019 &amp; 21.09.2019🤵👰 avec 2 🚘 @citroen, petite attention pour fêter les #100anscitroen 😊
.
#citroentraction #citroenami8 @citroenfrance [LIEN]",Wed Sep 25 15:52:23 +0000 2019,Jérôme Laurent,49983240,2,0
1176841669511196673,@ au service conso il y a 3semaines +6 appels et tjrs pas de retour Citroën ? Savez vous ce que veux dire service client ?@CitroenFrance @JJODRY suite à pannes reconnu par @CitroenFrance,Wed Sep 25 12:51:33 +0000 2019,Del,485079769,0,0
1176813623148257281,RETOUR : Citroën : le Rassemblement du Siècle e ... [LIEN] #2Cv #AndréCitroën #CentenaireDeCitroën #Citroen #CitroënRE2 #CitroënSm #GénéralDeGaulle #LaFertéVidame #LAmicaleCitroënDSFrance #RassemblementDuSiècle #Rassembl @CitroenFrance @Citroen @AVPCD @GroupePSA [LIEN],Wed Sep 25 11:00:06 +0000 2019,Les Voitures,463116301,4,2
1176810903305695234,#Wrc - Turquie : Ogier vainqueur et doublé du Citroën  ... [LIEN] #AndreasMIKKELSEN #CitroënC3WRC #CitroênRacing #EsapekkaLappi #FordFiestaWRC #MSport #OttTänak #RallyeDeTurquie #SebastienOgier #ToyotaYarisWrc @SebOgier @CitroenRacing @CitroenFrance @OfficialWRC [LIEN],Wed Sep 25 10:49:18 +0000 2019,Les Voitures,463116301,3,2
1176753200730398722,"L'association « Les volants anciens du Haut Limousin » célèbre, samedi, les 100 ans de @CitroenFrance à #Bellac

[LIEN] [LIEN]",Wed Sep 25 07:00:00 +0000 2019,Populaire du Centre,30225126,1,0
1176603975149412352,Elles ne passent pas partout tes voitures cher @CitroenFrance [LIEN],Tue Sep 24 21:07:02 +0000 2019,Séb,92394929,0,0
1176561333740982272,"#Citroen C5 AirChrono : Visa pour le sport ? 

&gt; [LIEN]

@CitroenFrance @Citroen [LIEN]",Tue Sep 24 18:17:36 +0000 2019,Julien JODRY,365946436,19,4
