id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183150469767684097,Cc @CreditAgricole on m’accorde un prêt ? [LIEN],Sat Oct 12 22:40:28 +0000 2019,Francis Clemence,1178308955577241600,0,0
1183145520216326144,"L'application du crédit agricole c'est vraiment n'importe quoi... Dès que je me connect, veuillez contacter votre agence... Merci le @CreditAgricole 4jrs pour changer de MDP par courrier ! Les SMS vous connaissez ?",Sat Oct 12 22:20:48 +0000 2019,Ledice Ω,70659416,0,0
1183142392159002625,"On résume : @CreditAgricole fait de la pub pour sponsoriser des asso sportives. La banque dont la filiale @GroupIndigo_ pille le budget de la ville -700 000€ de recettes stationnement, pendant que @Montrouge92 baisse les subventions aux asso... Normal. [LIEN]",Sat Oct 12 22:08:22 +0000 2019,Thomas Cruse,1900999880,0,0
1183117148429914112,Merci à la vallée du CHAMPSAUR et ⁦@CreditAgricole⁩ pour le programme Rebond [LIEN],Sat Oct 12 20:28:04 +0000 2019,Viens,836872595798642689,2,1
1183001736061116416,Au secours Crédit Agricole mes cartes (la premium et la premium++) sont plafonnées à UN EURO depuis ce matin... le service carte me dit que je dois attendre l’ouverture de mon agence MARDI MATIN (on est samedi 14h45)... COMMENT JE FAIS D’ICI-LÀ ???  @CA_alp_prov @CreditAgricole,Sat Oct 12 12:49:27 +0000 2019,Philippe Ramanantsoa,2715298733,0,0
1182979535186341888,"L’#assurance vie représente un montant d’#épargne des français du même ordre de grandeur que la #dette nationale.
Qui gère cette épargne ? Avant tout des acteurs français.
@CNP_Assurances @CreditAgricole ⁦⁦⁦@AXA⁩ @CreditMutuel⁩ #PACTE #PER  [LIEN]",Sat Oct 12 11:21:14 +0000 2019,ADEAS #Orange,728721001702412288,13,13
1182960045157441536,"Si vous voulez faire une application catastrophique et inutilisable (oui, on sait jamais, chacun ses objectifs dans la vie hein), n’hésitez pas à copier celle du @CreditAgricole : elle est parfaite pour ça.",Sat Oct 12 10:03:47 +0000 2019,KaraDoc,145343375,0,0
1182690445786320896,L ancien pdg du @CreditAgricole est à l honneur sur [LIEN] [LIEN],Fri Oct 11 16:12:30 +0000 2019,pierre jovanovic ♥,205414077,35,16
1182662113715740672,[#SLFEVENT] J-8 avant l'opération #plogging autour du @CaenMemorial @CaenOfficiel avec @natixis @CreditAgricole @e2seCampus et bien d'autres... Joignez-vous à nous ! Plus on est de fous... plus on recycle ! 😜 #chaquegestecompte &gt;&gt; RDV vendredi 18 octobre à la Colline aux Oiseaux [LIEN],Fri Oct 11 14:19:55 +0000 2019,SAP Labs in France,1524902880,7,3
1182647001193832448,"Startup vs Grand groupe
🔀 Deux mondes que tout oppose ?
Kick-off étude collaborative Conseil&amp;Recherche avec @Paris_and_Co @GroupeMacif @navalgroup @CreditAgricole @GRTgaz [LIEN]",Fri Oct 11 13:19:52 +0000 2019,Christophe Solier,904515108,17,5
