id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183428072080658433,Un grand merci au @CreditMutuel pour cette belle journée en famille à @DisneylandParis ! Une organisation parfaite de A à Z 👍🎃 [LIEN],Sun Oct 13 17:03:34 +0000 2019,François OSTYN,30630363,0,0
1183420461537005568,"Un géant s'éveille #MédéricHenry
""L'Equipe de France c'est mon objectif majeur""
A lire @lequipe 🙏@GDegoulet
@EarvinNgapeth 

Belle visibilité @CreditMutuel @FRUIDOR_BUFL  @NantesMetropole @MarsVideos @Decathlon #AllSix #IfiAmenagement
Les autres... vivement la prochaine photo 😉 [LIEN]",Sun Oct 13 16:33:19 +0000 2019,NRMV,963944257,2,1
1183383227467091970,"Le @CreditMutuel  IDF est très heureux d'accueillir de nombreuses familles à @disneyland pour le Festival Halloween Disney. Citrouilles, fantômes et de gentils méchants sont au rendez-vous ! [LIEN]",Sun Oct 13 14:05:22 +0000 2019,Ehret Pascale,927396014679576576,2,1
1183328503149797376,"Last day ! Dernière ligne droite de la seconde édition du salon #UnAmourDeBrasseur
__
#UADB #CraftBeer #Food #Vaucluse #Carpentras @Carpentras84200 @PolyKeg @BtoBeer @CreditMutuel @relaisvert [LIEN]",Sun Oct 13 10:27:54 +0000 2019,Nabile [C]M.,1098894304825753600,0,0
1183305173126537216,La @LPIFF75 Ligue IdF de football fête ses 100 ans avec N Le Graet et V Pécresse et les clubs franciliens dans le magnifique centre de formation de Morfondé. @CreditMutuel IdF fier d’être partenaire [LIEN],Sun Oct 13 08:55:12 +0000 2019,Raphaël REBERT,858072049322995715,12,5
1183077579923832833,"Les bienfaits du mécénat (80 000 entreprises sont aujourd'hui mécènes) : un bel exemple à #Nantes avec le 
@CreditMutuel Loire-Atlantique et Centre-Ouest [LIEN]……",Sat Oct 12 17:50:50 +0000 2019,Nicolas Pécourt,1282856310,2,2
1183012650218872832,".@CreditMutuel pourquoi pour le 2FA le code SMS est une solution ""transitoire"" ? Pourquoi obligez-vous vos clients à utiliser votre application ?",Sat Oct 12 13:32:49 +0000 2019,Bruno Thomas,213077589,0,0
1182979535186341888,"L’#assurance vie représente un montant d’#épargne des français du même ordre de grandeur que la #dette nationale.
Qui gère cette épargne ? Avant tout des acteurs français.
@CNP_Assurances @CreditAgricole ⁦⁦⁦@AXA⁩ @CreditMutuel⁩ #PACTE #PER  [LIEN]",Sat Oct 12 11:21:14 +0000 2019,ADEAS #Orange,728721001702412288,13,13
1182940429869862913,"Merci au journal ""le Parisien"" pour cet article sur les seniors pour le 5ème tour de la coupe de France. @ParisienSpo_IDF @LeParisien_92 @Ville_de_blr @asbrfootfeminin @ASBR92 @asbrfootloisir @LPIFF75 @FFF @hautsdeseinefr @Prefet92 @MacronSports @CreditMutuel @iledefrance [LIEN]",Sat Oct 12 08:45:51 +0000 2019,asbrfoot,976758141118504960,6,2
1182935648887623680,"🔵 D’après Marylise Lebranchu, la direction du CMB-Arkéa n’a pas encore présenté son projet de sortie de la Confédération nationale du @CreditMutuel. La BCE et les autorités françaises ne sont pas favorables à ce départ.
[LIEN]",Sat Oct 12 08:26:51 +0000 2019,Breizh-Info,1433016846,0,0
1182662733654872067,Je peux plus commander sur internet c’est quoi ce bourbier @CreditMutuel,Fri Oct 11 14:22:23 +0000 2019,Jabba The Hutt.,602043593,2,0
1182653307363479555,"En matière de réseaux, le + grand risque pour une entreprise est de ne pas en faire partie. Venez rencontrer les clubs d'entreprises, leur fonctionnement et développer votre carnet d'adresses ! [LIEN] Nos partenaires @EssentielAgence @JEntreprises @CreditMutuel [LIEN]",Fri Oct 11 13:44:55 +0000 2019,CCI Ille-et-Vilaine,802493426,3,1
1182609878445150209,Du bon talmeuh ! ça fait du bien ! Merci @CreditMutuel pour la découverte ! :3 @RIFFX_fr [LIEN],Fri Oct 11 10:52:21 +0000 2019,Noémie 🇫🇷⚖️🏄‍♀️,1063737320053137409,0,0
1182312678804643843,#HelloHandicap organise son salon de #recrutement du 22 au 25 octobre ! C'est peut-être le moment pour vous de trouver l'emploi de vos rêves. Un événement à ne pas louper avec @edfenergy @dartyfr @CreditMutuel @BouyguesESUK @NorautoFr - [LIEN],Thu Oct 10 15:11:23 +0000 2019,Corasso,1037000013237420033,1,1
1182311252380602368,dit @CreditMutuel est-ce que tu pourrais mobiliser le personnel de l'agence de la croix-rousse pour qu'ils daignent répondre à une demande urgente? Tes téléconseiller n'ont pas de moyens d'action et personne ne réponds,Thu Oct 10 15:05:43 +0000 2019,npelloux,241074385,0,0
1182246060921704449,"Heureux d’avoir participé à la réalisation de ce numéro spécial de la Réf sur la finance mutualiste avec des articles de Nicolas Théry (⁦@CreditMutuel⁩), Paul Esmein (⁦@groupecovea⁩ ), JP Grimaud (Ofi), FX Albouy (chaire TDTE)... [LIEN]",Thu Oct 10 10:46:40 +0000 2019,Arnaud Chneiweiss,186408704,6,3
1182215815225057280,"Nos 5 membres fondateurs @ScaniaFrance @CreditMutuel @Maine_et_Loire @AngersAgglo @Groupe_MACSF seront présents le 22/10 pour la 1ère soirée inspirante de la #fondationUA avec une invitée exceptionnelle ! Et vous ? On y parlera #audace, #innovation, #sport et #mécénat. @Boussion [LIEN]",Thu Oct 10 08:46:29 +0000 2019,Université d'Angers,34917842,10,5
1182206065494114304,"Toutes les banques prennent leur clients pour des idiots ?
Outrage et insultes c'est leur dada ?
@dgccrf 
@CreditMutuel 
@CreditAgricole 
@Courdescomptes [LIEN]",Thu Oct 10 08:07:44 +0000 2019,Jejebreizh,868458325582786560,0,0
1182133319192006656,La sécurité informatique du @CreditMutuel [LIEN],Thu Oct 10 03:18:40 +0000 2019,Willz,598331955,0,0
