id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183359787590918144,Oui svp @ArianeBrodier ds @DALS_TF1 ça serait une plus value [LIEN],Sun Oct 13 12:32:13 +0000 2019,Maï-leen,2797754543,0,0
1183355482737696768,Tellement fière de @lindahardy et @christophelicat qui ont été juste merveilleux hier soir encore sur le parquet de @DALS_TF1 🔥❤️ Rdv samedi prochain pour le prime 5 👏🏻 la team LindaLicata est derrière vous les chouchous.🥳,Sun Oct 13 12:15:07 +0000 2019,Alison_Bct 🦋🌟🌸,1008095038579068928,5,1
1183355448789012482,Ce soir je regarde le replay de @DALS_TF1 Que j'ai pas pu regarder  hier soir donc je me coupe de @Twitter pour pas savoir qui est sorti... Lol #DALS,Sun Oct 13 12:14:59 +0000 2019,⚘Lam's Lam's⚘ 🇲🇦,829487269,0,0
1183351959815897088,"Merci pour ces quelques minutes de bonheur chaque semaine @ClaraMOfficiel 😍😍😍. Bravo, superbe prestation encore hier soir avec le talentueux @maximedereymez 😀 @DALS_TF1 #tf1 @TF1 #danse #sublime #celinedion #talent #danseaveclesstars 🤞🏽😀🤞🏽",Sun Oct 13 12:01:07 +0000 2019,MikaB,4887338211,0,0
1183343373530345472,Lenni de retour dans danse avec les stars ouaiii @LenniKim @DALS_TF1 #lennikim #danseaveclesstars #dals10,Sun Oct 13 11:27:00 +0000 2019,LenniKimeuse,1181525631215050752,0,0
1183336682298527745,Tellement hâte de revoir @LenniKim sur le parquet de @DALS_TF1 samedi prochain ! 😍 Tellement crié apprenant la nouvelle 😄,Sun Oct 13 11:00:25 +0000 2019,LK - Céline,984495615215308800,3,0
1183336326957010944,Tellement hâte de revoir @LenniKim sur le parquet de @DALS_TF1 samedi prochain ! 😍,Sun Oct 13 10:59:00 +0000 2019,Céline,3308101050,2,0
1183336052896911360,"On veut @ArianeBrodier dans #dals saison 11
@TF1 @DALS_TF1",Sun Oct 13 10:57:54 +0000 2019,Morgane ☆,4082338833,3,0
1183328721010343936,"Sinon hier soir c’était le retour de #Dorothée sur @TF1 ! 22 ans après son départ de la chaîne, elle ne change pas ! #medias #télévision #dals  @CamilleCombal @DALS_TF1 [LIEN]",Sun Oct 13 10:28:46 +0000 2019,jean-christophe galeazzi,112253000,3,0
1183315420855590914,"Message aux cadreurs de @DALS_TF1  svp arrêtez de faire des cadrages qui penchent ce n’est pas artistique, ça gâche la prestation et c’est moche. Merci 😊",Sun Oct 13 09:35:55 +0000 2019,Aline-L.,320337420,0,0
1183312457814728706,#dals10 #dals @DALS_TF1 faudrait voir à modifier le règlement. [LIEN],Sun Oct 13 09:24:09 +0000 2019,Chris&S,752487976903540737,2,0
1183282667447607296,moi je dis @samielgueddari  gagnant de @DALS_TF1  il gere grave [LIEN],Sun Oct 13 07:25:46 +0000 2019,le project 0,3391661421,6,0
1183239377440391168,"Merci ! ... Merci pour tout ce vous m’avez appris à vos côtés, et de la confiance que vous m’avez accordée. Je suis fier d’avoir pu partager ces longues années de travail intenses ensemble et cette trop courte amitié après ✨🙏🏼✨ @AgenceIdille @DALS_TF1 [LIEN]",Sun Oct 13 04:33:45 +0000 2019,Ader Sébastien,2450997193,40,7
1183228606480343040,Je suis déçue suite au départ de #HugoPhilip là on peut se dire que l'émission est truquée ce n'est pas lui qui aurait dû sortir @caroreceveur #DALS10 @DALS_TF1,Sun Oct 13 03:50:57 +0000 2019,Corinne MICHEL,216829469,0,0
1183206638318215168,"Dorothée sur #DALS @DALS_TF1 
Je ne pensais pas qu'un simple générique pouvait me toucher.
Bien joué @CamilleCombal 

Pour ceux qui n'ont pas connu les années 90. Un lien [LIEN]

PS : Si vous pouviez le poster en bonne qualité 👍 [LIEN]",Sun Oct 13 02:23:40 +0000 2019,Guillaume,1181360205948428288,33,14
1183182217457164288,Comprends pas le public qui vote... tellement triste et dégoûté pour Hugo Philip ! Il méritait pas de partir ce soir.. #DALS #DALS10 @DALS_TF1 @TF1 [LIEN],Sun Oct 13 00:46:37 +0000 2019,Animateur Cabot 💝💖💞🥰,418265678,5,0
1183180719532728320,"Un contemporain sur ""Warriors"" des @Imaginedragons avec @L0oiic, @FauveHautot &amp;  @samielgueddari.. Ce serais magique 🙏✨
[LIEN]
#dals #loicnottet @DALS_TF1",Sun Oct 13 00:40:40 +0000 2019,Morgane Nadeau-Vanni,325500186,11,1
1183179645165953025,À chaque fois que y a des renois dans @DALS_TF1 comment je les supporte à fond,Sun Oct 13 00:36:24 +0000 2019,Renato🕺🏾👣,1070323198154149888,0,0
1183178786298384384,OH PUTAIN!!!!! Je 🤯 aaaaaah LENNI REVIENT À DALS 🤯🤯😭😭😭❤️❤️❤️❤️😭😭😭😭 @LenniKim tellement fière de contente🙌🏻❤️❤️❤️😭😭😭 @DALS_TF1,Sun Oct 13 00:32:59 +0000 2019,elissa.lenni,1160940688713879556,6,0
1183164882532872194,"Très convaincu par la soirée de @DALS_TF1!😊 Il est évident que notre sublime @lindahardy enflamme le plateau comme toujours mais en revanche, le départ de #HugoPhilip est un peu injuste...💭 Le jury n'est pas du tout objectif dans les notes ce que je trouve dommage! #DALS",Sat Oct 12 23:37:44 +0000 2019,JuJu🎶🌈,706475160405155840,9,1
1183150334451077125,"Je ne regarde absolument pas @DALS_TF1 je viens juste sur Twitter voir qui a été éliminé et je vois que @riouyoann est encore là, je suis contente, bonne nuit 🤣😉",Sat Oct 12 22:39:56 +0000 2019,Elisa,863757592727879681,0,0
1183148789827358720,Ce fut rapide mais c'est toujours un bonheur de vous voir toujours très  élégant 💕pour souhaiter un #HappyBirthday🎂 aux 10ans de @DALS_TF1 @vincentniclo [LIEN],Sat Oct 12 22:33:47 +0000 2019,DUMAS Evelyne 💃🕺💞,1025038923016355841,8,1
