id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184123534651658244,Mais pourquoi donc Mr Faber ? c'est pas bien une usine ? @DanoneFR [LIEN],Tue Oct 15 15:07:05 +0000 2019,Ze Carnivore PapyGeek,1039852677176467456,0,0
1184116068819718144,Le président de @DanoneFR : « Plus de fermes usines pour nos approvisionnements ». Très dommage qu' @EmmanuelFaber utilise un vocabulaire qui ne représente rien en France mais qui conforte le dénigrement ambiant. Via @OuestFrance [LIEN],Tue Oct 15 14:37:25 +0000 2019,Yann Fichet,71619520,0,0
1184010829693411328,"⚡ Quelles sont les actus et innovations en #alimentationpersonnalisee ?
↪ On parle de vous @YoojiBabyFood, @Danone, @Nestle
ℹ Envie d’en savoir plus sur les entreprises qui innovent
en alimentation personnalisée ? Retrouvez notre audioguide à @Natexpo !
[LIEN]",Tue Oct 15 07:39:14 +0000 2019,Nutrikéo,329691516,1,1
1184007499050930176,"Le géant de l’agroalimentaire @Danone fait le pari d’une agriculture familiale pour ses approvisionnements et défend une agriculture régénératrice
[LIEN]",Tue Oct 15 07:26:00 +0000 2019,Ouest-France entreprises,472950129,0,0
1183985952185819137,"Du 16 au 20 octobre, les employés @DanoneFR se mobilisent dans les magasins Auchan, pour faire la révolution de l'alimentation ! 1 produit Danone ou Filière Responsable Auchan acheté = 0,10€ reversés à des projets d'agriculture durable #JeSaisJagis #OnePlanetOneHealth [LIEN]",Tue Oct 15 06:00:23 +0000 2019,les2vaches,1389303210,2,0
1183771414073085953,#invitation Le 17 octobre à 18h30 Présentation de notre baromètre #indicedeconfiance #CBRE des utilisateurs de l' #immobilier ! Avec @gaelthomasBI @sandraroumi @businessimmo et #PhilippeAmiotte @DanoneFR Demandez-nous une invitation au 0153643011 [LIEN],Mon Oct 14 15:47:53 +0000 2019,JeromeLeGrelle,2791280038,7,1
1183768757338066946,"A vos agendas ! 

Connaissez-vous le mouvement #JeSaisJagis lancé par @DanoneFR ? Rendez-vous le 16 octobre pour en savoir plus 😉 [LIEN]",Mon Oct 14 15:37:19 +0000 2019,AUCHAN,87701473,12,4
1183767135190966272,"Save the date !

Connaissez-vous le mouvement #JeSaisJagis lancé par @Danone ? Rendez-vous le 16 octobre pour en savoir plus 😉 [LIEN]",Mon Oct 14 15:30:53 +0000 2019,Auchan Recrute,206643590,5,3
1183700102801756160,"Future colistière sur la liste @EELV aux municipales de @dijon , @Edwigebaz vante au taquet les mérites de la société de BTP pour laquelle elle travaille : un peu comme une cadre de @DanoneFR  qui deviendrait secrétaire d'état à la transition écologique ! 🤣👏👍#ÇaCommenceFort [LIEN]",Mon Oct 14 11:04:31 +0000 2019,Game of Métropole,1036278284840001537,1,4
1183680343687061504,Lagardère Plus a accompagné @DanoneFR dans l’organisation de son tournoi international annuel la « #DanoneNationsCup » en Espagne. L'agence a accompagné la marque en pilotant l’ensemble de la partie sportive de l’événement [LIEN] Photo : Danone Nations Cup [LIEN],Mon Oct 14 09:46:00 +0000 2019,Lagardère SE FR,1688509068,7,0
