date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Sat Oct 12 20:01:26 +0000 2019,,1183110446771003393,1.1830971317516288e+18,,@Zamettar7 Bonsoir. Nous sommes navrés pour cet incident! Pouvez-vous nous rejoindre en DM avec le mail de votre compte ainsi que votre numéro de commande svp? Merci. À tout de suite.,Deliveroo France,3127184873
Fri Oct 11 19:30:37 +0000 2019,,1182740304459436032,1.1827359032755323e+18,,@KuroichigoDomen Bonsoir. Vraiment navré pour l’incident. Nous aurions besoin du mail de votre compte en DM pour vous aider. Belle soirée à vous.,Deliveroo France,3127184873
Tue Oct 08 19:12:37 +0000 2019,,1181648610435436545,1.181647726464967e+18,,@Cpt_Empyra Bonsoir. Vraiment navré pour l’incident. Nous aurions besoin du mail de votre compte en DM pour vous aider. Belle soirée à vous.,Deliveroo France,3127184873
Tue Oct 08 18:52:37 +0000 2019,,1181643578587729921,1.181632695358632e+18,,@s4pho Bonsoir. Vraiment navré pour l’incident. Nous aurions besoin du mail de votre compte en DM pour vous aider. Belle soirée à vous.,Deliveroo France,3127184873
Tue Oct 08 18:51:19 +0000 2019,,1181643251033497600,1.181628573867823e+18,,@elisabethjacob Bonsoir. Vraiment navré pour l’incident. Nous aurions besoin du mail de votre compte en DM pour vous aider. Belle soirée à vous.,Deliveroo France,3127184873
Tue Oct 08 11:48:35 +0000 2019,,1181536867101151232,1.1815283969516216e+18,,"@Futixx93 Bonjour, navrés pour ce délai ! Pouvez-vous nous rejoindre en dm avec le mail de votre compte ainsi que le numéro de la commande concernée svp ? Merci. À tout de suite.",Deliveroo France,3127184873
Tue Oct 08 11:47:40 +0000 2019,,1181536635432947717,1.181519673696895e+18,,@titibui_ Bonjour. Vraiment navré pour l'incident. Pouvez-vous contacter notre service client au 0977550330 ou via le chat pour une assistance immédiate ? Excellente journée à vous.,Deliveroo France,3127184873
Tue Oct 08 11:46:39 +0000 2019,,1181536379681099778,1.18152319618671e+18,,"@benjgros Bonjour ! Avez-vous un problème avec votre commande ? Pouvez-vous nous joindre en DM avec le mail de votre compte s'il vous plaît ? 

Excellente journée.",Deliveroo France,3127184873
Tue Oct 08 08:24:40 +0000 2019,,1181485547052834816,1.1813201794705367e+18,,"@ChristelleBK Bonjour, nous vous prions de bien vouloir accepter nos excuses pour cette inversion de commande ! Pouvez- vous nous rejoindre en dm avec le mail de votre compte ainsi que le numéro de la commande svp ? Merci. À tout de suite.",Deliveroo France,3127184873
Mon Oct 07 20:51:30 +0000 2019,,1181311109837537280,1.181304395855782e+18,,@apprendrephoto Bonsoir. Vraiment navré pour l’incident. Nous aurions besoin du mail de votre compte en DM pour vous aider. Belle soirée à vous.,Deliveroo France,3127184873
