id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183808099490127872,⚠️ attention @dominos_pizzafr !!! il sert le poing c mauvais signe !! ⚠️ [LIEN],Mon Oct 14 18:13:39 +0000 2019,❕,3367904703,1,1
1183796263780864002,"Je viens de payer 22€ pour une pizza jss une grosse merde, mais bon @dominos_pizzafr  prenez mes sou",Mon Oct 14 17:26:37 +0000 2019,c’est Thauum (Refollow),1170797082904539136,0,0
1183751079680450564,On peut ajouter @dominos_pizzafr dans la boucle :) [LIEN] [LIEN],Mon Oct 14 14:27:05 +0000 2019,Greg,202852380,1,0
1183701336841437184,"Bonne journée à tous, surtout à toi le Monsieur de chez @dominos_pizzafr qui a fait une pizza Large au lieu de Medium parce que j'avais pas la monnaie sur moi

Tu as rayonné ma journée et participé à mon cholestérol, diabète et à ma masse graisseuse disgracieuse ✌🔥",Mon Oct 14 11:09:25 +0000 2019,Valootre 🕶🧢🛵,388196840,15,0
1183670151117463552,Retrouvez toute l'#actualitééconomique dans votre kiosque le lundi avec @LeParisien_Eco / #AujourdhuiEnFrance + les #podcasts de @Jobradio_emploi. Ce matin on retrouve @dominos_pizzafr avec Florence Capdevielle #DRH 🎙 &gt; [LIEN] [LIEN],Mon Oct 14 09:05:30 +0000 2019,Job Radio,822144084324347904,1,3
1183612783885193216,"Bonjour @dominos_pizzafr , le dessous de vos cartons affirme qu’ils sont recyclables. J n’ai pourtant entendu dire que les cartons souillés de gras n’étaient pas recyclables. Alors qu’en est il réellement des votres tachés de gras ?",Mon Oct 14 05:17:32 +0000 2019,M. Vivien,1723753885,0,0
1183453665950085120,"Bonsoir @dominos_pizzafr ; voilà plusieurs mois, je vous ai signalé que le paiement en ligne ne marche plus avec la banque ING Direct. Le problème est toujours d'actualité. [LIEN]",Sun Oct 13 18:45:16 +0000 2019,EmmanuelBeziat,243023184,0,0
1183425164450717696,"Bonsoir @dominos_pizzafr, il n'y a plus la précision de ce qui est halal ou non sur votre site (avant c'était poulet rôti et merguez de souvenirs), cela veut-il dire que plus aucune viande n'est halal ? Merci d'avance pour votre réponse !",Sun Oct 13 16:52:00 +0000 2019,Yotanwa 🐯,1948951837,0,0
1183099877435334656,"C’est compliqué en 2019 d’avoir une app digne de ce nom @dominos_pizzafr, et pas une web app qui bug comme pas permis ? [LIEN]",Sat Oct 12 19:19:26 +0000 2019,Vivian,5786832,1,0
1183096900041478144,"Un livreur @dominos_pizzafr remonte le bd poniatowski sur le trottoir à fond. Il passe au rouge devant une voiture de la @prefpolice , ils ne bougent pas, je vais les voir. Ils m'expliquent qu'ils ont consignes de ne pas intervenir pour éviter un accident et/ou bavure",Sat Oct 12 19:07:36 +0000 2019,Sebetoile,6890122,48,14
1183085865670729734,"Rien ne change chez @dominos_pizzafr commande faite à 19h, pour 20h, on se dit 1h s'est large... 20h23 et toujours rien #serviceclientdemerde",Sat Oct 12 18:23:45 +0000 2019,Toni,259880756,0,0
1183073745524740099,Ma #pizza est en route ! Merci @dominos_pizzafr 🍕🍕🍕 [LIEN],Sat Oct 12 17:35:36 +0000 2019,David D.[LoganSan],363584717,1,0
1182970181058027521,"Les #cryptoaddicts - dont j'espère faire partie - apprécient et soutiennent les initiatives favorisant l'adoption des crypto-actifs, mais après trois essais non-fructueux et un SAV absent, que conclure de l'offre de @dominos_pizzafr
=&gt; [LIEN] ?
#WinBTC? #Sad [LIEN]",Sat Oct 12 10:44:04 +0000 2019,Thibault Langlois-₿erthelot,984777767739908096,4,1
1182736748482306049,"Tout le monde a des bébés/se marie et moi. 

Je vis le parfait amour avec mes copines et @dominos_pizzafr 🤷‍♀️💕",Fri Oct 11 19:16:29 +0000 2019,Marion. ✨,498241283,2,0
