date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Sat Oct 12 18:13:35 +0000 2019,,1183083307178889218,1.1830817107303342e+18,,"@JeSapelGroot_ Bonsoir Groot. On est vraiment désolée de lire votre ressenti. On reste à votre disposition par DM, si besoin. Cristiana. 🌹",easyJet,38676903
Sat Oct 12 09:57:49 +0000 2019,,1182958541348524033,1.1829554232274043e+18,,"@D02Nina Bjr, désolée pour cela. En effet, en tant que service client, nous n'avons pas accès aux réclamations concernant des bagages endommagés ou retardés. Je vous invite à patienter que le département revienne vers votre sœur ou bien lui demander de nous contacter directement en DM -A",easyJet,38676903
Sat Oct 12 07:19:09 +0000 2019,,1182918610731307008,1.1829171405774316e+18,,"@MissNaais Bonjour Anaïs, n'hésitez pas à revenir vers nous en DM avec plus de détails afin que l'on puisse comprendre la situation et essayer de vous aider au mieux 😊 Cordialement, Andréa✨",easyJet,38676903
Fri Oct 11 19:12:17 +0000 2019,,1182735691337338880,1.1827345159717356e+18,,@OffShouff Bonsoir et merci pour votre message. Je vous invite à revenir vers nous en DM avec plus d'informations. Je vous attends 😏 Alex ✌,easyJet,38676903
Fri Oct 11 15:39:27 +0000 2019,,1182682131102883843,1.1826809460903483e+18,,"@PerrineFerre Merci pour votre message Perrine, je suis désolée pour ce retard mais sachez qu'easyJet est une compagnie de point à point.
Je vous laisse consulter vos droits sur le lien suivant : [LIEN] Si besoin de plus de détails n'hésitez pas à revenir par DM- Olivia",easyJet,38676903
Thu Oct 10 13:54:01 +0000 2019,,1182293206924435456,1.1822889607243205e+18,,"@Lila_rocky Bonjour Lila,
Merci pour votre message 😊
votre vélo ou trotinnette peux aller en soute , je vous fais parvenir un lien avec ces indications et reste disponible par DM si besoin -[LIEN] - Olivia",easyJet,38676903
Thu Oct 10 11:59:38 +0000 2019,,1182264424545038336,1.182251449113305e+18,,"@nonos421 Bonjour , navrée pour la contrariété mais il est possible que le personnel au sol soit amené à demanderde placer leur bagage à main en soute mais de façon gratuite comme indique dans la rubrique ""bagages à main"":  [LIEN] - Olivia",easyJet,38676903
Tue Oct 08 19:05:44 +0000 2019,,1181646879785918465,1.181646291950035e+18,,"@FoodieFranRD Bonsoir Francesca, je peux vous aider ? si besoin n'hésitez pas à revenir vers nous par DM- Olivia",easyJet,38676903
Tue Oct 08 12:45:32 +0000 2019,,1181551196739428352,1.181548344512004e+18,,"@QuentinDegiorgi Bonjour Quentin, je vous assure que nous parlons français 😉 N'hésitez pas à revenir vers nous en DM afin que l'on puisse essayer de vous aider, si nécessaire 😊 Cordialement, Andréa ✨",easyJet,38676903
Mon Oct 07 11:05:02 +0000 2019,,1181163516893511680,1.181155331889668e+18,,"@stephmolenat Bonjour Stephanie, cette démarche est généralement associée à des compartiments remplis mais cela peut être pour des raisons opérationnelles. En effet, pour la sécurité il est important de répartir le poids de manière à ce que l'avion soit équilibré. 
Cordialement, Clara 🌟",easyJet,38676903
