id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183676968329515008,Bonjour @angeduturf et à toute l’équipe du @equidia merci d’être de retour bisous et bonne journée,Mon Oct 14 09:32:35 +0000 2019,egalamoimeme,1044556168876756993,10,0
1183426084295139329,"Je rentre de week-end, j'ouvre un compte chez @UnibetFrance pour voir comment ça se passe niveau côtes, j'analyse le papier sur l'avant-dernière course de R5 je ressort 3 bonne bases je fous 80€ dessus et 💥 500€ de gain 
Oui c'est facile 
@equidia @ricard_quentin #TeamParieur [LIEN]",Sun Oct 13 16:55:40 +0000 2019,SamTurf&Sport,1084223354146557952,1,0
1183296485401808898,Lucide pour une fois sur @Equidia le mec lui dit expert pas plus que vous ....pour une fois il dit la vérité ! 😂😂😂😂😂😂,Sun Oct 13 08:20:41 +0000 2019,oliverturf.com,1180843647459307523,0,0
1183094605052551168,Devant ma tv sur @equidia avec les commentaires de @KRiiseOdegard pour soutenir la jument Bahia Quesnot née dans la #Manche. Course sur hippodrome de @YonkersFrance,Sat Oct 12 18:58:29 +0000 2019,JaPach ن,536172451,3,0
1183091522360754177,"Si les tocards merdent encore &gt; le lien est toujours valable...

PS: @equidia sera peut-être avec l'actualité à San Isidro !? [LIEN]",Sat Oct 12 18:46:14 +0000 2019,Wolf of Coin Street on steroids ^^,1916659826,2,1
1183077518376611842,"Si @equidia, @PMU_Hippique ou encore @LeTrot pouvait faire quelque chose pour diffuser les groupe 1 a l’etranger ca serait pas de refus qu’en pensez vous @YannA2TURF ?",Sat Oct 12 17:50:35 +0000 2019,HugoM,701521014392549376,6,0
1183069717826809856,Y a les finales des championnats européens et elles ne sont même pas diffusées en live sur Equidia... Quelle incompétence de tous ces dirigeants !! @pmu @LeTrot @equidia,Sat Oct 12 17:19:35 +0000 2019,joeycruise,1517508812,20,6
1183069680153575429,Heureusement qu’il y a @stefan_melander ! Quel fiasco @equidia ! [LIEN],Sat Oct 12 17:19:26 +0000 2019,Pierrot Vgx,489553058,0,0
1183069215705698306,"Face Time Bourbon a gagné l UET apparemment
😂😂😂😂
Merci @equidia pour cette superbe réalisation, j en garderai des images plein les yeux
🤩🤩🤩🤩
Bravo pour votre travail quotidien👍
Place à San Isidro désormais
Voici un lien pour ceux qui ont raté ça :
[LIEN]",Sat Oct 12 17:17:36 +0000 2019,🇮🇩🏇Antony🏇🇮🇩,1403288528,27,7
1183064636347834368,Vous êtes terrible 😡😡 @equidia,Sat Oct 12 16:59:24 +0000 2019,MaRJosh,2517631431,1,0
1183056510093615106,Bravo à Joseph-Mathieu Mighty au micro de Stéphane Mons @equidia     pour la 1ère victoire de sa carrière sur @HPornichet. Une première qui n'en restera sans aucun doute pas là ! [LIEN],Sat Oct 12 16:27:06 +0000 2019,Dominique Berthelot,2179366078,0,0
1183018218404941824,Finalement @equidia et @BFMTV font le même travail ? #FakeNews,Sat Oct 12 13:54:57 +0000 2019,Waouh Eve,265756303,0,0
1182934347164389377,En route pour Cabourg aujourd’hui📸🐎 @LeTrot @equidia,Sat Oct 12 08:21:40 +0000 2019,Bast.,757165680,2,0
1182922451317067777,[etat du terrain] 4.1 (très souple). Début des opérations à 13h30. Journée à la découverte du monde des courses. Entrée gratuite nombreuses animations @equidia @MLaffitte_OT @AEDG_fr @assojockeys @Paris_Turf [LIEN],Sat Oct 12 07:34:24 +0000 2019,Maisons-Laffitte,4052281396,13,6
1182735342438363137,Je crois que le CM d'@equidia s'est trompé. [LIEN],Fri Oct 11 19:10:54 +0000 2019,C'est l'heure \o/⭐️⭐️,69591923,1,1
1182731963892928515,"Retour @YonkersRaceway @PMU_Hippique @equidia samedi à partir de 20h30 pour le #InternationalTrot avec #BahiaQuesnot et Junior Guelpa au départ face à une redoutable coalition.
Le programme est ici : [LIEN] [LIEN]",Fri Oct 11 18:57:28 +0000 2019,YonkersFrance,2821813226,9,6
1182607562438516736,"Dans la 2ème course à Laval
Une nouvelle parodie de course de Jph Dubois avec le grand favori (7/10) placé en dernière position toute la course
Personne n'en parle @equidia alors que le règlement des courses prévoit pourtant la défense des intérêts du parieur
#legranddirect",Fri Oct 11 10:43:09 +0000 2019,PEGASETURF,3065245870,11,0
1182404044091998208,"#BalanceTonPost Fais gaffe @Cyrilhanouna ...! A force de dire que @RaquelGarridoFr est ta ""chouchoute"", tu vas te faire pourrir la vie par #LREM @MarleneSchiappa &amp; Co et te retrouver sur @equidia à commenter le quinté ! Vénézuélaaaaaaaaaa !.. 😄✊",Thu Oct 10 21:14:26 +0000 2019,Gondioc 451,2771981716,0,0
