id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184439819906306048,"Hey @ffbasketball, est ce que vous savez quand aura lieu le tirage au sort des 1/16e de finales de la #CDFBasket ?",Wed Oct 16 12:03:53 +0000 2019,Romuald COUSTRE,163620957,3,0
1184400007203639297,"Basket, l'impasse du développement de nos actions sociales et sociétales en #QPV... Quand est ce que l'on va pouvoir reprendre des @ServiceCivique (agrément propre ou collectif via @ffbasketball ) Madame la @Prefet63 on est bloqué depuis fin juillet ! #Help [LIEN]",Wed Oct 16 09:25:41 +0000 2019,💚 Alfa Saint Jacques 🖤,3062391525,0,1
1184379967737610240,Prémonition ? @NBAcom @NBATV @tonyparker @rudygobert27 @EvanFourmizz @LAClippers @ffbasketball #basket #basketball #NBA [LIEN],Wed Oct 16 08:06:03 +0000 2019,Chirac Mathieu,748120825,0,0
1184374652816244736,20 ans déjà que nous avons le plaisir et l'honneur d'accompagner d'anciens sportifs professionnels dans leur parcours de reconversion. Merci à tous ceux qui rendent cela possible et en particulier nos partenaires sportifs @FFF @LFPfr @LNRofficiel @ffbasketball @LNBofficiel [LIEN],Wed Oct 16 07:44:56 +0000 2019,CDES,3646449259,8,1
1184203576643608582,Prolong du @RouenMBasket mais le live YouTube de la @ffbasketball qui marche pas. Génial ça 😭,Tue Oct 15 20:25:08 +0000 2019,obiwan,704257078936915968,1,0
1184191242198044673,"🏀Match🏀 #CDFBasket 
VICTOIRE 🍾
UTBM 83 - 70 @pb86officiel
Quel match des Tourangeaux !
#Tours @ffbasketball [LIEN]",Tue Oct 15 19:36:08 +0000 2019,UTBM,2815625109,28,6
1184181378038059009,"#Olb #Saison2o19-2o2o
Photo officieuse de la photo officielle 👌🏽
@OLB45 @OrleansMetropol @ffbasketball #Orléans #Basket #Sport [LIEN]",Tue Oct 15 18:56:56 +0000 2019,Soufiane Sankhon,892869536051056644,13,0
1184165799235346437,"Suivez les 32es de finale de #CDFBasket @ffbasketball  🆚 @ToursBasketUTBM 

📊 Live stats &gt; [LIEN] [LIEN]",Tue Oct 15 17:55:01 +0000 2019,Poitiers Basket 86,109807082,1,1
1184143754418163715,"Avant le match de ce soir contre @pb86officiel (20 h, Monconseil #Tours), retour sur les tops de la journée précédente, les résultats (défaite contre @vcbplus ) et le classement. Nous restons dans le Top 5 malgré cette contre-performance.
Maintenant place à la #CDF @ffbasketball [LIEN]",Tue Oct 15 16:27:26 +0000 2019,UTBM,2815625109,0,1
1184084070998917123,"Le #SLUC retrouve le @BCSOUFFEL ce mardi soir, cette fois dans le cadre des 32e de finale de la Coupe de France @ffbasketball 
[LIEN]",Tue Oct 15 12:30:16 +0000 2019,L'Est Sports Lorrain,1560794072,1,0
