id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183427493941919744,"Voilà qui fait plaisir et démontre, s'il en était besoin que #LFI est un mouvement qui démontre qu'on peut s'entendre sur ce qui nous unit et pas sur ce qui nous divise. #Municipales2020 @AngersInsoumise @FranceInsoumise [LIEN]",Sun Oct 13 17:01:16 +0000 2019,Max Trousse,1038711118217265152,0,0
1183421303316975616,Les liens très obscurs des gauchistes de la @FranceInsoumise avec ceux qui trouve normal de tuer 4 policiers!  L'alliance du terrorisme en herbe et de l'extrême gauche. La complicité objective des islamo-collabos avec les sympathisants des islamistes. [LIEN],Sun Oct 13 16:36:40 +0000 2019,Gerard Brazon,576384532,1,1
1183398658605277184,"2 jours de débats intenses qui s'achevent avec le Comité Électoral de la @FranceInsoumise ! 
Ce travail est long et fastidieux mais nous avons bien avancé 💪
Merci aux membres de m'avoir accueilli. [LIEN]",Sun Oct 13 15:06:41 +0000 2019,Manon Cantin 🔻,836170007121887232,23,6
1183397254046142467,"C’est une photo qui mérite des explications :
- @Deputee_Obono

- @alexiscorbiere
@JLMelenchon 
- des membres @FranceInsoumise en réunion avec
– #HadamaTraoré l’organisateur de la manifestation interdite en soutien à #MickaelHarpon le #terroriste de la @prefpolice",Sun Oct 13 15:01:06 +0000 2019,François catho réac patriote de droite,756750313693048832,8,6
1183395408392982528,"Bon we
1 député RN qui stigmatise une femme
1 ministre de l'en qui stigmatise bêtement des enfants
1 gvt qui prône la délation sous couvert de vigilance
1 police qui fait fuiter une fausse information 5 fois
Tous les médias qui se précipitent sans attendre
@FranceInsoumise @LAEC",Sun Oct 13 14:53:46 +0000 2019,Catherine,905859533343469568,3,1
1183392051142025216,"En faisant le pari du clientélisme communautaire à des fins électoralistes, qui plus est avec ceux qui font l'apologie du terrorisme, la @FranceInsoumise se met dangereusement en marge de la Gauche républicaine et de la République. [LIEN]",Sun Oct 13 14:40:26 +0000 2019,Aurélien Tarquis,3364877428,7,4
1183381866730143746,"Porte-parole de la @FranceInsoumise  jusqu'à fin 2017, @RaquelGarridoFr avait fait polémique en devenant chroniqueuse dans l'émission de @Cyrilhanouna (@TPMP). Et maintenant, elle veut revenir !? Le pire de la politique, de l'opportunisme et des dents longues : à proscrire !!! [LIEN]",Sun Oct 13 13:59:57 +0000 2019,La Palourde Enragée,927539707994693635,0,0
1183379423044739072,#KurdesSoutien Défendons le #Rojava contre l'agression militaire turque! Prises de parole d'@AgitP2 @Fabien_Rssl @ericcoquerel @EstherBenbassa @RemiFeraud @olbesancenot @JLMelenchon/@FranceInsoumise @PierreSerne @RojavaFrance @JFPellissier La [VIDÉO]: [LIEN] [LIEN],Sun Oct 13 13:50:15 +0000 2019,Frederick M n°3775,254947242,13,12
1183371632112484352,Merci d'apporter votre opinion a ce sondage @FranceInsoumise @EELV @JLMelenchon @Francois_Ruffin @EstherBenbassa @AnonGilet @ManonAubryFr @AQuatennens @Deputee_Obono @socialistesAN @deputesPCF @NPA_officiel @Senat @gouvernementFR [LIEN],Sun Oct 13 13:19:17 +0000 2019,Pour une excreme(nt) droite molle,1137045776994115585,0,0
1183354288447393792,La @FranceInsoumise prêt à tout pour quelques bulletins de vote. [LIEN],Sun Oct 13 12:10:22 +0000 2019,Egoiste,540677547,0,0
