id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183356322684768256,"hier seule @Francetele à présenté ses excuses... 😳

#credibilité [LIEN] [LIEN]",Sun Oct 13 12:18:27 +0000 2019,Francois Desenfants,984634946,0,0
1183351093746638848,"Il serait appréciable que l’ensemble des #media en fasse autant....
@BFMTV @Le_Figaro @Europe1 @GroupeTF1 @Francetele ...... [LIEN]",Sun Oct 13 11:57:41 +0000 2019,Géraldine Grümmer #⃣🎀,593735566,0,0
1183349376313368576,"Je viens de voir qu'il y a l'intégral de Clara Sheller sur @Francetele 

On a trop envie d'une saison 3 non ? 

[LIEN]",Sun Oct 13 11:50:51 +0000 2019,RONAN,59849432,3,0
1183326041454141441,Hier soir l'émission #LacoursedesChampions était super bien bravo a @Francetele,Sun Oct 13 10:18:08 +0000 2019,G&K Maxime,1000064267780087808,0,0
1183317492502020097,"Bonjour @TwitterFrance ! J'ai fait un rêve... que mon fil d'actu soit rempli de nouvelles sur la situation en #Equateur ... visiblement ça ne sera pas pour aujourd'hui ! #pasunmot #EcuadorEnCrisis #EcuadorSOS 
@BFMTV @TF1 @FRANCE24 @Francetele @M6 @ARTEfr [LIEN]",Sun Oct 13 09:44:09 +0000 2019,Jean-Amaury Meyer,107420733,3,3
1183316948957794304,"Questions Politiques #QPol d’@AliBaddou avec :

👉 @ygoosz de @franceinter 
👉 @jeffwitten de @Francetele 
👉 @FFressoz de @lemondefr 

Invité politique @NicolasBay_ député européen #RN

À 𝟭𝟮𝗛 sur @franceinter

#Politique #Europe [LIEN]",Sun Oct 13 09:42:00 +0000 2019,France Inter Presse,882399637,3,1
1183314304499699714,"Oui je sais, c'est pas le Vénézuela mais vous savez les droits de l'homme qui vous tiennent tellement à cœur au Kurdistan ?! En Équateur, l'armée tue sous votre silence complice, bande de corrompus !
@afpfr @France24_fr @franceinfo @franceinter @Francetele @BFMTV @CNEWS @ARTEfr [LIEN]",Sun Oct 13 09:31:29 +0000 2019,Aziz Rahel,582179477,4,2
1183310349682008066,🤗🤗Bravo aux équipes et merci à nos fidèles téléspectateurs @JTweFrance3 @France3tv @Francetele #DreanTeamWeekEnd [LIEN],Sun Oct 13 09:15:46 +0000 2019,Catherine Raymond,1216282508,8,1
1183305473694621696,Exactement ce qu’on attend d’une rédaction : qu’elle reconnaisse ses erreurs si elle en a fait. Comment rétablir la confiance @csaudiovisuel @Francetele @franceinter @franceinfo [LIEN],Sun Oct 13 08:56:24 +0000 2019,Gilles Cheyrouze,214128063,0,0
1183301234805149696,"Ravie d'avoir revue @DorotheeOff à #DALS ❤️❤️❤️
@DNA_TF1 , @PBLVofficiel @TF1 , @Francetele @canalplusgroupe @M6 à qd une vraie proposition belle d'émission, un rôle ds une fiction, série, films pour elle ? Elle ns manque bcp !😀😍",Sun Oct 13 08:39:33 +0000 2019,Laetitia,186002208,1,0
1183284952315650049,Le groupe @BetaFilmGmbH réalise un gros deal en Europe pour la série #HudsonandRex avec de nombreux diffuseurs européens et chez nous c’est @Francetele qui diffusera la série ! [LIEN],Sun Oct 13 07:34:51 +0000 2019,Lubie en Série,38410420,2,0
1183284542880256001,"La télévision publique française n'est pas capable de produire un tel documentaire pour l'intérêt général? @France2tv @Francetele @France5tv ? En france, on préfère s'intéresser à #Ligonnès et abrutir la population?😡 #BrexitShambles #Brexit 
[LIEN]",Sun Oct 13 07:33:14 +0000 2019,Sophia Dore,1001357007599865857,3,4
1183283997503381504,"Nouvelle sortie maintenant 🔥🎵🇫🇷
VOTEZ @carlamusicoff_ 🇨🇵🇨🇵🇨🇵
Concours Eurovision de la chanson Junior 2019

Le clip de « Bim Bam Toi 
@LabelMCA Universal France 
@EurovisionF2 @EurovisionJr  @Francetele @France2tv 
Clip▶️ [LIEN] [LIEN]",Sun Oct 13 07:31:04 +0000 2019,AlonzoBaticle,1148946713815801856,0,0
1183266511802241025,"Sur Ligonnès, vous avez été au top ! Encore merci ! 
@lemondefr
@RTLFrance
@radiofrance
@franceinfo
@franceinter
@Europe1
@Francetele
@France2tv [LIEN]",Sun Oct 13 06:21:35 +0000 2019,⚪ Tibonov,2169707634,1,0
1183222441675513857,"""Avec les risques que cela comporte""
1: ne pas chercher un scoop
2: attendre quelques heures
3: donner une information vérifiée définitivement
4: suivre une source ce n'est pas une enquête.

5: c'est beaucoup plus qu'un ratage
@Francetele
 [LIEN] via @franceinfo",Sun Oct 13 03:26:27 +0000 2019,J'ai le sourire,116011372,0,0
1183192886466273280,Merci @NetflixFR d’avoir les couille de sortir dés film comme ça #Banlieusards @canalplus @TF1 @Francetele @M6Groupe vous server a rien avec vos série claqué @KeryJames #keryjames,Sun Oct 13 01:29:01 +0000 2019,twicognito,1007353346016120832,0,0
1183143372288151553,Vous faites de l'info de merde @LetranchantY Vous ne nous avez pas  informés correctement sur la catastrophe de #Rouen #lubrizolrouen  vous ne nous avez pas informés du tout  sur ce qui se déroule en  #Equateur etc et  là vous nous racontez des salades ! Ca suffit @Francetele [LIEN],Sat Oct 12 22:12:16 +0000 2019,R. Gaillard  ن ✡ ☾,125049715,13,9
1183134712115662849,".@Nagui Bonjour ! J’ai beaucoup apprécié votre documentaire sur votre ami « Didier face à Deschamps ».
Rassurez moi, j’espère que votre documentaire sortira en DVD. Mille Mercis à vous pour votre humanité, vos émissions sur @franceinter et @France2tv @Francetele !",Sat Oct 12 21:37:51 +0000 2019,NICOLAS GANZ,1091273152800395264,0,0
1183113337703407616,Ford Kuga E85 : Roulez 2X moins cher avec le Ford Kuga E85 [LIEN] via @YouTube #LacoursedesChampions @FordFrance @Francetele,Sat Oct 12 20:12:55 +0000 2019,Faugeras Julien,1147783784546406400,1,0
1183106894929498117,"On nous enlève les programmes populaires de Patrick Sébastien #GrandCabaret #LesAnnéesBonheur pour nous mettre du sport un samedi soir au lieu de se divertir merci @Francetele je ne regarde pas #LacoursedesChampions !!! 😔 @DelphineErnotte 

#TPMP",Sat Oct 12 19:47:19 +0000 2019,DDDamiennn,2863269233,2,0
1183101378039820288,Après la première épreuve de #LacoursedesChampions 😮 !! 😂😂 #france2 @Francetele @olivierminne @teddyriner @LauryThilleman [LIEN],Sat Oct 12 19:25:24 +0000 2019,dabou,783580942208274432,2,1
1183101072258273280,"#dupontdeligonnes
Les seuls à cette heure à présenter leurs excuses (et c'est pourtant le minimum).
👍 
C'est donc bien d'assumer @Francetele @20hFrance2 @France2tv @France3tv @franceinfo mais le mieux serait de ne pas bêler avec les autres au prochain emballement médiatique. [LIEN]",Sat Oct 12 19:24:11 +0000 2019,Guillaume,1181360205948428288,0,0
