id,text,date,user,user_id,favorite_cnt,retweet_cnt
1177580789799825411,"Réunion des référents ENR du @cmb à st Brieuc. 
Objectif accompagner les projets agricoles au service de la transition énergétique  du territoire.
Merci @GRDF pour leur participation. [LIEN]",Fri Sep 27 13:48:33 +0000 2019,Olivier Morvan,2468881797,5,1
1177514810650456064,"🏆 L'unité de prod° de gaz vert de la station d'épuration du Reyran à @VilleDeFrejus #CAVEM remporte le prix des internautes au concours Green Awards Solutions 2019 !
➡️ 1 unité qui permet de réduire les boues de 30% &amp; de produire du biogaz ensuite réinjecté dans le réseau @GRDF [LIEN]",Fri Sep 27 09:26:22 +0000 2019,Veolia France,783942862685802500,18,9
1177497492427960322,⁦@CMBretagne⁩ ⁦@cmarkea⁩ ⁦⁦@GRDF⁩ ⁦@AILEAgence⁩. Réunion des chargés et responsables de clientele agricole du CMB à St Brieuc. Une formidable équipe de référents en Énergies Renouvelables en lien direct avec les porteurs de projets de leur territoire 😉 [LIEN],Fri Sep 27 08:17:33 +0000 2019,Daniel Caugant,4375377683,16,5
1177456672173768705,Félicitations @ByndeBisso @TouatiAlexis 👏🏻👏🏻 et plus globalement la #TeamRecrut 🎉 #TeamRHIDF @GRDF [LIEN],Fri Sep 27 05:35:21 +0000 2019,🌎 Julien Grimler,581981739,4,0
1177332809729478664,On a noté que l’implication des opérateurs de réseau dans les projets innovants est vitale pour donner le coup de pouce initial à ces filières émergentes. @GRDF @Teregacontact @GRTgaz @R_GDS_  #SPegnn [LIEN],Thu Sep 26 21:23:10 +0000 2019,Lemelletier Sylvain,761805698,6,0
1177331259485360135,"1er Comité Confiance Collectivités 3C sur la plaque IDF Est, DCT/DR réunis pour mieux se comprendre et avancer ensemble Vert l'Avenir🌿🍌🥕🥔🌿@GRDF #gazvert @haririrami @FabVIGNERON [LIEN]",Thu Sep 26 21:17:00 +0000 2019,Godefroy Siaud,842007751240867841,9,1
1177299111722258438,"Une station publique #GNV-#BioGNV à @yzeure, une unité de méthanisation à Saint-Pourçain sur Sioule, l'@Allierdpt en route pour une économie circulaire vertueuse @GNVolontaire @GRDF @auvergnerhalpes [LIEN] [LIEN]",Thu Sep 26 19:09:16 +0000 2019,ZAGORSKI Jean-Paul,2866140479,11,10
1177260102744719361,Inauguration 1ere station #GNV dans #Allier à Yzeure inscrite dans démarche @GNVolontaire. Merci à @grdf @auvergnerhalpes #GNDrive pour cette concrétisation de stations et 🚛 pour diversification du mix #energetique #transports vertueuse. Merci au groupe Martenat pour son accueil [LIEN],Thu Sep 26 16:34:15 +0000 2019,DUVAL Agnès,799578294144421888,24,13