id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183363440649342976,"Non Monsieur le policier, je ne sortirais pas d'ici sans ma weed! Elle est légale et j't'emmerde [LIEN] via @YouTube @legrandjd @CBD_Nation @PoliceNationale @Gendarmerie @EmmanuelMacron",Sun Oct 13 12:46:44 +0000 2019,KlemouloxTv,1181223404797677568,2,0
1183355584227303424,"🇨🇵 [MAINE-ET-LOIRE]
#RS2019 à #CoeurDeMaine @Angers sous un beau 🌞 ! Les #Angevins sont venus nombreux à la rencontre de ceux qui nous protègent ! @Prefet49 @Gendarmerie @PoliceNationale @SDIS_49 @SecCivileFrance @Maine_et_Loire @ecolegenie49 @justice_gouv #PoliceMunicipale [LIEN]",Sun Oct 13 12:15:31 +0000 2019,AmisGendarmerieComité49-4,1139638058335293441,2,0
1183352004925624323,"Tiens tiens, le premier conseil ""demander une carte professionnelle""...
en plus, c'est @Gendarmerie qui le dit !
#JDCJDR 😉 [LIEN]",Sun Oct 13 12:01:18 +0000 2019,Emmanuel,993611613134557186,0,0
1183344646849748997,"73 ans. Pas salafiste. Un Fada sûrement , avec un fusil de chasse, mais tout de même notre élite du #gign @Gendarmerie
ne pouvait elle faire un tir de ""neutralisation"" et non létal  ?? Prix de la vie humaine ?? 
#Oise
[LIEN]",Sun Oct 13 11:32:03 +0000 2019,Ch Eoche Duval,956207472,0,0
1183327829750095873,"Les milices de @EmmanuelMacron et @CCastaner ont des familles qui partageront notre destin, ils le partageront aussi, ils ne seront pas épargné @PoliceNationale @Gendarmerie [LIEN]",Sun Oct 13 10:25:14 +0000 2019,XforFAA,706177968842915842,0,0
1183325131994734594,"Pour tous renseignements recrutement @Gendarmerie tests SOG , carrière et GIGN Cir gendarmerie de votre région [LIEN]",Sun Oct 13 10:14:31 +0000 2019,Team Aton (Aton no officiel),1135887321079959555,3,1
1183319674815238144,"Ces gens sont des inconscients dont le seul but est de monopoliser les forces de l'ordre pour concentrer l'image médiatique... 

C'est vrai que nos @PoliceNationale
et @Gendarmerie n'ont que ça à faire... #ExtinctionRebellion
 [LIEN]",Sun Oct 13 09:52:50 +0000 2019,Guillaume AGHROUM,2799491034,1,1
1183309549815644161,"""France-Turquie J-1: tension et sécurité au centre des questions""
Il faut reporter ce match...ca risque de degenerer grave a cause de la Syrie
@FFF
@ScpnCommissaire
@Gendarmerie @BFMTV @_LesPatriotes @enmarchefr @edwyplenel @franceinfo @lesRepublicains @RNational_off @K24English",Sun Oct 13 09:12:36 +0000 2019,Pascal Vitale,808755971464032256,0,0
1183305095120932865,"Venez nombreux mercredi prochain au village de la sécurité de 10h à 17h, place de la Victoire à #perpignan 
@Place_Beauvau @Prefet66 @Gendarmerie @PoliceNationale @CroixRouge @croixblanche66 @FFSSnational @adrasec066 @SauveteursenMer  @ProtecCivilefr #RencontresDeLaSecurite [LIEN]",Sun Oct 13 08:54:54 +0000 2019,SDIS 66,537112018,7,4
1183293922191257601,"Ce genre de chose qui brise énormément! @Gendarmerie réagissez autrement ou après à vos gars à faire leur boulot quoi, vous vous rendez même pas compte des dégâts psychologiques que ça peut entraîner. Hallucinant, on dirait des incompétents au chantier. [LIEN]",Sun Oct 13 08:10:30 +0000 2019,valo🇵🇹,1022869477057339392,0,0
1183272204777246720,"Bonjour @PoliceNationale @prefpolice @Gendarmerie j’ai retrouvé #DeLigonnes il a fait quelques opérations chirurgicales mais c’est lui ! J’le jure sur sa tête ! Allez l’arrêter ! Merci, bisous 😘 [LIEN]",Sun Oct 13 06:44:12 +0000 2019,Pd festif auto-entrepreneur,93924721,2,0
1183258156299890688,"""La liberté des uns s'arrête où commence celle des autres""
@NantesMetropole @Gendarmerie ça vous parle ? Du coup, on peut faire quelque chose par rapport à la freeparty qui emmerde tout Sainte Luce, et une partie de l'agglo depuis maintenant 2 nuits ?",Sun Oct 13 05:48:22 +0000 2019,Killian Blais / Artrande,209298613,3,0
