date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Fri Oct 11 16:21:00 +0000 2019,,1182692587121053698,1182677677356048386,,@Julv_SNJV On en est très heureux ! Rendez-vous à Auroa ? 😎,Ghost Recon FR,3246208314
Fri Oct 11 16:19:00 +0000 2019,,1182692083804594176,1182687838569226240,,@maelpors Ravis que ton l'immersion à Auroa te plaise et merci pour ces belles photos. 👍,Ghost Recon FR,3246208314
Wed Oct 09 14:20:48 +0000 2019,,1181937560144056326,1181924941148704768,,"@Gatuso35 Déjà un très bon temps de jeu, Ghost. 👍",Ghost Recon FR,3246208314
Tue Oct 08 15:15:29 +0000 2019,,1181588935606198272,1181531800029585408,,@Rulioeldiablo Un petit conseil : ne suis pas les ballons. 🎈,Ghost Recon FR,3246208314
Tue Oct 08 13:07:29 +0000 2019,,1181556722986602496,1181203494239428608,,"@yakolion Salut, si tu rencontres un problème concernant les récompenses Ubisoft Club, tu peux t'adresser à notre service @UbiSupportFR qui te viendra en aide. À très vite, Ghost. ☺",Ghost Recon FR,3246208314
Sun Oct 06 13:50:29 +0000 2019,,1180842765929857025,1180826644208070659,,"@kuk_suga Salut spooktober, nous t'invitons à contacter notre compte @UbiSupportFR afin de discuter de ton problème avec l'un de nos agents.",Ghost Recon FR,3246208314
Sun Oct 06 11:25:11 +0000 2019,,1180806201849913344,1180803578576986112,,@XxViruSxX18 Content de savoir que tu apprécies Ghost Recon Breakpoint ! 🙌,Ghost Recon FR,3246208314
Sun Oct 06 09:57:44 +0000 2019,,1180784193808338944,1180774914611187712,,"@Valdis_GG Bonne excursion sur Auroa, Ghost ! 👊",Ghost Recon FR,3246208314
Sat Oct 05 17:00:31 +0000 2019,,1180528204697804800,1180444062006091776,,"@lep4cha On espère que ton stream s'est bien passé, Ghost ! 😀 👍",Ghost Recon FR,3246208314
Sat Oct 05 16:56:25 +0000 2019,,1180527171967881217,1180448047639203840,,"@Echaderba Salut Castle JR, désolé nous n'avons aucune information à ce sujet à l'heure actuelle. Reste à l'affut de nos futures communications ! 💪",Ghost Recon FR,3246208314
Sat Oct 05 16:49:00 +0000 2019,,1180525305108279297,1180465996798337027,,"@mess0180 Heureux de vous savoir de retour, Ghost ! 😎",Ghost Recon FR,3246208314
Fri Oct 04 15:34:37 +0000 2019,,1180144195996176385,1180132406751367168,,"@tomgrgrn Salut Ghost, nous rencontrons un problème affectant la connectivité du jeu et sommes navrés pour la gêne occasionnée. Tu peux suivre la résolution de ce problème ici ► [LIEN]",Ghost Recon FR,3246208314
Fri Oct 04 15:34:05 +0000 2019,,1180144065326833665,1180133090993283073,,"@FuckingThanos Salut Ghost, nous rencontrons un problème affectant la connectivité du jeu et sommes navrés pour la gêne occasionnée. Tu peux suivre la résolution de ce problème ici ► [LIEN]",Ghost Recon FR,3246208314
Fri Oct 04 15:33:30 +0000 2019,,1180143918761033728,1180134030790053888,,"@florianvrx Salut Ghost, nous rencontrons un problème affectant la connectivité du jeu et sommes navrés pour la gêne occasionnée. Tu peux suivre la résolution de ce problème ici ► [LIEN]",Ghost Recon FR,3246208314
Fri Oct 04 15:07:45 +0000 2019,,1180137436631961600,1180135095740649472,,"@cricri69200 Salut Ghost, nous rencontrons un problème affectant la connectivité du jeu et sommes navrés pour la gêne occasionnée. Tu peux suivre sa résolution ici ► [LIEN]",Ghost Recon FR,3246208314
Fri Oct 04 15:06:26 +0000 2019,,1180137104430555139,1180135603196837890,,"@Dwight44954 Salut Ghost, nous rencontrons effectivement un problème de connectivité et sommes navrés pour cela. Tu peux te tenir informé de la résolution de ce problème ici ► [LIEN]",Ghost Recon FR,3246208314
Fri Oct 04 15:04:35 +0000 2019,,1180136638523101185,1180135669030690817,,"@BuglandShad Navrés pour cela, Ghost. Nous rencontrons un problème affectant la connectivité du jeu. Tu peux te tenir au courant de sa résolution ici ► [LIEN]",Ghost Recon FR,3246208314
