id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183392208768131076,"Cc @Joe_DaGrosa @f_longuepee, c'est donc cette image là que vous voulez donner de notre club ? Il faut que ça cesse maintenant, on a pas le droit de salir nos couleurs comme ça. Les @girondins sont un club historique prenez en conscience très vite ! [LIEN]",Sun Oct 13 14:41:03 +0000 2019,Anthony Drp ⭐️⭐️,977568866,0,0
1183346364069154816,Je pense que je vais devenir supporter des @girondins mais aussi des rugbymans japonais #JAPvSCO,Sun Oct 13 11:38:53 +0000 2019,Suzie MGMT,1042644686,0,0
1183343504476557312,"Un magnifique souvenir de mon dernier séjour Sénégalais.. @girondins @alexandreruiz @riomavuba @Cyrilhanouna @BixeLizarazu @DidierTholot @C_Hutteau @gregmargotton @JULIENBEE 
Je repars en 2020 😀j'aimerais tant leur amener des maillots, des ballons, et ils jouent en claquettes 🙏 [LIEN]",Sun Oct 13 11:27:31 +0000 2019,Nathalie Tourier,3035535256,2,0
1183332990946029570,"La faute originelle revient à la direction pas à Papin et son parcours.
Quand on connait l'histoire du club, on prend un joueur emblématique et qui représente complétement les @girondins.
Joueur de talent et caractère du coin.
Numéro 1️⃣0️⃣
Alain Giresse [LIEN]",Sun Oct 13 10:45:44 +0000 2019,Djino,759462967217913856,33,3
1183319114472972289,Allez plus qu'une semaine pour revoir mes @girondins ❤,Sun Oct 13 09:50:36 +0000 2019,🌟Makiti 🌟💪👊⚽️🇫🇷🇺🇸,796872803895087104,4,0
1183269614177968128,"PROCHAIN MATCH :
FCGB - ASSE
STADE RENÉ GALICE 🏟
15h00 ⏰
@girondins @asseofficiel @matmutatl ligue1conforama 
Ligue 1 - 10ème journée… [LIEN]",Sun Oct 13 06:33:54 +0000 2019,_fcgb_inside_,1146379726640037890,1,1
1183082984485863424,Entrainement des @girondins ce matin = match entre l'équipe pro et l'équipe réserve 📸 #EntrainementFCGB [LIEN],Sat Oct 12 18:12:18 +0000 2019,Serenundaia,3075657917,23,3
1182978663979126784,Le rêve de voir ça à @girondins [LIEN],Sat Oct 12 11:17:46 +0000 2019,CHRISTYSON,331038631,3,0
1182969738860871681,Merci Arnor. J'ai gardé aussi de très bons souvenirs de vous. Un vrai battant avec un grand respect pour les @girondins et le football en général. 2 buts inscrits pour le match de la montée. Le seul joueur au monde a avoir été remplacé par son fils durant un match international ! [LIEN],Sat Oct 12 10:42:18 +0000 2019,RenouveauFCGB,329115505,6,0
1182801759942709255,"🎙 ENTRETIEN SANS FILTRE DE #Kamano 

🗣 Pour la première fois, @f_kamano a accepté de revenir sur sa #CAN2019 manquée avec le #SyliNational et son mercato agitée avec les @girondins. Un entretien exclusif accordé à #FOOT224 

Suivez l’intégralité ici 👉 [LIEN]",Fri Oct 11 23:34:49 +0000 2019,F⚽⚽T224.COM,1627398206,27,12
1182769151397580800,"bordeaux eux historiquement c'est les plus petes couilles
1- Tapie Bez
2- 1999
3- le titre perdu pour ma premiere saison en tant que supp
@girondins vous êtes haissables [LIEN]",Fri Oct 11 21:25:15 +0000 2019,DA,1054796088044109826,0,0
1182756515880620032,"Cc @girondins recrute Bjanarsson.

Sans club, gratuit, voilà 😘",Fri Oct 11 20:35:02 +0000 2019,RAMOS_ICI,801354085,2,0
1182701224195428353,Wallah j’étais son fan numéro 1 grâce à lui je supporte les @girondins depuis 2008 zebi [LIEN],Fri Oct 11 16:55:20 +0000 2019,Chasseur de pute,1170369216849022977,0,1
1182667712478228481,Avec @girondins c'est le début de l'aventure pour Football Citoyen [LIEN],Fri Oct 11 14:42:10 +0000 2019,Ovale Citoyen,1005442751754915841,10,4
1182662505283379202,Continuité et engagement à l’échelle du territoire local🙂 @girondins @BxMetro @bordeauxmaville @PierreHurmic [LIEN],Fri Oct 11 14:21:28 +0000 2019,Alexis Gallice,1083043152838168583,3,0
1182645818542743553,Quand Giroud va signer cet hiver chez les @girondins on va bégayer,Fri Oct 11 13:15:10 +0000 2019,Florent Duvert,3407709453,1,0
1182627649623076865,Tête à tête avec Diarra (prêté par les @girondins) avant l’entrée en lice de l’USCL en @coupedefrance face à @JA_DrancyOff : [LIEN] [LIEN],Fri Oct 11 12:02:58 +0000 2019,Créteil Lusitanos 🐏,85175448,8,7
1182616503193088000,"Passé par @girondins et @ChamoisNiortais, Adrian #Dabasse renforce le secteur offensif choletais mené par l'intenable Kévin #Rocheteau. [LIEN]",Fri Oct 11 11:18:40 +0000 2019,Pierre DARDE,837420388833439745,1,0
1182599384661483521,"#UnivCB | ""A l'époque, le dossier @girondins m'est tombé un peu dessus au détour d'une conférence de presse. Je n'avais rien décidé quand il a été annoncé que j'étais devenu le patron du club !"" - Alain Afflelou [LIEN]",Fri Oct 11 10:10:39 +0000 2019,Bxenlive,2589553410,0,0
1182591107357650944,"En attendant #FCMFCN samedi prochain, voici les coulisses radio des 5 derniers matchs : des @girondins à @SB29 en passant par @ASSEofficiel @ToulouseFC et @AmiensSC . Bonne lecture, les supporters du @FCMetz #Fbsport #FCMetz [LIEN]",Fri Oct 11 09:37:46 +0000 2019,Thomas Jeangeorge ☨,1472230388,3,2
1182367086015852547,"Le pire @diabate33 c'est que j'ai l'impression que ce tweet fonctionne aussi si on remplace @girondins par n'importe quel autre club qui a 2-3 saisons consécutives en @Ligue1Conforama 😂🤣
#TFCulNu [LIEN]",Thu Oct 10 18:47:35 +0000 2019,José Paldir,510257441,4,0
1182355116285820928,"C'est parti ! ⚽
Vous pouvez désormais vous inscrire à la Vague 1 de la #eLIGUE1 #FIFA20 ! 

Vous avez jusqu'au 3/11 pour représenter l'un de ces clubs de votre choix : 
@ogcnice @girondins @DFCO_Officiel @StadeDeReims
 et @RCSA
 
Inscription : [LIEN] [LIEN]",Thu Oct 10 18:00:01 +0000 2019,Millenium_FR,56766146,3,1
1182352070004920320,Va falloir le virer lui un jour @girondins [LIEN],Thu Oct 10 17:47:55 +0000 2019,Laurent Galmot ⭐⭐,3153666740,1,0
1182343801110704128,Les @girondins l année dernière...😂 [LIEN],Thu Oct 10 17:15:03 +0000 2019,Nicolas Fcgb,1041787314538795008,5,1
1182335723409686530,"🚨 INSCRIPTIONS VAGUE 1 🚨
Si tu veux représenter les clubs @ogcnice @girondins @DFCO_Officiel @StadeDeReims et @RCSA c'est maintenant ! #eLIGUE1 #FIFA20 
⬇️ Inscris-toi et rejoins les coupes avant le 3 novembre 2019 ⬇️
[LIEN] [LIEN]",Thu Oct 10 16:42:57 +0000 2019,e-Ligue 1,790509218386370560,46,8
1182310751412871169,"Déjà limogé en 2015, l'entraîneur aurait reçu des menaces via les réseaux sociaux suite au derby perdu contre les @girondins ce week-end #Toulouse #football [LIEN]",Thu Oct 10 15:03:44 +0000 2019,Stephane Thepot,1082081270,0,0
1182287255903358976,"Aujourd’hui nous avons organisé une rencontre entre @staderochelais et @girondins que l’on remercie pour l’accueil, afin d’échanger sur divers sujets, points communs , différences des deux sports.… [LIEN]",Thu Oct 10 13:30:22 +0000 2019,Pierre DUCASSE,458331602,13,0
1182270616994566147,"La #girondine @0uleyeSarr nous avit remis une de ses paires de chaussures après le match entre @LOSC_Feminines &amp;@PSG_Feminines l'an dernier en @D1Arkemafeminin au @StadiumLM !
Merci à elle !
Qui sait ? peut-être aurons-nus la possibilité d'obtenir un de ses maillots de @girondins [LIEN]",Thu Oct 10 12:24:15 +0000 2019,LES CHTIS COLLECTEURS 💪💪,821341146244911108,0,1
1182239976475504640,"📅 PROGRAMMATION 📅
Rendez-vous au @MatmutAtl dimanche 3 novembre pour le match @Girondins / @FCNantes (coup d'envoi à 15h00) !
Infos &amp; Billetterie &gt;[LIEN]
#Ligue1Conforama #FCGBFCN [LIEN]",Thu Oct 10 10:22:30 +0000 2019,Matmut ATLANTIQUE,1665216714,5,2
1182236453239185408,"Le match @ogcnice - @girondins programmé le vendredi 8 novembre 20h45 par la @LFPfr 
13e journée de @Ligue1Conforama",Thu Oct 10 10:08:30 +0000 2019,maxbaq,393265407,0,0
1182231371093364738,Pour cette nouvelle saison d'e-ligue 1 je reste du côté de Bordeaux j'espère faire mieux que l'année dernière #eligue1 @girondins @Structure_Netra [LIEN],Thu Oct 10 09:48:18 +0000 2019,Netra NAIROD,2871982199,3,1
1182230610741469184,"Après le problème du VS complet pour bordeaux Metz, J’ai été contacté par @AntonyThiodet pour un remboursement de la différence de prix entre le prix payé et le prix virage sud #merci #ub87 @girondins @FlorianBrunet78",Thu Oct 10 09:45:17 +0000 2019,oude,553835461,7,0
1182220707578687488,"Merci à @TalentEditions @Footballogue pour ce beau cadeau qui va ravir mon garçon avec @KMbappe en couv'.
La grande comme moi sera déçue de n'y retrouver aucun joueur des @girondins 
Mais pour sûr on aura @pablocastro91 en couverture pour l'édition 2020 ! [LIEN]",Thu Oct 10 09:05:55 +0000 2019,JcDarch,1166803636992786433,2,0
1182200531365892096,Putain mais fuck les trêves internationales rendez moi les @girondins svp,Thu Oct 10 07:45:45 +0000 2019,GuiGuinh⚪️,911882824965292032,2,0
1181954972558266369,Je participerai à la @e_LIGUE_1 pour représenter mon club de coeur qui est @girondins [LIEN],Wed Oct 09 15:29:59 +0000 2019,ALEX POST BAD 🐺,809013055568941056,1,0
1181918115451604993,"On se rend pas compte, mais ce qui donne pour notre club depuis 3 ans est exceptionnel. Le seul problème pour lui être tomber dans une mauvaise période des @girondins 
Sinon il serait une vrai figure forte de notre club comme l’est Henrique ! [LIEN]",Wed Oct 09 13:03:32 +0000 2019,Ronflex,2514753075,1,0
1181915170664267776,"Infos FCGB
Trois joueurs reçus après la bagarre pourraient être renvoyés par le club dans les prochains jours.
#Bordeaux #Libourne #Gironde #FCGB @girondins @Girondins4ever @girondins33 
[LIEN] via @20minutes",Wed Oct 09 12:51:50 +0000 2019,Melodie Fm Libourne - Castillon,227389105,0,0
1181892256053256192,"Commande reçue, merci @girondins je suis trop content 😁 [LIEN]",Wed Oct 09 11:20:46 +0000 2019,ChefJimmyUB87 🌟🌟,1013222190,0,0
1181882699155476481,"Pas de blagues @girondins, on a raté Pavon pour la MLS, ne nous décevez pas. [LIEN]",Wed Oct 09 10:42:48 +0000 2019,Mime Cehes,1041295382557339648,1,0
1181786733349888000,"Faisons signer Giroud en Joker aux @girondins, c'est une énorme opportunité à saisir maintenant et pas cet hiver. Il est l'attaquant dont nous avons besoin et comme Koscielny il fera des efforts financiers @Joe_DaGrosa @paulomcdsousa [LIEN]",Wed Oct 09 04:21:28 +0000 2019,Alex MARTINEAU,308416389,74,4
1181665155006042113,"Et allez sur @TeamDugaRMC ça parle de Marseille et Duga trouve encore une petite phrase pour cracher sur les @girondins

Un jour il faudra penser à faire respecter l'institution...",Tue Oct 08 20:18:21 +0000 2019,MarcFG,1159559197085900800,2,0
1181663403078803459,Bien cadrée la vidéo...rien qui dépasse ! #longuépéedémission @girondins [LIEN],Tue Oct 08 20:11:24 +0000 2019,Sylvain leroi,2620985921,41,1
1181659387431133184,OTAVIO @girondins en photo devant l'hôtel  (Paganelli) ou j'étais ce week end Enormeeee 👍👍👍 [LIEN],Tue Oct 08 19:55:26 +0000 2019,L_twins_L 🇫🇷,1488338732,1,0
1181651107023671296,"Non mais j'ai pas l'impression qu'on parle de Laurent #Blanc là !? 😱 Celui qui a sublimé les @girondins, qui a réussi en @equipedefrance et au @PSG_inside !? Arrêtons avec le cliché du golf, du ""mauvais coach"" car français... Un peu de respect qd même.😉 #rmclive #afterfoot #OL.",Tue Oct 08 19:22:32 +0000 2019,Thomas Pinaroli,1009371064516927488,7,0
1181650193218973699,Coucou les supporters des @girondins. Bon les gens qui suivent la réserve c'est pour vous. Alors vous en pensez quoi des débuts de Lemoine ? #Girondins,Tue Oct 08 19:18:54 +0000 2019,Romain,3372816177,6,0
1181647569191145477,Je découvre qu'il y a l'attaquant des @girondins retenu dans le squad sud-coréen. Paix à ton âme Sri Lanka. ça sent un bon 20 à zéro minimum. [LIEN],Tue Oct 08 19:08:29 +0000 2019,Hinato,3295531303,2,1
1181643809412792321,"allez y les gars, foncez, Les yeux fermés !!!👍👍👍🙏🙏🙏
En bonus On vous offre aussi une valeur sure de Ligue 1, un ancien capitaine des @girondins 👌 [LIEN]",Tue Oct 08 18:53:32 +0000 2019,Football Club de Marseille,720882973,313,61
1181635432158760960,Deja complet le virage sud pour Bordeaux Sainté @girondins ? C est ce qui est marqué sur la billetterie,Tue Oct 08 18:20:15 +0000 2019,Titoo Dat,802499258851135489,1,0
