id,text,date,user,user_id,favorite_cnt,retweet_cnt
1172402036966449152,Zoom pierre angulaire de la communication unifiée d'HSBC@HSBC_FR @zoom_us[LIEN] [LIEN],Fri Sep 13 06:50:02 +0000 2019,Sonovision,4091556196,3,0
1172410117112782850,Pourquoi la vente ou la restructuration lourde des agences de HSBC France semble inévitable. @HSBC_FR @HSBC A lire dans @AgefiFrance :   [LIEN],Fri Sep 13 07:22:08 +0000 2019,Amélie Laurin,408562504,0,4
1172485941958758402,"📢#AppelÀCandidatures📢- Le concours du Prix @HSBC_FR pour la Photographie 2020 est ouvert, et cette année c'est Fannie Escoulen qui conseillera le jury📸 Amis photographes, à vous de jouer : vous avez jusqu'au 3 novembre pour envoyer vos portfolios ! [LIEN] [LIEN]",Fri Sep 13 12:23:26 +0000 2019,Fondation de France,105545392,2,3
1172540675574943749,Zoom pierre angulaire de la communication unifiée d'HSBC@HSBC_FR @zoom_us[LIEN] [LIEN],Fri Sep 13 16:00:56 +0000 2019,Nathalie Klimberg,442504116,0,0
1172751005399879680,Bonjour Les CMs @HSBC_FR 🙂🙂!!IMPOSSIBLE De Me Connecter Sur L’application Personal Economy @HSBC_FR 😡😡😤😤!! [LIEN],Sat Sep 14 05:56:43 +0000 2019,papillons 🦋 dauphins 🐬,3293193818,1,0
1172967473186054144,"La reprise du  réseau @HSBC_FR, un echappatoire, à défaut de chevalier blanc, pour @cmarkea !? 🤔.. @LaBanquePostale également sur les rangs pour consolider son pôle patrimonial @BPEbanqueprivee? [LIEN]",Sat Sep 14 20:16:52 +0000 2019,Credit Mutuel Inside 💔,964557974034419712,3,0
1173210298167242753,Bonjour Les CMs @HSBC_FR 🙂🙂!!C’est Toujours Pas Opérationnelle L’application Personal Economy @HSBC_FR 🥺🥺😡😡😤😤!! [LIEN],Sun Sep 15 12:21:46 +0000 2019,papillons 🦋 dauphins 🐬,3293193818,1,0
1173281923592019972,Bjr @Linxo &amp; @HSBC_FR impossible de se désabonner de Personal Economy alors même qu’on est plus client HSBC et que j’en ai fait la demande 😡 Pas très #GDPR tout ça... @UEFrance @cedric_o [LIEN],Sun Sep 15 17:06:23 +0000 2019,Olivier 📱,709643005842595841,1,4
1173509220517449730,IMPOSSIBLE DE SE CONNECTER À L’APPLICATION Personal Economy @HSBC_FR 😤😤😤😤😤😤😡😡😡😡😡😡!! [LIEN],Mon Sep 16 08:09:35 +0000 2019,papillons 🦋 dauphins 🐬,3293193818,0,0
1173653799518515200,⁦@antoinemoittie⁩ ⁦@EYFrance⁩ ouvre la cérémonie nord de france #eoyfr devant une salle comble plus de 500 présents ⁦@verlingue⁩ ⁦@HSBC_FR⁩ ⁦@lavoixdunord⁩ [LIEN],Mon Sep 16 17:44:05 +0000 2019,Jean-Francois Royer,2774695888,2,1
1173653986777489410,"Merci aux partenaires du Prix de l’#Entrepreneur de l’Année Nord de France : @HSBC_FR, @verlingue, @BpiFrance, @Steelcase, @bfmbusiness et @Weo_tv ! #EOYFR",Mon Sep 16 17:44:50 +0000 2019,EY France,69543400,1,1
1173657376928489475,Plus de 50 entrepreneurs performants et engagés de la région Nord de France sur scène #eoyfr impressionnant ! ⁦@EYFrance⁩ ⁦@verlingue⁩ ⁦@HSBC_FR⁩ ⁦@Steelcase⁩ ⁦@lavoixdunord⁩ [LIEN],Mon Sep 16 17:58:18 +0000 2019,Jean-Francois Royer,2774695888,3,1
1173659126787989504,@lesbricosducoeur prix de l’engagement societal Région Nord de France aide les associations qui aident les autres magnifique de générosité et de solidarité #eoyfr ⁦@EYFrance⁩ ⁦@verlingue⁩ ⁦@Bpifrance⁩ ⁦@HSBC_FR⁩ [LIEN],Mon Sep 16 18:05:16 +0000 2019,Jean-Francois Royer,2774695888,8,0
1173661668259373058,⁦@TiamatEnergy⁩ prix born global Nord de France développe des nouvelles batteries « mon but est de mettre sur le marché les innovations issues des centres de recherche francais » #eoyfr ⁦@EYFrance⁩ ⁦@verlingue⁩ ⁦@HSBC_FR⁩ [LIEN],Mon Sep 16 18:15:21 +0000 2019,Jean-Francois Royer,2774695888,6,1
1173674970452496384,⁦@exotec⁩ passionnés de robotique ont conçu un robot pour optimiser les commandes des sites de distribution start up de l’année Nord de France #eoyfr ⁦@EYFrance⁩ ⁦@Bpifrance⁩ ⁦@verlingue⁩  ⁦@HSBC_FR⁩ [LIEN],Mon Sep 16 19:08:13 +0000 2019,Jean-Francois Royer,2774695888,6,2
1173955265684811777,Merci à @HSBC_FR &amp; @LesEchos  pour leur belle couverture du travail des Premières !Découvrez leur dossier consacré à l'entrepreneuriat féminin par ici: ➡️[LIEN]#Inspirant #Entrepreneuriatféminin #AmbitiondEntreprendre #ToutesEntrepreneurEs [LIEN],Tue Sep 17 13:42:01 +0000 2019,LesPremières,1127724860,5,3
1173992544033746944,"Alors que @HSBC_FR serait sur le point de diminuer la voilure, le chantier informatique de l'activité ''particuliers"" a déjà triplé par rapport au budget initial. Son achèvement n'est par ailleurs pas envisagé avant fin 2020. [LIEN]",Tue Sep 17 16:10:08 +0000 2019,La Lettre A,204360138,2,2
1174021255680409601,"Merci aux partenaires du Prix de l’#Entrepreneur de l’Année région Est : @HSBC_FR, @verlingue, @BpiFrance, @Steelcase et @bfmbusiness ! #EOYFR",Tue Sep 17 18:04:14 +0000 2019,EY France,69543400,0,1
1174336505474666497,"Experience surreelle avec HSBC France et monsieur Said Diarra en particulier! @HSBC_FR - cela fait 2 mois que je demande un document et je recois apres 5 semaines un autre document, depuis 15 jours relances telephone et emails et toujours rien. Une incompetence incroyable.",Wed Sep 18 14:56:55 +0000 2019,Benoit Vialle,116129623,0,0
1174645258157797376,"Bonjour Les CMs @HSBC_FR 🙂🙂!!

Bon JPP De Vôtre Application Personal Economy Qui BUG Toujours Car Maintenant Je Peux Me Connecter Mais Elle Ne Se Synchronise Plus 😤😤😤😤😡😡!!

POUVEZ-VOUS FAIRE QUELQUE CHOSE 🥺🥺🥺🥺🙏🙏🙏🙏🤔🤔🤔🤔???? [LIEN]",Thu Sep 19 11:23:48 +0000 2019,papillons 🦋 dauphins 🐬,3293193818,1,1
1175052758363377664,"Bonjour Les CMs @HSBC_FR 🙂🙂!!

Y’a T-Il Une Mise À Jour Ce Week-End Qui M’empêcherais D’accéder Mon Compte Sur L’application @HSBC_FR 🤔🤔🤔🤔🤔🤔🤔🤔????????",Fri Sep 20 14:23:03 +0000 2019,papillons 🦋 dauphins 🐬,3293193818,0,0
1175093440427769856,"Impossible de contacter le numéro des carte premier de @HSBC_FR , en vrai ce service ne me sert à rien....",Fri Sep 20 17:04:43 +0000 2019,GPif,234135526,0,0
1175784162227347457,"Les banques européennes annoncent 44.000 suppressions d’emplois. @HSBC_FR vend son réseau d’agences. La faute aux taux négatifs seulement ? 
Les clients modestes vaches à lait des banques continuent de payer des agios injustifiés. [LIEN] via @20minutes",Sun Sep 22 14:49:23 +0000 2019,Igor,2706337286,2,0
1175877788009738241,"Je n'aime pas Branco mais j'aime encore moins @HSBC_FR  or il se trouve que demain j'ai un rendez-vous avec leur conseiller. 

Je vais me faire un plaisir de leur dire de leurs pratiques de merde. 

@HSBC_FR  je vais vous pourrir [LIEN]",Sun Sep 22 21:01:26 +0000 2019,Fiefienix,404047598,0,0
1176034581109190656,Pour info il faut avoir des revenus conséquents pour avoir un compte a la @HSBC_FR de plus je crois qu ils vont arreter les comptes particuliers pour de consacrer aux gestions de fortunes. [LIEN],Mon Sep 23 07:24:28 +0000 2019,super Homard !,249634504,0,0
1176040677328773121,Bonjour @HSBC_FR visiblement certains n'hésitent pas à jeter en pâture les noms de vos employés (en semblant découvrir qu'une banque peut choisir ses clients...) [LIEN],Mon Sep 23 07:48:41 +0000 2019,Matthieu Coquet,17453746,6,2
1176041392247922689,"Bonjour Les CMs @HSBC_FR 🙂🙂!!

Depuis Jeudi 19 Septembre 2019 L’application Personal Economy N’est Toujours Pas Opérationnelle, Malgré Que J’ai Désinstaller &amp; Réinstaller L’application 🥺🥺🥺🥺🥺🥺!!

Quand Est-Ce Que Je Pourrais Utiliser Cette Application 🤔🤔???? [LIEN]",Mon Sep 23 07:51:32 +0000 2019,papillons 🦋 dauphins 🐬,3293193818,0,0
1176054880106098688,Dixit le gugus refoulé par @HSBC_FR ... [LIEN],Mon Sep 23 08:45:08 +0000 2019,.FXV.,26562619,0,0