id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183986800408350721,"Bravo Anais et bravo au papa aussi 👍😏
@DFC_Kitesurf 
@hautsdefrance 
@Dunkerque [LIEN]",Tue Oct 15 06:03:45 +0000 2019,Luc Jacquet,958691058,0,0
1183974885409861632,"#PROJETSCOLLECTIFS @Julieninadavid et Anaïs Laborde, en stage à la Région @hautsdefrance, travaillent avec @SteveKrief et @AdelineHannedo1, administrateurs, à la diffusion de la culture usager par le design de service !
@INET_CNFPT 
@Eleves_INET [LIEN]",Tue Oct 15 05:16:24 +0000 2019,Conservateurs INET,3250337861,5,1
1183865985960464384,En séance plénière ce mardi 15 octobre. Voici un aperçu de ce que la Région Hauts-de-France fait pour ses habitants @xavierbertrand #AuTravail A suivre en direct sur la page @hautsdefrance [LIEN],Mon Oct 14 22:03:40 +0000 2019,Nathalie GHEERBRANTن,89641620,0,1
1183860444248903685,Voir cette photo Instagram de @hautsdefrance.inlive [LIEN],Mon Oct 14 21:41:39 +0000 2019,vienne jacques,434443571,1,0
1183822163360522245,"La Région @hautsdefrance accompagne l'entreprise @DBTCEV et le laboratoire L2EP, regroupement de 4 établissements partenaires, @ArtsetMetiers_ , @univ_lille @Hei_Lille et @Centralelille, pour mettre au point un chargeur ultra-rapide de véhicule électrique [LIEN] [LIEN]",Mon Oct 14 19:09:32 +0000 2019,Emmanuel Coullaud - EDF,1136715188,2,0
1183803210387087361,📲Merci à la @CMA_HdF et à la région @hautsdefrance qui lancent ce soir une série de conférences gratuites sur la transformation #numérique des entreprises artisanales et commerciales 👌@Emonsite [LIEN],Mon Oct 14 17:54:14 +0000 2019,📲 Pierre Ferrari,861860494629642240,7,2
1183791056820883459,"Commerçants, artisans et associations sont ce soir à l’antenne CMA d’#Arras 📍
Au programme : formation @Emonsite , #TransformationDigitale pour le développement de leur #entreprise 🚀
#numérique #digital @chcoulon @hautsdefrance @CMA_HdF [LIEN]",Mon Oct 14 17:05:56 +0000 2019,Vincent Gorczak,828908977664749568,6,1
1183790014670483456,"Au programme de ce soir à @LLVallee : présentation des entrepreneurs qui forment la promotion Pologne auprès de notre écosystème !
@suezFR @MuseeLouvreLens @hautsdefrance @innovationHDF @LensTourisme @CreditMutuel_NE @poleemploi_HDF @Univ_Artois @9_9bisMetaphone [LIEN]",Mon Oct 14 17:01:47 +0000 2019,Louvre Lens Vallée,4226908857,5,3
1183788797659697154,Ce soir on est à Arras pour parler création de sites web et présence en ligne pour les TPE-PME avec la Région @hautsdefrance et la @CMA_HdF [LIEN],Mon Oct 14 16:56:57 +0000 2019,Awelty,746423375023726592,8,1
1183786209765662721,Bravo à la #teamWebForce3 @hautsdefrance cc @WebForce3 @mescipa [LIEN],Mon Oct 14 16:46:40 +0000 2019,Nico Chagny,15502296,3,3
1183776617249808387,#CdFMusiquesActuelles : @hautsdefrance @MinistereCC  @CNV_info  lancent 2 appels à projets jusqu'au 20/12/19 avec le soutien du Pôle régional #musiquesactuelles #HauteFidelité [LIEN] [LIEN],Mon Oct 14 16:08:33 +0000 2019,CNV,326855805,0,2
