id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183995456004775937,Résumé des incidents sur la @Ligne6_RATP hier. Est-ce normal ? Les utilisateurs en ont assez de ces problèmes à répétition tous les matins à la suite des travaux de cet été. Qu’est-il prévu pour éviter cette situation ? @RATPgroup @vpecresse @iledefrance @IDFmobilites [LIEN],Tue Oct 15 06:38:08 +0000 2019,Margaux Savarit,2815134071,0,0
1183855606198951936,"14 octobre, les lycéens de 2de et de 1re reçoivent enfin leur outil de travail, gracieusement offert par la Région @iledefrance (i.e. payé par les impôts de leurs parents) Tout en finesse, la #propagande pour @vpecresse, hein ! [LIEN]",Mon Oct 14 21:22:26 +0000 2019,🖍Ju Lie 🖍,320367179,0,0
1183849457810468864,Ile-de-France : @iledefrance lance le Pack #IA et le Challenge « IA for Industry » [LIEN] [LIEN],Mon Oct 14 20:58:00 +0000 2019,Aides-entreprises.fr,951465264570425345,0,0
1183841870193004545,"Dites @Paris... c’est normal, cet affichage sauvage pour le @104paris ??? @iledefrance 

Si vous salissez vous-même les murs de la ville !!! [LIEN]",Mon Oct 14 20:27:51 +0000 2019,Philippe Lohéac 🇫🇷🇪🇺,519633149,0,0
1183832378441109505,"Nous avons rencontré la présidente de la région @vpecresse ce soir à Pantin. Nous avons parlé de différents sujets concernant le vélo 🚲, où la région @iledefrance joue un rôle indispensable. Merci à elle pour son écoute ! [LIEN]",Mon Oct 14 19:50:08 +0000 2019,Paris en Selle - Pantin,1007562516166258688,8,1
1183801413136273409,"Bonjour @vpecresse @iledefrance et @IDFmobilites à une écrasante majorité les internautes trouvent que le #Sondage @IfopOpinion était truqué .
Conclusion les #franciliens sont mécontents du service @Actu_Transilien @GroupeSNCF @SNCF [LIEN]",Mon Oct 14 17:47:05 +0000 2019,seb voyages,573757471,1,1
1183792508364562433,"Lancement officiel de l Incubateur @LesPrem1eres @iledefrance par sa présidente @DelphineParlier  @TimbuktooNaming Alumni du réseau auprès des incubées, partenaires,l équipe d accompagnateurs et du nouveau CA #entrepreneuriat #feminin #ambition #innovation #impact chez @kwerk_FR [LIEN]",Mon Oct 14 17:11:42 +0000 2019,Les Premières IDF,943835645310619648,3,2
1183789527099465728,Excellentes interventions notamment de Sam Webb aujourd’hui à @IpanemaSaclay sur les potentialités du #synchrotron sur les objets du patrimoine !! Merci pour ce partage des connaissances 😊 @dim_map @iledefrance [LIEN],Mon Oct 14 16:59:51 +0000 2019,CARAA,2863634585,5,4
1183782041017565184,".@iledefrance, @Groupe_Renault and @Waymo to explore the implementation of an #autonomous mobility service between Roissy-Charles de Gaulle Airport and La Défense in #Paris [LIEN] [LIEN]",Mon Oct 14 16:30:06 +0000 2019,Intelligent Transport,164317944,0,0
1183753151243046914,Fier de vous soutenir avecvos équipes. Un travail reconnu de qualité pour l’intérêt de toutes les #Franciliennes et les #Franciliens .  La #France a besoin de cette qualité de Gestion.  @NicolasSarkozy avait raison vous êtes une Femme d’Etat @vpecresse  #AgenceFitch @iledefrance [LIEN],Mon Oct 14 14:35:18 +0000 2019,Vincent Jacquet,1150078579,8,2
1183749931355512834,"#OptionInnovation 💡 Cette semaine nous accueillons à @Epitech des lycéens d’ @iledefrance afin de leur faire découvrir l’ #innovation &amp; ses métiers. Au programme : #CodingClub avec #Arduino et découverte du métier de #developpeur 👨‍💻
#Epitech [LIEN]",Mon Oct 14 14:22:31 +0000 2019,Epitech Paris,4663821922,3,2
1183748479417540608,Avec la participation d'étudiantes de @lafabrique_ pour accompagner l'innovation dans la #mode @iledefrance @R3iLab  #scenarii2030 [LIEN],Mon Oct 14 14:16:45 +0000 2019,La Fabrique,1566675950,0,0
1183747682482970625,"Une journée de prospective et de co-développement organisée par la région @iledefrance autour du programme #scenarii2030 du @R3iLab avec des industriels + étudiants de l'@IfmParis , @essec @esmodparis @lafabrique_ @ModspeParis #innovation Inscription : [LIEN] [LIEN]",Mon Oct 14 14:13:35 +0000 2019,R3iLab,167361363,4,0
