id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183715980662497281,"Suite à l'annonce d' #Intel d'arrêter la production de sa septième génération de processeurs, on aimerait savoir : Quel processeur utilisez-vous pour jouer ? Dites-le nous en commentaire ! @IntelFrance @AMD_France",Mon Oct 14 12:07:36 +0000 2019,Hardwakening.fr,824371238206324760,2,1
1183050981510135809,#FnacEsport 🎮 | Participez aux tournois en ligne #FnacTrophy Rocket League 🚛 avec @IntelFrance et tentez de vous qualifier pour la grande finale sur le stand Fnac à la #ParisGamesWeek 👍 Renseignements &amp; inscriptions ➡ [LIEN] [LIEN],Sat Oct 12 16:05:08 +0000 2019,Fnac,8806412,34,12
1183000172772691968,"Watercooling sur mesure avec @BitspowerHQ  ! 🤩 Venez tester cette beauté !

Boîtier @CORSAIRFRA Crystal 570X mirror RGB ATX, @IntelFrance Core i7 9700KF, @msifrance RTX 2080, MSI Z390 gaming edge AC, Watercooling custom Bitspower - Bitspower touchaqua 570X-R sur mesure [LIEN]",Sat Oct 12 12:43:14 +0000 2019,PowerLab,1179791651960696839,0,0
1182939076372189184,"Bon finalement il risque d'avoir pas mal de monde en partenaire sur ce projet Inwin 904😊...

[LIEN] @ASUS_ROG_FR @gskillgaming @IntelFrance @BitspowerHQ [LIEN]",Sat Oct 12 08:40:28 +0000 2019,Axiommodding,2849403771,21,4
1182714675831758849,"📢 Annonce tournoi #ParisGamesWeek !

@Fnac met 2500€ en jeu avec @IntelFrance ! Qualifiez-vous en ligne dans l'un des quatre tournois de qualification, dès ce lundi, et remportez le #FnacTrophy Rocket League !

#FnacEsport 

📝 Infos &amp; inscriptions : [LIEN] [LIEN]",Fri Oct 11 17:48:47 +0000 2019,Rocket Baguette,795728933429841920,84,53
1182634777729482753,"Et sur les cartes qu’on vient d’enlever on retrouve des processeurs de types X86 de chez @IntelFrance 
Le R80186 fut le prédécesseur du 286/386/486 qui furent eux-mêmes les prédécesseurs des processeurs Pentium ! [LIEN]",Fri Oct 11 12:31:17 +0000 2019,Beisser Jérémy,34533367,5,1
1182200859138113536,"J'ai pas de pc gamer il me manque que ça dans mon setup 😭 s'il vous plaît 🙏
@AcerFrance @PredatorFrance @AlienwareFR @BoulangerGaming @boulanger @msifrance @IntelFrance @Razer",Thu Oct 10 07:47:03 +0000 2019,FLIZIG,1071126240046825472,2,1
1182169788791115776,Ikoula déploie des serveurs dédiés équipés des processeurs Intel Coffee Lake - @Ikoula #serveur #serveurdedie @Intel @IntelFrance [LIEN] [LIEN],Thu Oct 10 05:43:35 +0000 2019,Datacenter Magazine,1039846543807983616,2,2
1181613055836393474,"Carte graphique #Intel #Xe en approche pour 2020 ?

[LIEN]

@IntelFrance",Tue Oct 08 16:51:20 +0000 2019,CK Informatique - HardwareCooking,4245114400,1,0
1181577487731564544,"Un beau i9-9900k pour jouer et travailler sans efforts !

✏️Disponible sur devis : [LIEN] 
@IntelFrance @IntelGaming [LIEN]",Tue Oct 08 14:30:00 +0000 2019,Start ! - Expertise Informatique #PGW2019,3304177655,6,1
