id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184071632576503808,"Merci @Intersport_FR  de prendre les #motards pour des voleurs. Et oui, on a un casque et même un sac. Faite de la moto et vous serez pourquoi. Et non un casque à 300 euro n'ira pas en caisse centrale, qui paye si il est abîmé ou volé. Suspecté car #MOTARD. #banimotard",Tue Oct 15 11:40:50 +0000 2019,Plssr,1599216404,0,0
1184036516122808320,".@Intersport_FR Impossible de se connecter à votre site sans javascript, par très sympa en terme d'#accessibilité web",Tue Oct 15 09:21:18 +0000 2019,Édouard Lopez ✐,15467912,0,0
1183611341266997249,"Gagner ensemble !
Marathon potes vainqueur 
@Intersport_FR @Stade_Montois #marathon #NoHumanIsLimted #running #lesportlaplusbelledesrencontres 
@Thyo @JulboEyewear [LIEN]",Mon Oct 14 05:11:48 +0000 2019,Richet🇫🇷🌏🏃🏅,865540320867397636,2,0
1183278168016338944,"Obliger d'aller m'acheter un pneu a Casino pour dépanner, ni @Decathlon ni @Intersport_FR sont ouverts le dimanche",Sun Oct 13 07:07:54 +0000 2019,Adrien 🏳️‍🌈,422008331,0,0
1182911413892898816,"Énorme soirée Destiny/Quizz/CultureG/Pokemon/concours @Cdiscount/ Anecdote croustibate.
Et ceux qui on fait partie d'un sujet lors du stream
@DestinyFrance__ @BruceGrannec @soyouz_tv @ActuG @PokemonFR @DavidLPokemon @APEassociation @rueducommerce @beIN_eSports @Intersport_FR [LIEN]",Sat Oct 12 06:50:33 +0000 2019,Mehdi ''Miidii'' MALLEM,973156733785985024,9,3
1182647790804987905,La classe ... On va aller dans les fils de discussion @Intersport_FR pour prospecter ? @acpl74 [LIEN],Fri Oct 11 13:23:00 +0000 2019,❄ Pierre BRIAND ❄,1963264783,1,0
1182244841394245638,Bonjour @Intersport_FR,Thu Oct 10 10:41:49 +0000 2019,Antony Costa,1120425792708722688,0,0
1181919105177260032,RDV en après match au nouveau Corner @Intersport_FR avec 5 joueuses pour une séance de dédicaces ! #FiertéTango [LIEN],Wed Oct 09 13:07:28 +0000 2019,Tango Bourges Basket,968354107,4,0
1181806578317615105,Non mé c une blague @Intersport_FR ? 🤢😭 [LIEN],Wed Oct 09 05:40:19 +0000 2019,Jojo Bernard 🇫🇷 🌟🌟,3380195157,80,10
1181655770003378176,"Dites @Intersport_FR c'est un critère de sélection le non respect du code de la route pour un véhicule de fonction ? Ou une façon de faire de la ""pub"" ? C'est vrai que garé sur un trottoir et au 3/4 sur la route à côté d'une aire de jeux pour enfants, on ne peut pas vous rater...",Tue Oct 08 19:41:04 +0000 2019,Arnaud TARDY,68937322,1,0
1180950607730860033,"Travail de fractionné + technique !!! 
A seguir 💪
#pala #sport #fractionne #professionnel #atope @LesLandes40 @France3NoA @Bleu_Basque @culturesport @Intersport_FR [LIEN]",Sun Oct 06 20:59:00 +0000 2019,Dan Necol,4869877583,15,2
1180922838678671366,"Pendant que Claire participe au RuninLyon, ben moi je vais relax avec Malo et mes copines sur mon lieu d'entrainement habituel. 
Nous décollons demain pour le Vietnam 🇻🇳.
@AssoEnfantBleu / Lyon 🐻
@MutuelleMiltis
@grandparc
Axopen
@Intersport_FR
Hexagone Finance 
@Eiffel_IG [LIEN]",Sun Oct 06 19:08:39 +0000 2019,Les Louves du Feu - Raid Amazones,1064646879814840320,1,0
1184298568431165441,⚠ #ISSOIROSE ⚠ Clôture des inscriptions en ligne ce jeudi 17 oct. à 23h59 🕛 C'est le moment de se mobiliser 💟 Toutes et tous à nos claviers &gt;&gt; [LIEN] ! Infos : [LIEN] @LigueCancer63 @cheriefm63 @groupe_mgen @CroixRouge @Intersport_FR [LIEN],Wed Oct 16 02:42:36 +0000 2019,Ville d'Issoire,1092157921,2,2
1184201314198327298,"Justin Carter s'est bien remis de son choc face à Gravelines. Il est auteur ce soir à #Antibes d'un match abouti avec 24 points, 4 rebonds et 6 fautes provoquées pour 24 d'évaluation en 29 minutes. Il est le MVP @Intersport_FR de la rencontre ! #CDFBasket #ChoraleNation [LIEN]",Tue Oct 15 20:16:09 +0000 2019,Chorale Roanne Basket,393538366,22,4
1184541224759431173,Venez dm très important ! @Intersport_FR,Wed Oct 16 18:46:50 +0000 2019,Blinder,1068978833968254981,0,0
1184411964081987584,"🤬🤬🤬
[LIEN]

@AssoEnfantBleu Lyon 🐻
@Eiffel_IG 
@grandparc 
@MutuelleMiltis
Axopen
@CE_RhoneAlpes Givors
@Intersport_FR St Bonnet de Mure
Hexagone Finance [LIEN]",Wed Oct 16 10:13:12 +0000 2019,Les Louves du Feu - Raid Amazones,1064646879814840320,0,0
