id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183313418637451265,Ce n'est pas très cool @KiabiFrance [LIEN],Sun Oct 13 09:27:58 +0000 2019,Alonso Océane,1152321921431810053,0,0
1183090018769920001,Kiabi ça va devenir mon fournisseur numéro 1 de gilet ils sont incroyable leurs gilets wsh merci les amis cœurs sur vous 12€ de bonheur @KiabiFrance ❤️❤️❤️,Sat Oct 12 18:40:15 +0000 2019,El suprema madridista🇨🇩,3108207556,0,0
1182710437634179073,"Quand 3 #Gaboma se retrouvent dans une boutique 😅

Un selfie s'impose ! 
J'ai eu le plaisir de rencontrer @echeryne dans une balade avec zaz_diamond avec qui on a découvert le magasin @kiabifrance ici #Libreville… [LIEN]",Fri Oct 11 17:31:56 +0000 2019,Miss #Bouloilou,4852946943,0,0
1182657691463962626,"Dis @KiabiFrance ça fait 1 mois que ma fille me supplie de lui acheter 1 parapluie licorne, alors je fini par céder et lui en commande 1 chez toi que je reçois ce matin, j'imagine déjà mon retour triomphal à la maison mais tu trouve normal qu'en fait il soit tout déchiré partt ?",Fri Oct 11 14:02:21 +0000 2019,Reumaille,505780117,1,0
1182352050174267392,Mdr @KiabiFrance ils répondent aux tweets mignons mais quand il s'agit de répondre aux [LIEN] [LIEN] qui demandent des explications ya plus personne.,Thu Oct 10 17:47:50 +0000 2019,Nephtys 🦇,100738901,26,4
1182335212388323329,"Je viens d'avoir un échange trop doux au @KiabiFrance ❤️

Une dame et moi, on a voulu essayé une veste et un gilet en même temps devant un miroir du magasin.

Du coup, je lui dis : ""Essayons ensemble !""
Et on s'est complimenté 😭 c'était si pur comme instant. [LIEN]",Thu Oct 10 16:40:56 +0000 2019,🧜‍♀️ Fatiguée & Fatigante (G.),448731996,126,3
1182296598119890946,"Dites @KiabiFrance : n'étant pas client de #Kiabi et résidant en France, comment se fait-il que je reçoive une newsletter de Kiabi Algérie ? 🤔

J'ai mal à mon #RGPD 🙁 [LIEN]",Thu Oct 10 14:07:29 +0000 2019,Jean-Philippe Horard,82104766,6,0
1182255186145955842,"Merci pour le mail @KiabiFrance, mais je vis en #Normandie, moi.
Pas en #Algérie mdr [LIEN]",Thu Oct 10 11:22:56 +0000 2019,Aërys Ⓥ,742617205511213056,0,1
1182233000437784578,"Après des acteurs, 🇫🇷 de la #distribution prêt-à-porter, tels que @KiabiFrance #Happychic ...  @etam_france communique à son tour sur ses engagements en matière de #durablilité ➡ [LIEN] #Fashion #GreenFashion #Mode #ModeDurable #Retail #écoresponsable [LIEN]",Thu Oct 10 09:54:46 +0000 2019,Helene Allouard,707943455780118531,0,0
1182201120736854016,"Express 'o Job J3 à @CapCostieres #recrutement pour les fêtes de fin d'année nombreux candidats présents et enseignes @geant_casino, H&amp;M, @SFR, easy cash, Kit à fumer, @KiabiFrance, mondial tissu avec @poleemploi Nîmes 7 Collines [LIEN]",Thu Oct 10 07:48:06 +0000 2019,Delphine CRISTOL,748125709340672000,3,0
