id,text,data,user,user_id,favorite_cnt,retweet_cnt
1175765474690383876,Les #ManIfrstants doivent cessez de jouer les enfants de cœur et apprehender les casseurs qui permettent à @@LCl de mentir avec de belles images.Dans la pioche ils trouveront des #Benalla #Acte45@InfoAtac [LIEN],Sun Sep 22 13:35:08 +0000 2019,Jean-Luc ESBERARD,3158525277,0,1
1175709393964404737,"L’humain au cœur de la science historique en mouvement avec trois belles œuvres de jeunes historiens sur le ministère de la Justice et des Cultes @justice_gouv, l’ingénierie financière @LCL et la création de l’actuel 18ème arrondissement de @Paris [LIEN]",Sun Sep 22 09:52:17 +0000 2019,Eric Anceau,523006365,1,0
1175512669228601350,Je reprend l'image de @cametoulouse et je cite @LCL Merci a la personne qui a fait ce tag car ça représente ma situation dans cette banque ou depuis plusieurs moi j'ai des soucis mais impossible d'avoir droit a l'offre spécifique. Marre de perdre 40€ par mois en frais d'incident [LIEN],Sat Sep 21 20:50:34 +0000 2019,Iluvalar le Blogueur,89245081,1,0
1175411129620865025,"Bon ben à la @LCL Paris, muni du permis de conduire, de l'application, de mon adresse en 2016, on ne peut ni faire de virement ni prendre la nouvelle CB",Sat Sep 21 14:07:06 +0000 2019,Ernesto Carrillo,86992586,0,0
1175377204827557888,Allez vous faire foutre @LCL  ça fait presque trois semaines que l’application ne fonctionne pas,Sat Sep 21 11:52:17 +0000 2019,unknown,185999655,0,0
1175040153896681472,"Les urbains sont comme @LCL : passionnés de vélo 💛Que ce soit pour une balade, faire un peu de sport ou par conviction écologique, nous avons tous une bonne raison de nous y mettre ! #LCLPartenaireDeTousLesCyclistes 🚴‍♂️🚴‍♀️ [LIEN]",Fri Sep 20 13:32:58 +0000 2019,Michel Mathieu,884786912283721729,13,1
1175013552400343041,"Bonjour @LCL, vous n'avez pas honte?",Fri Sep 20 11:47:16 +0000 2019,Särce™,430802734,2,0
1174976952232333312,"Le #vélo, nouvelle passion des urbains38 % des actifs urbains français se déplacent à vélo pour leurs trajets quotidiens en ville. C’est l’un des enseignements de l’étude inédite « La pratique du vélo en milieu urbain » réalisée par @UNIONs_c pour @LCL➡️ [LIEN] [LIEN]",Fri Sep 20 09:21:50 +0000 2019,Filièresport,880306656,1,2
1174964851539509248,".@le_Parisien consacre sa Une du jour à notre étude avec @LCL sur l'essor du #vélo en France. On y apprend que, un temps considérée comme désuète, la pratique du vélo est désormais en vogue, en particulier chez les urbains actifs. Avec un phénomène de + en + répandu: le vélotaf [LIEN]",Fri Sep 20 08:33:45 +0000 2019,Union Sport & Cycle,801411700075458560,15,12
1174953062806327296,"Merci à @LCL et @dfcgasso pour la conférence d'hier soir qui se déroulait à Bordeaux. @OlivierPantaleo était présent pour discuter de ""Comment protéger ce business de plus en plus digital dans un monde toujours plus dangereux et réglementé ?"". #cybersécurité [LIEN]",Fri Sep 20 07:46:54 +0000 2019,Almond,580080861,1,1
1174937655206825987,"Puisqu'il est impossible de contacter le service relation clientèle de @LCL je m'indigne que la caution demandée par un loueur de voitures, Leclerc, soit apparue comme débitée (solde affecté) sur mon compte alors que le véhicule venait d'être rendu. Merci au siège de me contacter",Fri Sep 20 06:45:40 +0000 2019,BELVAL Jean,1080741211219152896,0,0
1174808056770772993,"Pour faire revenir leurs #clients en #agence, les banques telles que @mabanque_bnpp, @LCL où @CreditMutuel souhaitent ouvrir ses #succursales plus tard le #soir, jusqu’à 19h. En effet, le nombre de succursale ne cesse de reculer à cause de l’#automatisation et la #digitalisation",Thu Sep 19 22:10:42 +0000 2019,Rym,91789853,0,0
1174757692356927489,"""Il n'est jamais trop tard pour bien faire, mais il est presque trop tard pour effectuer sa transformation numérique...""#TransformationDigitale @dfcgasso Aquitaine @LCL @CheopsTechno",Thu Sep 19 18:50:34 +0000 2019,Jacques Isnard,1015656613,1,0
1174757037047197697,Intervention pétillante et édifiante de Nicolas Leroy-Fleuriot @CheopsTechno à l'occasion de l'événement sur la #TransformationDigitale organisé par @dfcgasso Aquitaine et @LCL,Thu Sep 19 18:47:58 +0000 2019,Jacques Isnard,1015656613,1,0
1174751579741859845,"Très bel événement ce soir au #hiltongardeninnbordeaux organisé par @dfcgasso aquitaine, @LCL sur le thème de la #TransformationDigitale et la #cybersecurite avec @CheopsTechno @almond_consult @talan_fr @earlymetrics Passionnant.",Thu Sep 19 18:26:17 +0000 2019,Jacques Isnard,1015656613,2,1
1174735972145270786,"Assurance @LCL carte infinite, la meilleure en cas de problème ? Une grosse blague. Ne veut pas rembourser un vol de bagage dans une voiture de location bien que c'est noté dans les conditions générales.",Thu Sep 19 17:24:15 +0000 2019,Julie Chanthavong,1174732119282765825,3,11
1174599648566292482,"Bravo @lcl, 6 mois que j'attend d'être remboursé d'une somme importante aprés une #fraude bancaire. Et j'apprend aujourd'hui que le dossier a été clos alors que je  n'ai jamais eu de réponse. Vous savez comment ça s'appel ce genre de pratique ?",Thu Sep 19 08:22:33 +0000 2019,Hellexis,626618324,0,1
1174571321704898560,"📆 Le 24 septembre, nous organisons en partenariat avec @LCL un petit-déjeuner à Strasbourg dédié à la cybercriminalité ""Fuite de données, Piratage, Ransomware: sortez couverts !"" #cybersécurité [LIEN]",Thu Sep 19 06:30:00 +0000 2019,Almond,580080861,0,0
1174510028583264262,Hé je retweet une pub @LCL 😅 [LIEN],Thu Sep 19 02:26:26 +0000 2019,JDHeuze,122181764,0,0
1174397507763408896,#CyberSecurity #Hameçonnage #Phishing aux couleurs de @Veolia #Veolia et de la @LCL #LCL [LIEN],Wed Sep 18 18:59:19 +0000 2019,-angenoire-,966322544382042112,0,0
1174355500076609536,[Deal] Nous avons accompagné @ArkeaBS et @LCL dans la mise en place d'une #dette senior destinée au #financement partiel de la réorganisation de l'#actionnariat de #Snadec dans le cadre d’un nouveau #LBO mené par #LFPI (majoritaire) et @Amundi_FR[LIEN] [LIEN],Wed Sep 18 16:12:24 +0000 2019,De Gaulle Fleurance,3385639444,1,0
1174344830866120707,"📆 Rendez-vous demain à Bordeaux pour rencontrer @OlivierPantaleo lors d’une conférence avec @LCL et @dfcgasso. ""« Comment protéger ce business de plus en plus digital dans un monde toujours plus dangereux et réglementé ? »"" #cybersécurité [LIEN]",Wed Sep 18 15:30:00 +0000 2019,Almond,580080861,2,1
1174314905345900544,"Bonjour @LCL, est ce que vos conseillers travaillent des fois? Ça fait 2 ans que je suis chez vous et je n’ai toujours pas réussi avoir le mien au téléphone. Peut être qu’il n’en a pas finalement ? Ça sert à quoi de payer des frais si ce dernier m’apporte strictement rien ?",Wed Sep 18 13:31:05 +0000 2019,Fisherman,4220073803,2,0
1174263061567422467,[#RECRUTEMENT] J-2 !! DERNIERS JOURS pour postuler aux #AssessmentCenterDays.Inscrivez-vous dès maintenant ➡️ [LIEN]#Toutcommenceici #emploi #audit #finance #IT@LCL @CA_CIB [LIEN],Wed Sep 18 10:05:05 +0000 2019,Crédit Agricole RH,557683285,0,1
1174249011622141955,"Salut @LCL, juste un petit message pour vous rappeler qu'il ne faut pas oublier de me prélever 40e de frais bancaire pour un prélèvement qui n'est pas passer, merci bcp les escrocs",Wed Sep 18 09:09:15 +0000 2019,Bowser,932693567679680512,0,0
1174241296317341697,⚠Le #phishing n’a jamais été aussi présent. 🐛Dernier cas en date marquant ✉ l’usurpation d’une facture d’eau @Veolia pour intercepter les données des clients de la banque @LCL ☠🔐![LIEN] #cybersecurite #securiteinternet [LIEN],Wed Sep 18 08:38:36 +0000 2019,ZATAZ,39813021,13,18
1174237059969638401,"Nan, mais quand même... @LCL, vous ne testez pas avant d'envoyer vos mails ?  🙄Une chance - et étonnant ! - qu'il n'ait pas atterri dans les Spams... [LIEN]",Wed Sep 18 08:21:46 +0000 2019,Muriel Gani,16893140,0,0
1173949368434647041,Merci à @nathaliemasse88 pour la présentation du @villageCAav à nos équipes @LCL et à @BertrandFavre @Yakmaninsurtech @cyrilgoust @thebunnymoney pour la présentation de leurs projets et partage d’expérience #coopérerpourinnover #Banque [LIEN],Tue Sep 17 13:18:35 +0000 2019,Nicolas ALVAREZ,3050625851,4,1
1173941857778380800,Pitch désormais de @thebunnymoney devant les équipes @LCL : pitch en anglais bien sûr pour une startup de San Francisco 👌👏👏 [LIEN],Tue Sep 17 12:48:44 +0000 2019,Le Village by CA AV,808667409741651970,7,2
1173937850200526848,Pitch actuellement de @Yakmaninsurtech devant l’assemblée des équipes @LCL pays de Loire 👌 au @villageCAav [LIEN],Tue Sep 17 12:32:48 +0000 2019,Le Village by CA AV,808667409741651970,8,3
1173930401624199169,"Lorsqu'un enfant de client @LCL  démarre ses études sup. il peut bénéficier d'un financement à un taux avantageux qui peut atteindre 0,80% @HECParis  #MaVieMaVilleMaBanque [LIEN]",Tue Sep 17 12:03:12 +0000 2019,Julie Terzulli,135171292,1,0
1173925996363440128,"Belle rencontre en vrai après les réseaux avec @Alvarez_N44 de @LCL ! Belle dynamique, merci !! #cooperer pour innover @ClaireliseMro @PPherivong @villageCAav [LIEN]",Tue Sep 17 11:45:42 +0000 2019,Ludivine CHAILLOU,1152127873924419587,9,1
