id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183298308762210304,"Bonjour @LDLC, j'ai voulu découper mon smartphone pour récupérer le coupon sur votre tweet et maintenant l'écran ne fonctionne plus... [LIEN]",Sun Oct 13 08:27:56 +0000 2019,Deuchnord Sans MS,381578412,1,0
1183267064804466693,Merci @LDLC  pour la rapidité de l’envoi et pour ce PC et cet écran! Une valeur sûre! À très vite 😜 [LIEN],Sun Oct 13 06:23:46 +0000 2019,Light,952305164198834182,0,0
1183100487018729473,Bon alors sa fricote entre @LDLC et @TopAchat ? 😏😏😅 #Hum #Seduction [LIEN],Sat Oct 12 19:21:51 +0000 2019,JΞЯΞΠΨ,591331116,1,0
1183057529544331267,Merci à @LDLC de me rappeler ce que c'était pour moi le gaming avant que Papa m'achète ma première GameBoy. [LIEN],Sat Oct 12 16:31:09 +0000 2019,Ga5huX,2899821556,1,0
1183038703398215680,"Bon @LDLC ou @TopAchat vous voyez, la taxe dhabitation viens de tomber, et mon superbe ecran 144hz samsung incurvé viens dme lacher, devenez mon ange gardien",Sat Oct 12 15:16:21 +0000 2019,Losing My Life,565331506,0,0
1183011257265381376,J ai ça comme ça le mais je sais pas où le brancher après j ai besoin d' aide pls @materielnet @TopAchat @LDLC [LIEN],Sat Oct 12 13:27:17 +0000 2019,Blastunt,1104563554093535233,1,0
1182997199732559873,"Hello @LDLC ! Dites j'ai une question, l'offre d'un jeu offert à l'achat d'une RTX n'est valable que sur le site, pas en magasin?",Sat Oct 12 12:31:26 +0000 2019,Nyx,570576227,0,0
1182929026882658306,"Merci @LDLC pour la qualité de votre service client ! Suite à une erreur de ma part, vous avez pris le temps de trouver une solution 😊
Bravo et merci à Joffrey.
Un client heureux et fidelisé 😁

#humain #quality #service #client [LIEN]",Sat Oct 12 08:00:32 +0000 2019,Clément,244659577,1,0
1182809336504033280,Jài besoin d’un cour de câble management @LDLC @FRhardware [LIEN],Sat Oct 12 00:04:56 +0000 2019,Yann,1352819335,0,0
1182766110514569223,"J'avais raté la mauvaise nouvelle du jour : 
@LDLC en passe de racheter @TopAchat [LIEN] via 
@nextinpact",Fri Oct 11 21:13:10 +0000 2019,Kevin H.,390691793,2,0
1182737128343646219,"j'ai pu échanger rapidement avec @L_DLC (merci à lui !) à propos du rachat potentiel de @TopAchat par @LDLC. Àr retrouver par là ! ⬇️
[LIEN]",Fri Oct 11 19:18:00 +0000 2019,Corentin Béchade,47950374,0,0
