id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183433763818262531,"Merci à @lhemicycle d’avoir su résumer en un titre ce que 
@CZacharopoulou apporte à notre majorité @enmarchefr depuis qu’elle a décidé de s’engager en politique. Félicitations @ManuelLagny pour la nouvelle formule de son magazine ! @RenewEurope @LaREM_AN @Renaissance_UE [LIEN]",Sun Oct 13 17:26:11 +0000 2019,Gilles Le Gendre,843748232,1,0
1183428677696212992,La contradiction élevé au rang d'art chez @enmarchefr [LIEN] [LIEN],Sun Oct 13 17:05:58 +0000 2019,Hugo,1227199404,1,0
1183428004426465283,Découvrez mon portrait dans le nouveau numéro de @lhemicycle! 👉 [LIEN] Un merci particulier à @MarleneSchiappa et @GillesLeGendre pour leur mots d’amitiés. @Renaissance_UE @Renaissance_UE @enmarchefr  @LaREM_AN @ManuelLagny [LIEN],Sun Oct 13 17:03:17 +0000 2019,Chrysoula Zacharopoulou 🇪🇺🇫🇷,976511129018077186,14,3
1183405799126765568,Sur @CNEWS  je m’indigne des bombardements #Erdogan contre les kurdes après l’abandon de Trump. Merci à @EmmanuelMacron d’avoir stoppé les livraisons d’armes à la Turquie. L’Europe doit imposer une solution diplomatique pour arrêter ce génocide qui ne dit pas son nom @enmarchefr [LIEN],Sun Oct 13 15:35:03 +0000 2019,Fadila MEHAL,341249031,7,2
1183404583541972992,"Magnifique #CampusTerritoires en présence de Jérôme Toulza expliquant nos ambitions pour les #Municipales2020 et les réformes internes à venir ! Merci aux députés venus discuter sans filtre avec les marcheurs !
@JeromeToulza @enmarchefr @LaREMoccitanie @EnMarcheHerault [LIEN]",Sun Oct 13 15:30:13 +0000 2019,JB Orlando-Moles,868421256240144384,5,1
1183399716329066496,Violences conjugales : pourquoi @enmarchefr ➡️ va voter une loi @lesRepublicains [LIEN] via @lejdd,Sun Oct 13 15:10:53 +0000 2019,⚜️❣️Daniel pilotte de la BAROLLIERE 🇵🇱 🇮🇱,2464135300,1,4
1183398490644369409,"prenez conscience de votre imbécilité crasse, @partisocialiste , @enmarchefr ! [LIEN]",Sun Oct 13 15:06:01 +0000 2019,Ricard Rene nomacron FXB,2317894100,0,0
1183397824442044416,Tellement de bienveillance et d'apaisement dans notre societe depuis @enmarchefr [LIEN],Sun Oct 13 15:03:22 +0000 2019,Romain Vitt,1009710379814064128,0,0
1183391196959428610,"Ps: ma 2ème Ligne Rouge, s'appelle @RomainSubirats !!!

👉[LIEN]

Si jeune et déjà si Arrogant à l'image de son #Mouvement #EnMarche, prêt à tout pour exister !!!

Cc @enmarchefr @CoDubost @EnMarcheHerault
@StanGuerini @EmmanuelMacron
@PatrickVignal @Mohed_Altrad [LIEN]",Sun Oct 13 14:37:02 +0000 2019,Cloclo #EELV #Montpellier,1183150026400382978,0,0
1183383067160989698,"Cette secte @enmarchefr vient de nous mettre un police des mœurs !!
L'extrême droite est bien a @Elysee ce @gouvernementFR sont des fous dangereux !!!
#lrem [LIEN]",Sun Oct 13 14:04:44 +0000 2019,chantalrebelle2,746364883046928384,0,0
1183377166941216769,"Une école de commerce en France en 2019. Waw ca part vraiment en sucette.
#racismeenrouelibre
#SignaleUnMusulman
#vafalloirmettreuncouodefreinatoutca
@jmblanquer @enmarchefr @PoliceNationale @ccif [LIEN]",Sun Oct 13 13:41:17 +0000 2019,Amine,4105829657,0,0
1183375375780503552,"Comme Marco a les moyens, n'hésitez pas à signaler sa dernière ""production"" , validée par @enmarchefr ?! 
[LIEN] [LIEN]",Sun Oct 13 13:34:10 +0000 2019,AlwaysPunky 🔻ni dupe ni soumise,3255214181,6,3
1183367668965019649,"Faut dire que @enmarchefr attire du politicard de 1ère classe .. 😌

#Solère #Lrem [LIEN]",Sun Oct 13 13:03:32 +0000 2019,Ze Coucou564,122409914,0,0
1183361376225497089,Je suis content de voir que des spécialistes de l alcoolisme approuvent mes tweets reprochant a la candidate @enmarchefr    @VSpillebout son projet d abroger l arreté de la ville de Lille limitant a 22:30 les terrasses des cafés lillois. La santé publique c est notre affaire 👍,Sun Oct 13 12:38:32 +0000 2019,Philippe Froguel,2258772237,0,1
1183352983641309184,"C'est malin, pour éviter à  @enmarchefr de prendre 1 déconfiture de compétition, pas sûr que ça efface l'arrogance de la marque @EmmanuelMacron ! 🙄 [LIEN]",Sun Oct 13 12:05:11 +0000 2019,F. L- R,971994593146236928,2,1
1183352875528998912,C’est donc cela le visage @enmarchefr. Donc pour @jmblanquer le port du voile n’est pas souhaitable dans l’espace public.  Vous allez disparaître politiquement aussi vite que Valls [LIEN],Sun Oct 13 12:04:45 +0000 2019,SaveOuighours,129166683,6,1
1183351674154422273,Sans déc' ca vous étonnes du @gouvernementFR et d'@enmarchefr ? [LIEN],Sun Oct 13 11:59:59 +0000 2019,Christφphe Chaudier #JeSuisFiché #20646,967758938,0,1
1183351349225967617,Plus de 40 000 participants à l’élection du président pour @lesRepublicains ! Un score au dessus des espérances ! Les Républicains sont bien vivants contrairement à ce qu’espèrent @enmarchefr et @RNational_off ! #AvecJacob pour le rassemblement ! #JevoteJacob #LR [LIEN],Sun Oct 13 11:58:41 +0000 2019,ANTOINE ELIE Gaulliste Republicain ⭐️⭐️,842832957652062208,7,2
1183350762711277571,"Un #INTERJAM sur la culture à #Nancy ce week-end avec tables rondes, simulations et visites 🎨🎭🎼

Une ville qui est un exemple pour tous les projets municipaux que nous pourront développer dans les mois à venir dans nos municipalités respectives avec @enmarchefr ! [LIEN]",Sun Oct 13 11:56:22 +0000 2019,Julie Phan-Pérain 🇪🇺,552578461,3,0
