date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Sat Oct 12 18:37:14 +0000 2019,,1183089258543964160,1.1830624355210158e+18,,"@AnneLaure_David Bonsoir Anne-Laure, pourriez vous passer en DM pour nous donner tous les détails, merci bien.",La Banque Postale,550293716
Thu Oct 10 17:25:44 +0000 2019,,1182346486694240259,1.1820003370513654e+18,,"@jessigaelle06 Bonjour, Nous sommes vraiment navrés de cette situation. Pouvez-vous s'il vous plait nous donner plus de détails en message privé et nous communiquer votre nom &amp; prénom, votre année de naissance, ainsi que votre commune de résidence. Bonne soirée, Camille.",La Banque Postale,550293716
Thu Oct 10 08:41:28 +0000 2019,,1182214553364566017,1.1822111702682624e+18,,"@Aardohan Bonjour, Je suis désolé que vous n'ayez pas pu joindre un conseiller. Pour vous aider, pouvez-vous me communiquer en message privé votre nom &amp; prénom, votre année de naissance, ainsi que votre commune de résidence. Bonne journée, Camille.",La Banque Postale,550293716
Tue Oct 08 15:28:38 +0000 2019,,1181592244526211073,1.1815356363454917e+18,,"@CoralinePotter Bonjour, je suis désolé de cette situation. Afin que je puisse vous aider, n'hésitez pas à me communiquer en message privé votre nom &amp; prénom, votre année de naissance, ainsi que votre commune de résidence. Merci d'avance, Camille",La Banque Postale,550293716
Tue Oct 08 10:04:28 +0000 2019,,1181510664847790081,1.1815064237186007e+18,,"@nimphedia Bonjour, Afin que je puisse vous aider, n'hésitez pas à me communiquer en message privé votre nom &amp; prénom, votre année de naissance, ainsi que votre commune de résidence. Merci d'avance et bonne journée.
Camille",La Banque Postale,550293716
Mon Oct 07 20:02:40 +0000 2019,,1181298817959903239,1.181290874686378e+18,,"@la_tchagui Bonsoir, pouvez-vous m'en dire plus en DM sur les soucis que vous rencontrez avec l'application s'il vous plaît ?
A très vite,
Sacha",La Banque Postale,550293716
Mon Oct 07 15:19:41 +0000 2019,,1181227603144925184,1.1812026123827692e+18,,"@Helena66Nissen
Bonjour,
N'hésitez pas à m'écrire en DM afin que je puisse vous aider ou répondre à vos questions concernant les certicodes. Merci d'avance.
Bonne journée,
Camille",La Banque Postale,550293716
Mon Oct 07 08:09:51 +0000 2019,,1181119431512080385,1.18111112840917e+18,,"@S1mba_k1ng
Bonjour,
Nous rencontrons en effet des difficultés sur l’application au moment de la validation du virement. Nous sommes désolés pour la gêne occasionnée, nos équipes sont en cours d’analyse pour rétablir la situation dans les meilleurs délais. 
1/2",La Banque Postale,550293716
Sat Oct 05 14:25:20 +0000 2019,,1180489152284020741,1.1804837135216394e+18,,"@ArthurOg7 Bonjour, je comprends votre mécontentement. Afin que nous puissions vous aider, pourriez-vous m'en dire plus en DM sur l'objet de votre appel s'il vous plaît ?
Merci d'avance,
Sacha",La Banque Postale,550293716
Sat Oct 05 14:19:19 +0000 2019,,1180487635590139904,1.180418208203002e+18,,"@kagda_ Bonjour, je suis navré de votre mauvaise expérience avec notre service client. Afin de vous aider, pourriez-vous m'en dire en DM sur les soucis que vous rencontrez s'il vous plaît ?
Merci d'avance,
Sacha",La Banque Postale,550293716
Mon Oct 14 08:34:36 +0000 2019,,1183662376610095104,1.1836367310626038e+18,,"@La_Gaysha
Bonjour,
Je comprends tout à fait votre mécontentement. Je vous invite à me communiquer en DM votre nom &amp; prénom, votre année de naissance ainsi que votre commune de résidence. Merci d'avance.
Bonne journée,
Camille",La Banque Postale,550293716
Sun Oct 13 18:56:41 +0000 2019,,1183456539719491587,1.183301873346007e+18,,"@Perline_ Bonsoir,
Afin de mieux comprendre votre souci, pourriez-vous m'en dire plus en DM s'il vous plaît ?
Merci d'avance,
Sacha",La Banque Postale,550293716
Mon Oct 14 21:33:56 +0000 2019,,1183858502512664582,1.1838107488935363e+18,,"@fukuzuuu Bonsoir,
Afin de mieux comprendre votre souci, pourriez-vous m'en dire plus en DM s'il vous plaît ?
Merci d'avance,
Sacha",La Banque Postale,550293716
Mon Oct 14 14:25:31 +0000 2019,,1183750687840178177,1.1837340846291395e+18,,"@moicstlaura
Bonjour Laura,
Je comprends votre mécontentement. Afin que je puisse vous aider, je vous invite à me communiquer en DM, votre nom &amp; prénom, votre année de naissance ainsi que votre commune de résidence. Merci d'avance.
Bonne journée,
Camille",La Banque Postale,550293716
