id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183769156916785152,Arrivée de l’orage en #IleDeFrance @MeteoNordParis @Meteovilles @ExtremeMeteo @lachainemeteo @KeraunosObs #orages #vigilanceOrange #Paris [LIEN],Mon Oct 14 15:38:55 +0000 2019,Nass Nanou,2815727914,16,2
1183764787416764417,"#Pluies &amp; #orages #VilleDeIFS 
⛈️😱⛈️ C'est impressionnant @meteofrance @lachainemeteo @NormandieMeteo [LIEN]",Mon Oct 14 15:21:33 +0000 2019,◼️M E H D I◼️MOUH,245039231,7,1
1183757928110669825,"Rafales descendante aux Landes Génusson 85130. Pas de dégâts au domicile mais coupure de courant depuis 15:00, heure de capture de cette vidéo. 
@OuestFrance85 @KeraunosObs @meteociel @lachainemeteo @meteofrance [LIEN]",Mon Oct 14 14:54:17 +0000 2019,Morgan,235311737,51,28
1183753480542019587,"46 départements en #vigilance. Une activité orageuse marquée et intense, localement accompagnée de pluies et vents violents. Suivez les #orages en direct : [LIEN]
@Meteorage__  @meteofrance @LaMatinaleLCI @GWoznica  @Meteovilles @lachainemeteo [LIEN]",Mon Oct 14 14:36:37 +0000 2019,Météorage,865128303614709762,15,8
1183740497078243330,Orage qui s'annonce @meteofrance @lachainemeteo @SO_Bordeaux @meteociel [LIEN],Mon Oct 14 13:45:01 +0000 2019,Capitan Mallaury,1183738637797777413,0,0
1183734252426407936,"Dites-moi que c'est une blague du stagiaire de @lachainemeteo  ! 

[LIEN] [LIEN]",Mon Oct 14 13:20:13 +0000 2019,Marc Herstalle,91569130,1,0
1183725555860103168,🌩️#météo : qu'attendre des orages aujourd'hui alors que l'alerte orange est décrétée ? Réponse en #stream avec @pspillet et @LCMRegis de @lachainemeteo #orages [LIEN],Mon Oct 14 12:45:39 +0000 2019,Figaro Live,485778936,2,4
1183681613076553729,Doit on craindre les orages à  Bordeaux? @lachainemeteo,Mon Oct 14 09:51:02 +0000 2019,Alexandre,1104660259,0,0
1183645121495076864,"Je n'avais pas regardé le 💨 pour ce lundi : la @lachainemeteo annonce des rafales à 70kmh !
Ça va être rock en roll !",Mon Oct 14 07:26:02 +0000 2019,BikeGaga,891286753235128320,7,0
1183406508035465216,Un nuage lenticulaire ? @KeraunosObs @lachainemeteo @MeteoContact #nuage [LIEN],Sun Oct 13 15:37:52 +0000 2019,BRUNO Gilles,362957268,2,0
