id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183034170941104128,"Allô la presse, j’espère que vous allez nous lâcher un peu avec cette non information #dupontdeligonnes , c’est pas lui point barre on passe à autre chose @BFMTV @franceinfo @Le_Figaro",Sat Oct 12 14:58:20 +0000 2019,Hubch,1067874064105177088,0,0
1183034119850201089,"Mais soyons francs je pense pour d'autres raison résilier mon abonnement @Le_Figaro et aller chez les @LesEchos.
Je ne veux pas que mon abonnement finance des personnes comme zemmour ou dr alexandre.

Voilà. #xddl, c'est un argument de plus pour franchir le pas. [LIEN]",Sat Oct 12 14:58:08 +0000 2019,Lundi,919559616400371712,0,0
1183033896822284294,Angela Merkel admet l'échec du multiculturalisme allemand [LIEN] via @Le_Figaro,Sat Oct 12 14:57:15 +0000 2019,maxime jacoby,3379976578,0,0
1183031258307289088,Le discours de Raphaël Enthoven à la «Convention de la droite» [LIEN] via @Le_Figaro,Sat Oct 12 14:46:46 +0000 2019,Un pédiatre™,338339202,0,0
1183029606045114368,"On notera que aucun journal d'ampleur médiatique n'a mis cet évènement en une de sa page web. Ni @libe ni @lemondefr ni @Le_Figaro.

Vous trouvez pas que c'est quand même étrange, comme choix éditorial ? [LIEN]",Sat Oct 12 14:40:12 +0000 2019,Emmanuel - Kierra,1062947008581984256,1,0
1183023067867631618,"Enfin une vraie #FakeNews ou le récit d'un beau plantage policier, judiciaire et médiatique @afpfr @LCI @BFMTV @Le_Figaro @lemondefr etc... [LIEN]",Sat Oct 12 14:14:13 +0000 2019,Jean-Philippe Ducart,92308710,0,0
1183015405515882496,Xavier Dupont de Ligonnès aurait été arrêté après huit ans de cavale [LIEN] via @Le_Figaro : les médias incapables de dénoncer un acte terroriste mais une fake news ça ok !!!,Sat Oct 12 13:43:46 +0000 2019,FERRARI,790131217207271425,0,0
1183009275104415745,"D'après les médias on a retrouvé #dupontdeligonnes 
Il voyageait sur un balai. 
@BFMTV
@LCI
@CNEWS 
@franceculture 
@France3tv 
@France2tv 
@TF1 
@lemondefr 
@RTenfrancais 
@Le_Figaro [LIEN]",Sat Oct 12 13:19:25 +0000 2019,Phil_deFrance #JeSoutiensZemmour et toussa,2205417928,0,1
1183008849986490368,L'homme arrêté à Glasgow n'est pas Xavier Dupont de Ligonnès [LIEN] via @Le_Figaro,Sat Oct 12 13:17:43 +0000 2019,ALPHASCIENCE,710214999201939457,0,0
1183008794416156682,"Selon une source fiable proche de @BFMTV et @Le_Figaro, #XavierDupontdeLigonnes aurait eu recours à la chirurgie esthétique et se ferait désormais appeler Patrick. Il serait actuellement incarcéré à la prison de la santé à paris. #dupontdeligonnes  #Balkany [LIEN]",Sat Oct 12 13:17:30 +0000 2019,🦏🐗,1066698746342375425,2,1
1183005260425695232,Dix mots d’arabe que vous employez sans le savoir [LIEN] via @Le_Figaro,Sat Oct 12 13:03:27 +0000 2019,RUBIS RED,316077382,0,0
1183003989136367617,Fact-checking: #Facebook étend son programme à dix nouveaux pays d'#Afrique [LIEN] via @Le_Figaro,Sat Oct 12 12:58:24 +0000 2019,Activafrica,1163595734446497792,0,0
1183000553191809025,"Après les majorités introuvables (16 sur 18 ds l'UE), les gouvernements en jachère, l'installation de la Commission est reportée 6 mois après l'élection. Ils ns diront que c'est un signe de bonne santé démocratique quand c'est son agonie [LIEN] via @Le_Figaro",Sat Oct 12 12:44:45 +0000 2019,François Cocq,1313191310,4,2
1183000507784355840,"Les Turcs viennent de blesser 2 soldats des forces spéciales francaises, aux abords d'une base installée près de Kobané en violation totale du droit international.

Et c'est pas sur la télé que vous en entendrez parler!

Hein @BFMTV @CNEWS @LCI @FRANCE24 @libe @Le_Figaro et Cie ?",Sat Oct 12 12:44:34 +0000 2019,Albert Ator,143762922,0,0
1182999255448993793,"Ah ah 😱😱😱ils vont trouver toutes les excuses pour nous expliquer que ce n’est pas de le faute   @BFM @le_Parisien @Le_Figaro etc.
Trouvez le mouchard dans les milieux aurorisés qui a déclenché l’emballement 😊 [LIEN]",Sat Oct 12 12:39:36 +0000 2019,Malcy,572549654,0,0
1182998601124868098,Les roies romaines influencent encore maintenant l’économie en 🇪🇺 :  Des chercheurs en économie ont mis en évidence la persistance de cette influence [LIEN] @Le_Figaro,Sat Oct 12 12:37:00 +0000 2019,Damien Jacob,7735802,0,0
1182998128884178944,Ne tombez pas dans le piège: ces six techniques d’escrocs pour siphonner votre épargne [LIEN] via @Le_Figaro. En résumé une banque.,Sat Oct 12 12:35:07 +0000 2019,Hugues SMH,1213383121,0,0
1182996612609662977,"#Ligonnès Le podium des Unes les plus pertinentes : 
1. @lemondefr 
2 @Le_Figaro 
3 @laprovence [LIEN]",Sat Oct 12 12:29:06 +0000 2019,Gabriel Boussonnière,3305512155,5,2
1182992927078993923,"Pierre Liscia: «Sale, dangereuse, ghettoïsée... La ville de Paris me fait honte!» [LIEN] via @Le_Figaro",Sat Oct 12 12:14:27 +0000 2019,John of America,103288826,0,0
1182992862960599040,"Ça paraît sacrément venteux là-haut... Écoutez les sons de la planète Mars enregistrés par la sonde InSight 
[LIEN] via @Le_Figaro et ⁦@CyrilleVan⁩",Sat Oct 12 12:14:12 +0000 2019,Louis,1037333950853783554,0,0
1182992452757741568,"cc @BFMTV @franceinfo @Le_Figaro , à priori c'est pour vous. Vos témoignages en direct ? Vos réactions ? Vos analyses avec spécialistes du foirage média ? #Impatient #Journaleux [LIEN]",Sat Oct 12 12:12:34 +0000 2019,Monwifi.fr,48688621,0,0
1182990639643934721,"Le procureur de Nantes, dès hier soir, appelait à la prudence concernant #XDDL et pourtant l'ensemble des médias, mais tous (!!!) affirmaient l'arrestation du meurtrier présumé .... Bravo les mecs mais vraiment bravo @AfpFactuel @afpfr @LCI @TF1LeJT @franceinfo @Le_Figaro etc... [LIEN]",Sat Oct 12 12:05:22 +0000 2019,PeterKotsiopulos,1049935677532594176,1,0
1182989420120760321,"Il y aurait comme un problème récurrent et symptomatique du côté des médias français ! Et encore, je ne parle pas de @BFMTV. 📸 @Le_Figaro. #dupontdeligonnes #Glasgow #XDDL [LIEN]",Sat Oct 12 12:00:31 +0000 2019,Olivier Pesquié,1062051155688243204,0,0
1182987460135002112,La déforestation en Amazonie a augmenté de 93% [LIEN] via @Le_Figaro,Sat Oct 12 11:52:43 +0000 2019,melody nelson,311752281,0,0
1182986436351528961,Europe: 94 #paquebots émettent dix fois plus de #dioxydedesoufre que 260 millions de #voitures [LIEN] via @Le_Figaro,Sat Oct 12 11:48:39 +0000 2019,Hans Willert,559919694,0,0
1182986184542298113,Merci pour ce moment @RTLFrance @BFMTV @CNEWS @afpfr @Le_Figaro #dupontdeligonnes #DupontDeLigones [LIEN],Sat Oct 12 11:47:39 +0000 2019,LⓂ️P PIX8️⃣4️⃣,821302981584941056,2,1
1182985298873114626,Bonjour @le_Parisien @Le_Figaro @afpfr. C'est quoi ça ? Les autres dites rien. #dupontdeligonnes [LIEN],Sat Oct 12 11:44:08 +0000 2019,JBVador,311547738,0,1
1182981391723696128,"#XavierDupontdeLigonnes : Marine Le Pen demande la démission des patrons de @CNEWS @BFMTV @le_Parisien @Le_Figaro le renvoi du chef des renseignements britanniques, l’application immédiate du brexit et des excuses publiques de la reine et bien sûr la démission de Castaner",Sat Oct 12 11:28:37 +0000 2019,Yo,3073003059,14,0
1182978724045701120,Une balade à Montmartre dans nos archives de la semaine sur Instagram [LIEN] via @Le_Figaro,Sat Oct 12 11:18:01 +0000 2019,olivier Pointcheval,494028099,0,0
1182977500055556096,"[LIEN]

#Promesse non tenue par #lopposition, ça passe inaperçue ? 🤔 @SenateurCheramy @evbeauplan19681 @YouriLatortue @dimitrivorbe @ReginaldBoulos @LOdilet @nouvelliste @lemondefr @Le_Figaro @tripotaylakay @20Minutes @AlterPresse @Frantzduval @Alainpossible",Sat Oct 12 11:13:09 +0000 2019,Refuge Des Femmes D'Haïti (Ref-Haiti),1138761567133208576,0,0
1182976263356583936,"Les Tuileries fermées à cause de 3 bouseux et 2 loqueteux qui éructent des borborygmes à côté de l'AN...
Riverains et touristes dans l'incompréhension totale!
Que fait la police??
@Anne_Hidalgo @CCastaner @prefpolice @PierreLiscia @Le_Figaro @LeParisien_75 @MuseeLouvre",Sat Oct 12 11:08:14 +0000 2019,Venantius de Salvemec,1073308680718815233,2,1
1182974095639699459,"You’ve stolen my dream and my childhood @le_Parisien @lemondefr @BFMTV @CNEWS @Le_Figaro 

le plus gros flop journaliste toute compétition confondue très déçu d’être tombé dans votre piège fake news [LIEN]",Sat Oct 12 10:59:37 +0000 2019,Bak’,38200952,0,0
1182973384612864000,"Une info non vérifiée est parfois une #FakeNews ...
Pensée pour tous ceux qui se sont empressés de commenter ...
L'homme arrêté à Glasgow n'est pas Xavier Dupont de Ligonnès [LIEN] via @Le_Figaro",Sat Oct 12 10:56:48 +0000 2019,Geoffroy de Vries,612935778,0,0
1182973137039876096,"Ils ont mis le paquet sur ⁦@RTLFrance⁩ !
Dommage.
L’homme arrêté à Glasgow n'est pas Xavier Dupont de Ligonnès [LIEN] via @Le_Figaro",Sat Oct 12 10:55:49 +0000 2019,Rémi Baudin,476250239,0,0
1182972408178851840,"Ca valait la peine tout ce spectacle médiatique !! 
@Le_Figaro @LCI @BFMTV @lesoir @rtlinfo
  #dupontdeligonnes 

[LIEN]",Sat Oct 12 10:52:55 +0000 2019,Xefe Astur 🇪🇸🇫🇷,410835924,0,0
1182972405662306304,Le fail du siècle : Une source police indique au @Le_Figaro que l'homme arrêté à Glasgow n'est PAS Xavier Dupont de Ligonnès. Les policiers ont établi cet élément de manière formelle grâce à une comparaison génétique entre l'homme arrêté et le fugitif 🤦‍♂️🤦‍♂️ [LIEN],Sat Oct 12 10:52:54 +0000 2019,Etienne Baldit,551780053,7,4
1182971817784467459,Oups. L'homme arrêté à Glasgow n'est pas Xavier Dupont de Ligonnès [LIEN] via @Le_Figaro,Sat Oct 12 10:50:34 +0000 2019,Paul L’âne🇫🇷,1033855850211954688,0,0
1182969979970510849,Le naufrage des médias français @BFMTV @CNEWS @LCI @Le_Figaro @le_Parisien dans l’affaire #XavierDupontdeLigonnes,Sat Oct 12 10:43:16 +0000 2019,Philippe GUILLAUD,7005192,0,0
1182964674767327233,"John Boorman, le poète du cinéma [LIEN] via @Le_Figaro",Sat Oct 12 10:22:11 +0000 2019,Walek,1080440736892534785,0,0
1182953716460216320,"Que fait l'OTAN ?
Syrie: des troupes américaines sous le feu de positions turques [LIEN] via @Le_Figaro",Sat Oct 12 09:38:38 +0000 2019,christian houdet,1075194839581511680,0,0
1182953590329098240,Allez tout le monde en cœur on se moque tous des médias @le_Parisien @BFMTV @Le_Figaro [LIEN],Sat Oct 12 09:38:08 +0000 2019,☠️,367755094,1,0
1182953280193867778,"Apparemment, il y a un bug avec la mise à jour du site du @Le_Figaro : les aperçus des illustrations des articles ne s'affichent plus, ni dans les flux rss ni sur les réseaux sociaux.",Sat Oct 12 09:36:54 +0000 2019,Aymeric Pontier,1131717238493503489,0,0
1182946546792443905,La Turquie poursuit son avancée en Syrie [LIEN] via @Le_Figaro,Sat Oct 12 09:10:09 +0000 2019,RAFIDIARIMANDA,3304610565,0,0
1182945043004481537,Énorme !!! 👏👏👏 : Kipchoge fait tomber la barre des deux heures [LIEN] via @Le_Figaro,Sat Oct 12 09:04:10 +0000 2019,J-F Guinvarc'h 🦊🐠,11083092,0,0
1182939686194548736,On se retrouve au salon @Le_Figaro au Palais de la Bourse #Lyon ! Nos étudiants sont prêts à vous accueillir 😉 [LIEN],Sat Oct 12 08:42:53 +0000 2019,XP The international esport & gaming school,1054304065683894272,13,4
1182938964904366081,Marathon : Kipchoge fait tomber la barre des deux heures [LIEN] via @Le_Figaro,Sat Oct 12 08:40:01 +0000 2019,Laurent_Butel,38975359,0,0
1182938870398246913,Quand les médias français mettent des fake news pour faire monter l’audience @BFMTV @LCI @franceinfo @20Minutes @Le_Figaro @le_Parisien #dupontdeligonnes,Sat Oct 12 08:39:39 +0000 2019,nayb,1011698294999875585,0,1
1182938460304412673,Marathon : Kipchoge fait tomber la barre des deux heures [LIEN] via @Le_Figaro Ouaouah 🥇,Sat Oct 12 08:38:01 +0000 2019,TORTRAT Nathalie,81319400,0,0
1182937968190935040,Marathon : Kipchoge fait tomber la barre des deux heures [LIEN] via @Le_Figaro Spectaculaire et émouvant. Quelle détermination pour descendre sous la barre des deux heures,Sat Oct 12 08:36:04 +0000 2019,Philippe Buerch,2827370879,0,0
1182937631929372677,[#Marathon] : ⁦@EliudKipchoge⁩ fait tomber la barre des deux heures ! 👍👍👍 [LIEN] via @Le_Figaro,Sat Oct 12 08:34:44 +0000 2019,Laura Vedel,1348685401,0,0
1182937605404536832,"INCROYABLE !!!
Marathon : Kipchoge fait tomber la barre des deux heures [LIEN] via @Le_Figaro",Sat Oct 12 08:34:37 +0000 2019,Jeandoridot,800650688153849857,1,1
1182936284978921472,Ca sent le gros plantage cette arrestation ! #XavierDupontdeLigonnes Dupont de Ligonnès : un témoignage sème le doute [LIEN] via @Le_Figaro,Sat Oct 12 08:29:22 +0000 2019,Roho Aurelien,1037049165061214219,0,0
1182935946930589696,Écoutez les sons de la planète Mars enregistrés par la sonde InSight [LIEN] via @Le_Figaro,Sat Oct 12 08:28:02 +0000 2019,Amandine,1073277309396926465,0,0
1182935139967520768,Intéressant 💡Comment les voies romaines influencent encore aujourd’hui l’#économie 🇪🇺 : des chercheurs en économie ont mis en évidence l’influence du réseau de voies romaines construit durant l’antiquité sur notre éco contemporaine. A lire 🗞 @Le_Figaro [LIEN],Sat Oct 12 08:24:49 +0000 2019,Isabelle Senand,982258080200048640,0,0
1182934180142944256,"«Kurdes de Syrie: la duplicité de la Turquie et la trahison des États-Unis» [LIEN] via @Le_Figaro 
L’Europe n’a-t-elle donc aucune raison d’être morale pour ne pas s’opposer à cette honte? Franchement il ne faudra pas s’étonner de rien aux prochaines élections...",Sat Oct 12 08:21:01 +0000 2019,Eric Barray,1562359698,1,2
1182934018704191488,Le campus @xp_esport de Lyon présent au Salon de l'Etudiant @Le_Figaro au Palais de la Bourse 🎮👾 [LIEN],Sat Oct 12 08:20:22 +0000 2019,Cyril Shoam Anaya,20425345,6,2
1182933958151069696,"On doit reconnaître une chose, depuis hier soir seul @Le_Figaro parlait au conditionnel !",Sat Oct 12 08:20:08 +0000 2019,Hugues2P,141164875,1,0
1182933532706070529,"Paix dans le pays, paix dans le monde... 

Peace at home peace in the world...

Yurtta Sulh Cihanda Sulh.....

@lemondefr @le_Parisien @Le_Figaro @nytimes @washingtonpost @nytimes @BBCBreaking [LIEN]",Sat Oct 12 08:18:26 +0000 2019,Café De La Culture,110851007,0,0
1182929843543040000,"On nous place entre les deux alternatives, la république rouge ou le socialisme, c’est-à-dire la bourse ou la vie.
Victor Hugo (Choses vues)

Les bobards de la gauche [LIEN] via @Le_Figaro",Sat Oct 12 08:03:47 +0000 2019,ConspJustice,2580188462,3,0
1182929096843677696,Xavier Dupont de Ligonnès : un témoignage sème le doute [LIEN] via @Le_Figaro,Sat Oct 12 08:00:49 +0000 2019,Hervé,483235982,0,0
1182924648230592517,"Coucou @Le_Figaro vous voulez pas donnez des cours de géographie à vos ""grand reporter"". [LIEN]",Sat Oct 12 07:43:08 +0000 2019,Yukwi  #PopcornDust,133051485,3,0
1182924113997959169,"[A LIRE] ""1 Français sur 2 part à la retraite avant l'âge légal, surtout grâce au dispositif carrières longues"", un article du @Le_Figaro  👉 [LIEN]
Bonne lecture ! 
#seniors #media #actu",Sat Oct 12 07:41:01 +0000 2019,Forum des Seniors,3329349183,0,0
1182920842398916608,"Xavier Dupont de Ligonnès : un témoignage sème le doute [LIEN] via @Le_Figaro 

Rebondissement...",Sat Oct 12 07:28:01 +0000 2019,Nadim-Joseph Bayeh,407699566,0,0
1182919262043815936,"🇫🇷 ""Xavier Dupont de Ligonnès aurait été arrêté après huit ans de cavale"" (titre prudent et bienvenu du site @Le_Figaro qui contraste avec les Unes sur  papier du Parisien et de la quasi totalité de la presse régionale) [LIEN] [LIEN]",Sat Oct 12 07:21:44 +0000 2019,Gilles Klein,5698002,1,2
1182914567481024513,"« Les électeurs européens demandent davantage d’Europe et non davantage d’État-nation », explique #HECprof de droit européen @alemannoEU dans cette interview pour @Le_Figaro [LIEN]",Sat Oct 12 07:03:05 +0000 2019,Knowledge@HEC,2803400906,0,0
1182913186225381377,Retraites : la CGT services publics rejoint la grève du 5 décembre [LIEN] via @Le_Figaro,Sat Oct 12 06:57:35 +0000 2019,jeanchris,798032390396510208,0,0
1182912350464233478,"Syrie: en Turquie, le chef de l'Otan exhorte Ankara à agir «avec retenue» [LIEN] via @Le_Figaro
Je crains que Erdogan ne se foute complètement de l'avis de M. Stoltenberg. L'action turque menace la sécurité de l'UE",Sat Oct 12 06:54:16 +0000 2019,Gérard de Angéli 🇪🇺🇫🇷,2152684651,0,0
1182912086583713792,"C’est pas lui !? 😳

Xavier Dupont de Ligonnès : un témoignage sème le doute [LIEN] via @Le_Figaro",Sat Oct 12 06:53:13 +0000 2019,Hubert Coster,396610751,2,3
1182909573625196544,"Pourriture Macronienne, champion du mensonge et de la trahison ! 

 Le député LREM Thierry Solère mis en examen pour fraude fiscale [LIEN] via @Le_Figaro",Sat Oct 12 06:43:14 +0000 2019,BORDET,290439468,0,0
1182909293252796416,"En rejetant Sylvie Goulard, les eurodéputés ont aussi rejeté Emmanuel Macron [LIEN] via @Le_Figaro",Sat Oct 12 06:42:07 +0000 2019,Vercingétorix,2833549865,19,18
1182907744170467329,"#Municipales2020 : @StanGuerini entreprend un tour de France «des projets qui marchent».
Première étape aujourd'hui dans l'#Ariege sur le thème des #solidarites.
[LIEN] via @Mathilde_Sd @Le_Figaro 
#territoires #AuContact 
#EnMarche #FaireAutrement",Sat Oct 12 06:35:58 +0000 2019,Avec Adrien Taquet,1147101248912592896,2,1
1182904390023299072,Accord commercial entre la Chine et les États-Unis [LIEN] via @Le_Figaro,Sat Oct 12 06:22:38 +0000 2019,DEPAZ ♦️🇫🇷,799317461040562176,0,0
1182902927800852480,Xavier Dupont de Ligonnès aurait été arrêté après huit ans de cavale [LIEN] di @Le_Figaro,Sat Oct 12 06:16:49 +0000 2019,Giuliano Nicolini 🕯,33832927,0,0
