id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184164295493541889,"Trop drôle @le_gorafi 🤣
[LIEN]",Tue Oct 15 17:49:03 +0000 2019,Soeur Foune,755886040049647616,1,1
1184156521854312455,"« Après les #pompiers, la police envisage de se gazez elle-même » ça ferrait un bon titre @le_gorafi",Tue Oct 15 17:18:10 +0000 2019,Alexis Leclerc--Dalmet,754705675,1,0
1184155952204976130,Mdrrrrr c un titre de @le_gorafi ça [LIEN],Tue Oct 15 17:15:54 +0000 2019,darkside,2182574300,0,0
1184126008947019782,Quand la réalité dépasse @le_gorafi [LIEN],Tue Oct 15 15:16:55 +0000 2019,Sébastien Guyon,353098810,0,0
1184094877128232965,"Ces articles du @le_gorafi qui collent de plus en plus avec la triste réalité ?
[LIEN]",Tue Oct 15 13:13:12 +0000 2019,RamosTeam1,1415169361,0,0
1184093748927647744,Rassurez-moi c'est un tweet en hommage au @le_gorafi !? [LIEN],Tue Oct 15 13:08:43 +0000 2019,Aurélien Alfaré,4077185247,3,0
1184085183772930048,Les seules infos que je vais regarder dorénavant !!! Ils me font tellement du bien ♥️♥️♥️ @le_gorafi [LIEN],Tue Oct 15 12:34:41 +0000 2019,SophiaModa,224009143,6,1
1184056729811726337,Séquence mythique. @BFMTV n’a jamais autant ressemblé à @Groland 🤦🏻‍♂️ #BFMTV @le_gorafi #Groland [LIEN],Tue Oct 15 10:41:37 +0000 2019,Xavier Brochart,24175202,2,0
1184019965592121344,"Retweet si tu penses que @fabricearfi a un lien de parenté avec @le_gorafi 
Fav si usurpation d'identité.",Tue Oct 15 08:15:32 +0000 2019,Frère Pès,1181595684425867266,1,0
1184014821852774401,"#Syrie : Donald Trump et la france  annoncent des sanctions contre la #Turquie
Dorénavant l'hymne nationale turc sera joué uniquement avec des flutes à bec par des enfants de CM2

#DonaldTrump #Kurdes
@le_gorafi
#InventeTaFakeNews [LIEN]",Tue Oct 15 07:55:06 +0000 2019,Ohone,1182318774013218816,0,0
1183863439611047938,Jour 45 : la taupe de @le_gorafi est toujours en poste... [LIEN],Mon Oct 14 21:53:33 +0000 2019,Tristan Lassour,2934174467,0,0
1183822958923603970,En pleine forme @le_gorafi [LIEN],Mon Oct 14 19:12:42 +0000 2019,Kamel DJEBROUNI,62482996,0,0
1183822716165603344,"Horoscope du jour, by @le_gorafi 
Poissons : Votre rival au bureau obtiendra une promotion car il est venu avec des baskets qui font de la lumière quand il marche.",Mon Oct 14 19:11:44 +0000 2019,FinTcH,1150732009154777088,1,0
1183816240206352392,#InventeTaFakeNews @le_gorafi serait en fait de vrais articles,Mon Oct 14 18:46:00 +0000 2019,Freezon14,1189842384,1,0
1183809547460399106,Dans 2 jours on apprend que le sponsor officiel de l’OL c’est @le_gorafi,Mon Oct 14 18:19:24 +0000 2019,Vaido,872609896356868098,1,1
1183799478693838849,Digne du @le_gorafi [LIEN],Mon Oct 14 17:39:24 +0000 2019,Resistance75,168521753,0,0
1183795309215916032,"Apres avoir pillé les idées de la droite et de l'extrême droite, #LREM décide d'entrer sur le marché de l'humour en pillant les citations débiles du @le_gorafi [LIEN]",Mon Oct 14 17:22:50 +0000 2019,Kate Brush,2257849378,0,0
1183794219036618753,J'ai d'abord cru que c'était @le_gorafi qui annonçait la construction de nouveaux #EPR mais non... 😯 [LIEN],Mon Oct 14 17:18:30 +0000 2019,JFS,1043595539647012864,0,0
1183786477966299138,Serait-elle une accompagnante d'élèves en situation de handicap ? @le_gorafi ??? [LIEN],Mon Oct 14 16:47:44 +0000 2019,le Collectif AESH 59-62,941256933746585600,2,0
1183769093146632193,"Vous vous rendez compte qu'il n'y a pas si longtemps, ce genre d'article n'aurait pu paraître que sur @le_gorafi ou @Nordpresse ?

Il faut reconnaître que leur stratégie d'outrance continue pour habituer la société à leurs délires fonctionne. Ils sont en roue libre.
#Cendrillon [LIEN]",Mon Oct 14 15:38:39 +0000 2019,Lys Aяdent ن,204744472,9,1
1183753927046635520,Le prix Albert Londres est attribué à l’ensemble des rédactions de @le_gorafi  et @BFMTV pour le sérieux de leurs reportages et investigations #InventeTaFakeNews [LIEN],Mon Oct 14 14:38:23 +0000 2019,cécile,609430886,2,0
1183731551525330947,Ah mais putain j’étais sur que c’était @le_gorafi ! [LIEN],Mon Oct 14 13:09:29 +0000 2019,Gaston KiloWhat!?,17367791,10,0
1183729503119532043,"Dites donc @le_gorafi il faut lui rendre les accès de son compte maintenant, ça commence à bien faire! [LIEN]",Mon Oct 14 13:01:20 +0000 2019,Anh Ħuy,133348362,1,0
1183724413167910913,"Alerte info !!
Mais attention, avec @le_Parisien il faut faire gaffe sur les scoops, on n'a pas encore oublié le coup #DupondDeLigonnes...pire que @le_gorafi 😂 [LIEN]",Mon Oct 14 12:41:07 +0000 2019,Verlaine,494593786,14,4
1183712258402201601,Quand @BrunoLeMaire présente sa candidature pour intégrer la rédaction de @le_gorafi ! Il faut reconnaître qu’il a le niveau 👏👍 [LIEN],Mon Oct 14 11:52:49 +0000 2019,Alain Petiot,2201567324,0,0
1183705885966786562,Ok donc ça c’est pas @le_gorafi ?!? [LIEN],Mon Oct 14 11:27:30 +0000 2019,🎼Ryl🎵,1971264584,0,0
1183693247077634048,"En France, il n'y a que @le_gorafi qui pourrait publier un article pareil... [LIEN]",Mon Oct 14 10:37:16 +0000 2019,mistercreek,17395564,2,0
1183680048563474432,Bientôt il leur reprochera également de ne pas lui avoir prêté main forte lors de son dernier déménagement (Cf. @le_gorafi) [LIEN],Mon Oct 14 09:44:49 +0000 2019,Déniz BOZKURT,741701042,2,1
1183676940533809152,". @Forbes fait du @le_gorafi maintenant ! : ""Pourquoi le Pakistan devrait être sur la liste de chaque femme qui voyage seule"" 😂c'est à en perdre la tête 😱 [LIEN]",Mon Oct 14 09:32:28 +0000 2019,CélineP.,198917714,0,0
1183593464556085249,Quand la réalité dépasse la fiction. Vous commencez à vous faire dépasser @le_gorafi @Nordpresse  :'( [LIEN],Mon Oct 14 04:00:46 +0000 2019,Tamos,58858869,0,0
1183502783804248064,"#DupondDeLigonnes
Ou quand les #medias se prennent tous pour @le_gorafi sans une once de honte. [LIEN]",Sun Oct 13 22:00:26 +0000 2019,Le curieux ⁉,15143184,1,1
1183489981047824386,"Bien ouej @le_gorafi l'idée de créer un compte Twitter qui s'appelle BFMTV, vous faites fort ! [LIEN]",Sun Oct 13 21:09:34 +0000 2019,Rimsou,501132370,2,1
