id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183037206853816321,« N'abandonnons pas les #Kurdes et les populations de #Syrie ». La tribune dont je suis cosignataire parue ce jour dans @Libe ⤵️ [LIEN] via @libe,Sat Oct 12 15:10:24 +0000 2019,Esther Benbassa 🌻,414024815,3,3
1183036968122363905,Des combattantes et combattants du Kurdistan syrien fustigent le film «Sœurs d'armes» de Caroline Fourest [LIEN] via @libe,Sat Oct 12 15:09:27 +0000 2019,Nico Hongrois Matricule 312,767740276857245700,0,0
1183036831807496193,Des combattantes et combattants du Kurdistan syrien fustigent le film «Sœurs d'armes» de Caroline Fourest [LIEN] via @libe,Sat Oct 12 15:08:55 +0000 2019,antiraciste,611124328,0,0
1183036581315334144,Des combattantes et combattants du Kurdistan syrien fustigent le film «Sœurs d'armes» de Caroline Fourest [LIEN] via @libe,Sat Oct 12 15:07:55 +0000 2019,Yvan Najiels,374725184,1,0
1183035394058797056,"Je ne connaissais pas « Caroline fait du cinéma ». Pas le meilleur album de la série, on dirait…
Des combattantes et combattants du Kurdistan syrien fustigent le film «Sœurs d'armes» de Caroline Fourest [LIEN] via @libe",Sat Oct 12 15:03:12 +0000 2019,Eric Naulleau,700737161708986369,7,5
1183035377243828230,Des combattantes et combattants du Kurdistan syrien fustigent le film «Sœurs d'armes» de Caroline Fourest [LIEN] via @libe,Sat Oct 12 15:03:08 +0000 2019,beausejour1953,1168468856471465984,0,0
1183034472624742412,"Un sondage affirme-t-il que 50% des musulmans placent la Charia au-dessus des lois, comme le dit Valérie Boyer ? [LIEN] via @libe",Sat Oct 12 14:59:32 +0000 2019,MamieChoupette,929660290047897601,2,2
1183033834465570817,N'abandonnons pas les Kurdes et les populations de Syrie  [LIEN] via @libe,Sat Oct 12 14:57:00 +0000 2019,L. Pouvreau,1279996764,0,0
1183033791020965888,Une de @libe sur le vélo avec 6p à l’intérieur ! Le 🚲 est un mode de transport sérieux. [LIEN],Sat Oct 12 14:56:50 +0000 2019,petitvélo_orange 👩‍🎤,1063841239970263041,1,0
1183033532630913025,"🗞 Je connais ⁦@EmmanuelLauren2⁩ depuis plus de 20 ans  😜 Toujours le même enthousiasme, l’envie de transmettre et surtout notre Emmanuel international n’oublie jamais d’être drôle 😅 cc ⁦@libe⁩  [LIEN]",Sat Oct 12 14:55:48 +0000 2019,Gaël Hamayon,62900248,5,0
1183029606045114368,"On notera que aucun journal d'ampleur médiatique n'a mis cet évènement en une de sa page web. Ni @libe ni @lemondefr ni @Le_Figaro.

Vous trouvez pas que c'est quand même étrange, comme choix éditorial ? [LIEN]",Sat Oct 12 14:40:12 +0000 2019,Emmanuel - Kierra,1062947008581984256,1,0
1183025753908305921,"BD  Russie,  l’échappée bulle [LIEN] via @libe",Sat Oct 12 14:24:53 +0000 2019,Arnaud Dubien,2883832240,1,1
1183024552152043520,"today in Barcelona @nytimeses @guardian @DailyMirror #stopfascism 
aujourd'hui à Barcelone
@lemondefr @libe #stopfascisme [LIEN]",Sat Oct 12 14:20:07 +0000 2019,jacop ruano 🎗🎗🎗,702998792,0,0
1183023561746853889,Bourgogne-Franche-Comté : un élu RN s'en prend à une femme voilée [LIEN] via @libe,Sat Oct 12 14:16:11 +0000 2019,PAGNIER Mickael,1324542115,0,0
1183019711119974400,"Pour une fois, @libe publie un bon papier: une tribune en soutien au philosophe Pena-Ruiz, dénonçant l'assimilation de l'islamophobie à un racisme
[LIEN]",Sat Oct 12 14:00:53 +0000 2019,Jacques Sapir,927290354,10,4
1183018124792213505,"A Rouen, la préfecture freine la prise en charge des victimes de l'incendie [LIEN] via @libe",Sat Oct 12 13:54:35 +0000 2019,Anne,362035191,1,0
1183017785854705664,Je ne suis pas d'accord. La France n'a pas vocation à financer des études supérieures gratuites pour des ressortissants non communautaires ! Le CC devrait faire cette distinction. [LIEN] via @libe,Sat Oct 12 13:53:14 +0000 2019,Liberté,4523367136,0,0
1183017359411466240,"Procès : «Dans la pénombre, je vois qu’il y a quelqu’un dans le lit…» [LIEN] via @libe",Sat Oct 12 13:51:32 +0000 2019,Intime Conviction,29415224,0,0
