id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183847583875289091,"Bonjour @LibreOfficeFR, mon papa qui n'utilise que #LibreOffice a 💩 avec un #Impress : il l'a converti en pdf, mais a perdu l'original 😱
Pour le dépatouiller, j'ai ouvert le pdf dans #Draw, puis 💾 en .odg, pour l'insérer comme OLE dans Impress. Y'avait mieux à faire ?",Mon Oct 14 20:50:33 +0000 2019,Vi[N]cent Chosson,67842168,5,0
1183740968073383936,Bonjour @LibreOfficeFR ! Dans la nouvelle interface de barre avec onglet. Est qu'il est possible de configurer celle-ci pour que les informations prennent toute la barre ? [LIEN],Mon Oct 14 13:46:54 +0000 2019,Ze Red Flow ☭ 🔻,1397625709,2,0
1183704560482828295,"Bonjour @LibreOfficeFR : je n'ai jamais utilisé Libreoffice et je l'ai téléchargé via [LIEN]. Quand j'ouvre un texte Word à partir de Libreoffice, l'interface est en anglais. Dans les préférences je ne peux mettre en français. Est-ce normal ? Un grand merci ! [LIEN]",Mon Oct 14 11:22:14 +0000 2019,Hello,4724519656,1,0
1183319780520058880,"Hello, justement j'essaie cette possibilité. Existe-t-il un mode d'emploi ou un wiki car impossible de modifier plusieurs PDF. Merci ;-) @LibreOfficeFR [LIEN]",Sun Oct 13 09:53:15 +0000 2019,Claude BUENO,84316246,3,0
1183020918559379462,"Dis @LibreOfficeFR, j'ai installé LO sur ma manjaro toute fraîche et dans les dépôts, c'est english interface only. Je fais comment pour avoir le pack français seul ?",Sat Oct 12 14:05:41 +0000 2019,Diego,6466012,2,0
1182201947169918976,"Bravo @Microsoft
❌ Exécution de code à distance
❌ Usurpation d'identité
❌ Élévation de privilèges
Sur Microsoft Office.
Ou alors vous pouvez utiliser @libreoffice, une solution plus sécurisée et libre.
@La_Mouette__ @plossra
[LIEN]",Thu Oct 10 07:51:23 +0000 2019,Samir Kherraz,736492032,27,18
1182009594249449477,Trucs et astuces sur @LibreOfficeFR Calc épisode 2 [LIEN]  le #style,Wed Oct 09 19:07:02 +0000 2019,francois dambrine,404221893,3,5
1181940038445215744,"La BU de l’université de @UParisNanterre propose des #formations @zotero @tropy, @LibreOfficeFR, Word et…  @isidore___ #esr #shs [LIEN]",Wed Oct 09 14:30:39 +0000 2019,Stéphane Pouyllau,22467215,11,2
1181895597328084992,"Les #formations reprennent à la BU ! @Zotero, @Tropy, Word, @libreoffice Writer, @isidore___ 
↗️ Plus d'infos sur [LIEN] &gt; Se former ✍️ L'inscription se fait via le formulaire en ligne [LIEN] [LIEN]",Wed Oct 09 11:34:03 +0000 2019,BU Paris Nanterre,742336022038630400,8,6
1181880844773920768,"Bonjour @LibreOfficeFR Je recherche sans succès de la doc pour utiliser JS pour coder mes macros... Un lien, un indice, en  français ou en anglais ?",Wed Oct 09 10:35:26 +0000 2019,Marc Quentel,2832270139,1,1
1181668438550437890,"bonjour @LibreOfficeFR,j'ai une question un peu ardue : j'ai un sommaire des annexe (extrait ci dessous) et je voudrait afficher les num de page correspondant aux annexes , en dehors de les mettre en dur. y a t'il possibilité ? merci  d'avance ( ubuntu18 , ppa:Version: 6.3.1.2) [LIEN]",Tue Oct 08 20:31:24 +0000 2019,z6po1824n,608996084,1,0
1181279191611785216,"bonsoir @LibreOfficeFR , avant ma transition sur LO, comment activer le menu ruban ? [LIEN]",Mon Oct 07 18:44:41 +0000 2019,Vallex,1179249920890609664,2,0
1181272740067721216,"Euh, si vous êtes pas content⋅e⋅s, la prochaine fois, vous installerez @LibreOfficeFR. Non mais… [LIEN]",Mon Oct 07 18:19:02 +0000 2019,L'ourson 🏳️‍🌈🇵🇹🇨🇵🇩🇿,93690629,2,0
1181133671576813569,z'en dises quoi @ThunderbirdFr et @LibreOfficeFR  ? [LIEN],Mon Oct 07 09:06:26 +0000 2019,LordPhoenix,38894900,1,0
