id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183798900077092866,"""Dès que j’ai vu le tirage au sort de la phase de poules, j’ai voulu acheter mes tickets pour ce match. Mais je ne peux pas y aller, on a entraînement mardi matin… ""
France-Turquie ce soir, un dilemme pour le n°9 du @FCLorient Umut Bozok
par @ArnaudHuchet
[LIEN]",Mon Oct 14 17:37:06 +0000 2019,Chloé Lebouchard,3757767203,1,1
1183788561113473024,Le nouvel emploi fictif du @RCLens [LIEN],Mon Oct 14 16:56:01 +0000 2019,Dule,586788441,0,0
1183776661441011712,"Aujourd'hui on vous présente @centonze_fabien latéral droit, arrivé du @RCLens . Il a pour l'instant été titularisé à tous les matchs. Avec un niveau mitigé comme celui de son équipe... En espérant qu'il puisse apporter plus pour le reste de la saison ! 
Aller Metz💪🇱🇻 [LIEN]",Mon Oct 14 16:08:44 +0000 2019,100%Grenat☨,893758222217224192,0,0
1183764618168156161,"Le jeune latéral droit Brayann Pereira a signé aujourd’hui son premier contrat professionnel.

(📸 : @RCLens) [LIEN]",Mon Oct 14 15:20:52 +0000 2019,Le public lensois,2680058551,44,4
1183758786953187334,Go Lyon direction @DominosLigue2 [LIEN],Mon Oct 14 14:57:42 +0000 2019,Allan 🇨🇵🔥⚽,1177576337495810048,1,0
1183751273746780160,Salut la #TEAMFCSM ! Je vous annonce l'arrivée d'un nouveau supporter après qu'Aulas est nommé Garcia comme entraineur. @gondryfred quitte le navire des supporters Lyonnais ! JE REPETE : IL QUITTE LE NAVIRE ! 🤣😂 #Garcia @FCSM_officiel 💛💙 #OlympiqueLyonnais,Mon Oct 14 14:27:51 +0000 2019,Marion ✨🌸,309062141,0,0
1183748872990011392,"Au moins on gagneras bien un titre dans les 2ans, bonjour @DominosLigue2 !! #TeamOL @OL",Mon Oct 14 14:18:18 +0000 2019,KD,2276203435,0,0
1183746429841477636,"⚽️ #DicteeELA à l’école élémentaire Oscar Cléret par Philippe Montanier, coach du @RCLens, et 2 joueuses du @ArrasFcf : Pauline Cousin et Marion Mancion.  
#Arras #RCLens ❤️💛 [LIEN]",Mon Oct 14 14:08:36 +0000 2019,Ville d'Arras,1277495180,15,9
1183743261019693056,😭😭😭😭 Anh les batard j'ai entendu Lyon en @DominosLigue2 l'année prochaine 😭😭 [LIEN],Mon Oct 14 13:56:00 +0000 2019,BENJ,858648619,1,0
1183740632503898112,"🗓 La @DominosLigue2 reprend ses droits cette semaine ! Après sa 1ère victoire en championnat, le Paris FC se déplace sur le terrain de @LaBerrichonne vendredi 🔵💪 #TeamPFC #LBCPFC [LIEN]",Mon Oct 14 13:45:34 +0000 2019,Paris FC,189184762,8,1
1183729522090414086,"#Mercato Johann Obiang ex- @LaBerrichonne et @estac_officiel @DominosLigue2 @Ligue1Conforama est arrivé au Puy Foot ! L'international gabonais a pris possession de son nouveau vestiaire et fait connaissance avec ses nouveaux coéquipiers à Massot !
#GoPonots #LPF43 #NationalFFF [LIEN]",Mon Oct 14 13:01:25 +0000 2019,Le Puy Foot 43,799526965808164864,10,0
1183723941074014214,Toujours compliqué de redémarrer une semaine de boulot.. mais on reste motivés car dans 5 jours c’est @FCCOISE vs @FCSM_officiel ! Et on sera présents ! 💪,Mon Oct 14 12:39:14 +0000 2019,Parigots de Sochaux,1907265056,16,2
