id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184512244077477888,"Hello @applydia, tu trouves normal de faire payer 1€ pour ajouter une carte bleue sur le compte de l’utilisateur ? Et en plus en double quand votre module de paiement ne fonctionne pas ?! [LIEN]",Wed Oct 16 16:51:40 +0000 2019,🖍 Stéphanie Bédora,1374545612,0,0
1184121013354844171,"J-2 avant la #BankinCup ! 🏆 Voici les poules 🐓 @applydia @fr_moment @shine_tools @CityscootParis @_medGo_ @ShopmiumFR @ornikar @BlaBlaCar @staffmeapp @bluecoders @UbbleA @PitchyProd @zenlyapp @LyfPay @InnoThiga. Alors prêts ? 🙌
PS : chère poule A, on est chauds bouillants 🔥 [LIEN]",Tue Oct 15 14:57:04 +0000 2019,Bankin',219284294,12,5
1183993593192681472,"après avoir marqué un grand coup en mobilisant de 7 millions $ de fonds auprès de divers capitaux-risqueurs, la #fintech nigériane @applydia , qui s'est spécialisée dans l'octroi de micro-crédits, vise désormais le marché est-européen, avec un objectif de prêts de 1 milliard € [LIEN]",Tue Oct 15 06:30:44 +0000 2019,Narcisse Tankam 🌐,1510320228,5,0
1182912561580257280,"Elles nous font tourner la tête, voici la liste des #néobanques disponibles en France. Analyse de leur offre et avis sur ces #startup de la #Fintech. [LIEN] #Max #revolut #N26 @getqonto #Monese #EkobyCA #Ferratum #Monzo #Wirex @applydia [LIEN]",Sat Oct 12 06:55:06 +0000 2019,Stef Compare,849558297543925760,8,2
1182597275392061441,"Bonjour @applydia, compte bloqué et je ne sais pas pourquoi. Impossible de récupérer de l’argent. Que faire ? Merci !",Fri Oct 11 10:02:16 +0000 2019,Eponine Bégéja,1068862450290827265,1,0
1181964116036128773,.@applydia pk suis je obligé de payer pour récupérer mon argent sachant que je n’ai fais que deux virements ce mois-ci ? #Lydia [LIEN],Wed Oct 09 16:06:19 +0000 2019,Bat's Be ن,2386487816,0,0
1181941679756103680,"Bonjour @applydia, dès que je fais la moindre tentative de manip sur l’app j’ai un message d’erreur « il y a un problème veuillez réessayer ultérieurement » ça devient vraiment agaçant ça fait des semaines que ça dure et maintenant je ne peux plus me connecter QUE FAIRE ?!! Merci",Wed Oct 09 14:37:10 +0000 2019,Léa Bodin,845972118,0,0
1181869437546303488,Bon @applydia ça fait deux fois que je dois prendre ma tronche en photo et ma carte d'identité parce je n'arrive pas à me connecter à l'app. @pumpkin_app j'arrive.,Wed Oct 09 09:50:06 +0000 2019,Delphin Druelle,59142336,0,0
1181502035847532544,"Notre #podcast du moment 🎙

C'est au micro de @Mattintouch que @ChicheCyril, le co-fondateur de @applydia, se livre et nous raconte avec passion son histoire et son parcours entrepreneurial. Inspirant 💫

À écouter ici sans modération : [LIEN] 🎧",Tue Oct 08 09:30:11 +0000 2019,Dowi,1122787415029100544,2,0
1181495621833900032,"Cadeau pour l'équipe qui arrive à nous battre pendant la Bankin' Cup 😌

@CityscootParis @_medGo_ @shine_tools @bluecoders @ShopmiumFR @applydia @InnoThiga @ornikar @BlaBlaCar @staffmeapp @zenlyapp @PitchyProd
Sans oublier les surentraînés du stage Jean-Michel Larqué @bankin ! [LIEN]",Tue Oct 08 09:04:42 +0000 2019,Lyf Pay,3081164409,4,2
