id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183760304020307968,"Un p'tit tweet de la part de @AMD_France sur mon test de la @msifrance  RX 5700 XT Gaming Xchez @Vonguruweb , çà fait toujours très plaisir ! 💪😍 [LIEN]",Mon Oct 14 15:03:44 +0000 2019,OverCleX (CornerJack),22493688,4,0
1183735876549001218,Merci a @msifrance pour les 300fps [LIEN],Mon Oct 14 13:26:40 +0000 2019,DeathPoney,1063353611034533888,0,0
1183699408539418624,"It's over 5000MHz !!! ⚠

Notre VENGEANCE LPX DDR4 est la première DRAM haute-fréquence à dépasser la barre des 5000MHz, avec l'aide de @MSIFrance et @AMD_France 💪🎉

Plus d'infos (en anglais) 👉 [LIEN] [LIEN]",Mon Oct 14 11:01:45 +0000 2019,CORSAIR France,892770205839089665,81,13
1183683718411620353,"Hey c'est mon anniversaire aujourd'hui.
@msifrance t'as pas un Lucky en peluche pour moi ?",Mon Oct 14 09:59:24 +0000 2019,SuperSirc ⚡ 🌐,27430490,7,0
1183646722154749958,Réparation de mon ordinateur ultra rapide et efficace. Merci @msifrance !,Mon Oct 14 07:32:24 +0000 2019,PENAS Marie,777119616627769344,0,0
1183376839600934912,"Hey, qui pour un #Concours ?

Tentez de gagner un tapis de souris @msifrance x @WorldWarZ_fr x @AMD_France d'une valeur inestimable ! (pour ceux qui savent pas ça veut dire que ça a pas de prix)

Il vous suffit :
-Retweeter
-Liker
-Me suivre sur Twitch (AogiriTTV)

Bonne chance ! [LIEN]",Sun Oct 13 13:39:59 +0000 2019,AogiriTTV,1103702852759965706,3,4
1183115513981030401,"Demain à 9h débute le montage de mon nouveau joujou ! Je suis comme un enfant la veille de Noël et je suis comblé, je vais pouvoir travailler convenablement ! Merci beaucoup @TopAchat pour les conseils et la patience ! @CORSAIRFRA @NZXTFrance @msifrance @AMD_France @AORUS_France [LIEN]",Sat Oct 12 20:21:34 +0000 2019,ANTOINE L.,726855791332974592,0,0
1183085608652230656,"Hello @msifrance  @TopAchat 
En voulant fixer mon second NVME sur ma z390 GP  je n'ai pas la petite vis sur le support ! :'(
Une solution ? Merci.",Sat Oct 12 18:22:44 +0000 2019,Max Dmt ✌,1267261400,0,0
1183000172772691968,"Watercooling sur mesure avec @BitspowerHQ  ! 🤩 Venez tester cette beauté !

Boîtier @CORSAIRFRA Crystal 570X mirror RGB ATX, @IntelFrance Core i7 9700KF, @msifrance RTX 2080, MSI Z390 gaming edge AC, Watercooling custom Bitspower - Bitspower touchaqua 570X-R sur mesure [LIEN]",Sat Oct 12 12:43:14 +0000 2019,PowerLab,1179791651960696839,0,0
1182957460027531264,Bonjour @msifrance J'ai Lu un article récemment que tous les produits de chez vous sous W7 devaient passer sous W10. Or mon PC n'est pas compatible. Possible de faire quelque chose ?,Sat Oct 12 09:53:31 +0000 2019,[🎮] Mido 🍁🍂 #PGW2019,342950430,0,0
