id,text,date,user,user_id,favorite_cnt,retweet_cnt
1182366857392807936,Hey @MarvelFR une chance de voir Squirrel Girl aux côtés de ce magnifique spécimen ? Cap ou pas Cap? 😆 [LIEN],Thu Oct 10 18:46:40 +0000 2019,⭐ 𝕿𝖍𝖊 𝕾𝖍𝖆𝖉𝖔𝖜 49 ⭐,1002820987,2,1
1182028870259806208,"Re-découvrez Spider-Man  Far From Home en achat digitale le 6 Novembre.
En 4K UHD , Blu-Ray , Blu-Ray 3D , DVD et VOD le 13 novembre. 

#SpiderManFarFromHome #DVD #BluRay #VOD @MarvelFR [LIEN]",Wed Oct 09 20:23:38 +0000 2019,paris by mitra,2692733683,2,1
1181331650522824704,MS. Marvel fera acte de présence dans Marvel's Avengers #MarvelsAvengers #SquareEnix #CrystalDynamics #MarvelGames @PlayAvengers @SquareEnixFR @CrystalDynamics @MarvelFR @MarvelGames [LIEN] [LIEN],Mon Oct 07 22:13:08 +0000 2019,GamersNine Jeux Vidéo,1623501469,2,2
1181216692409704453,"Salut moi c’est Norilfa et je suis un mec qui essaye de devenir YouTuber. J’ai sortit une vidéo vous pouvez toujours allez visionner, liké et partager bien sûr. @xSqueeZie  @NormanDesVideos @_Amixem @BatFlunchYt @Neoxi_ @mastuu_ @MarvelFR @DisneyStudios [LIEN] [LIEN]",Mon Oct 07 14:36:20 +0000 2019,Norilfa,1181214643341148160,0,0
1181199974199103488,"L'avis radical d'un expert... Le débat est ouvert ! [LIEN]
#MartinScorsese #Marvel @Marvel @MarvelFR",Mon Oct 07 13:29:54 +0000 2019,Bristol_TV,4872281224,0,0
1180498221384249344,Square Enix et Crystal Dynamics ont profité du New York Comic Con 2019 pour annoncer l'arrivée de Kamala Khan AKA Ms. Marvel dans Marvel's Avengers. [LIEN] #Avengers @SquareEnixFR @MarvelFR @PlayAvengers @MarvelGames @CrystalDynamics #NYCC,Sat Oct 05 15:01:23 +0000 2019,Geek Generation,2892321597,1,0
1183702904223535107,"Test #makeup abdos #Loki pour @ComicCon_Paris
#marvel #lokicosplay #TomHiddleston 
@CosSLAYcosplay @Cosplay4A @TITANSofCOSPLAY @Marvel #comicconparis [LIEN]",Mon Oct 14 11:15:39 +0000 2019,Pixelise Cosplay,2850323133,4,0
1183508034871578625,Imagine de power 😍 #aforce #scarletwitch #CaptainMarvel @marvel [LIEN] [LIEN],Sun Oct 13 22:21:18 +0000 2019,A FORCE/CAP MARVEL/BRIEBOT/VALCAROL,2411953669,3,0
1183469985789890561,"Prenez @twhiddleston, @brielarson, @SamuelLJackson et obtenez #kongskullisland ! Quoi ? Vous pensiez à @MarvelFR ? Bon on avoue, nous aussi on y pensait. 🤣 [LIEN]",Sun Oct 13 19:50:07 +0000 2019,La Photo'Ciné 🍿,2882980067,1,1
1183209600461373441,Avengers :. Damage Control @MarvelStudios [LIEN],Sun Oct 13 02:35:26 +0000 2019,Justine Raja,913264263803764736,0,0
1182998506824458242,"JSUIS LA PETITE FILLE LA PLUS HEUREUSE DU MONDE
@Iron_Man @RobertDowneyJr @Marvel [LIEN]",Sat Oct 12 12:36:37 +0000 2019,🥑 ➰,1162082966723551232,0,0
1182728111395348482,Repas au resto à débattre @Marvel contre @DCComics . Cause de rupture ? 🤣,Fri Oct 11 18:42:10 +0000 2019,Zouly Zoo.,928987823000248320,9,1
1182728047528726528,"Question: @Marvel va t-il enfin approfondir ses personnages, et les rendre du coup... plus réalistes ? [LIEN]",Fri Oct 11 18:41:55 +0000 2019,laurent dupin☢️,25659085,0,0
1182656989710737409,"j'avais pris les direteurs de @marvel pour des putain de racistes mais bon ils nous ont donne black panther  , de Wakanda , alors je laisse les chinois se plaindrent 😂😂😂😂d'ailleurs les 3/4 des tecniciens sont des chinois ,  est ce que cela me regarde 😂😂😂 ???",Fri Oct 11 13:59:33 +0000 2019,Andersen Amazan,1167662931439443969,0,0
1182625354382544897,les mutant sont parmis nous @MarvelFR @Marvel [LIEN],Fri Oct 11 11:53:51 +0000 2019,𝕬𝖋𝖗𝖎𝖈𝖆𝖆𝖓𝖂𝖍𝖎𝖙𝖊,3290214639,1,1
1182550892417032192,"Bordel arrête vos délire de vouloir changer les héros @marvel, @DCComics. Stop la bêtise humaine! Captain marvel est blanche et c est comme ça qu'elle a était inventé ! Black panther est noir, c est comme cela qu il a était inventé. Respecter les œuvres ! [LIEN]",Fri Oct 11 06:57:58 +0000 2019,⭐🌟 Redkik 🇫🇷🏆,968933743560929280,1,0
1182339977692291074,28 films spiderman et 80 avengers n’y changeront rien @Marvel,Thu Oct 10 16:59:52 +0000 2019,Harris,1057326937952210945,6,1
1182338688098934785,"#AvengersDamageControl, le jeu en VR de @MarvelStudios, se dévoile dans un nouveau trailer | [LIEN] [LIEN] [LIEN]",Thu Oct 10 16:54:44 +0000 2019,COMICSBLOG.fr,196290523,7,4
1182244992640864256,"Le lien entre les séries @MarvelStudios et les films ? C'est ici ! 
#Marvel #MCU #Cinema #Série

[LIEN]",Thu Oct 10 10:42:25 +0000 2019,La Chronique Express,1166389968035549185,1,1
1182000813402710016,La plus puissante super Héroïne @MarvelStudios fait la une de @Variety @brielarson ( c'est génial @Twitter et @instagram 😀) [LIEN],Wed Oct 09 18:32:09 +0000 2019,Fatoch #E3CaroJu 😃🍈🍉🌻,2280470815,0,0
1181966299322372097,"🎬La série Helstrom, d'après un personnage Marvel, révèle son casting [LIEN]
@Marvel @MarvelStudios @helstrom 
@hulu @tomoausten
#Cinema #BD #adaptation #comics #series #Helstromserie #Marvel #DaimonHellstrom #RoyThomas #marvelcomics #GhostRider [LIEN]",Wed Oct 09 16:15:00 +0000 2019,ActuaLitté,91541961,0,0
1181908153874747392,"Je ne suis pas pâtissier, je préfère la cuisine au barbecue mais chaque année pour l’anniversaire de mon fils je relève le défi, 31 petits camarades de classe à régaler @LCDJf3 @cyril_lignac @LMP_M6 @mercotte @Marvel @SpiderMan @SPHEFR @DisneylandParis @SonyPicturesFr [LIEN]",Wed Oct 09 12:23:57 +0000 2019,B07 Mickael,501569570,1,0
1181848671526281216,"Pourquoi je préférerais tjs @DCComics à @Marvel : Moins ironique, plus solennel... Bref, le sens du tragique dans la figure contrariée du génie nihiliste. #JokerLeFilm

«Joker», very mad trip via @Libé [LIEN]",Wed Oct 09 08:27:35 +0000 2019,klewk,183989415,0,0
1181624238849056774,J’suis chaud pour joué nova @MarvelStudios :) [LIEN],Tue Oct 08 17:35:46 +0000 2019,The Life Of Pablo,4786810001,0,1
1181593885929328640,"« Je ne les regarde pas. J'ai essayé, vous savez. Mais ce n'est pas du cinéma. Il ne s'agit pas de cinéma fait par des humains qui essayent de communiquer des émotions et des sentiments, une expérience psychologique à un autre être humain. » à propos des @Marvel #martinscorsese",Tue Oct 08 15:35:10 +0000 2019,La Séance du 7e Art,605392376,0,0
1181508563715289088,AVENGERSSSSSS ASSEMBLE 😎😎😎@IAF_MCC @Marvel [LIEN],Tue Oct 08 09:56:07 +0000 2019,arunim sinha,1626070826,1,1
1181440801135562753,#MartinScorsese a dit que les films @MarvelStudios n'étaient pas du cinéma...Alors qu'il a réalisé un film qui ne sortira pas au cinéma mais sur @NetflixFR ...C'est ironique non ? J'aime Scorsese. Son cinéma est unique. Mais...Il n'est qu'un artisan dans un univers multiple. [LIEN],Tue Oct 08 05:26:51 +0000 2019,Lypho,1166948101623549960,0,0
