date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Thu Sep 26 14:32:20 +0000 2019,,1177229422040145921,1.1772278959049032e+18,,"@consollection Étrange, je vous conseille d'annuler. Si cela se reproduit, il faut questionner le magasin !",Micromania-Zing,80595852
Thu Sep 26 14:10:09 +0000 2019,,1177223838419079168,1.17722135588599e+18,,"@Just_Koro Bonjour, il est encore trop tôt pour le dire !",Micromania-Zing,80595852
Thu Sep 26 09:28:02 +0000 2019,,1177152841884078080,1.1771519894630277e+18,,"@MarinaH_Styles Bonjour, parfois les colis sont malmenné lors du transport. Pouvez-vous nous envoyer un message ici : [LIEN] ?",Micromania-Zing,80595852
Thu Sep 26 08:32:56 +0000 2019,,1177138974164434945,1.177138035844141e+18,,"@Keyang888 Bonjour, je peux vous aider peut-être ? :-)",Micromania-Zing,80595852
Thu Sep 26 07:55:03 +0000 2019,,1177129441572659201,1.1768783463382303e+18,,"@ElevennBtw Bonjour, il me semble que ce collector a été annoncé comme exclu US ...",Micromania-Zing,80595852
Thu Sep 26 07:52:26 +0000 2019,,1177128781141729283,1.176886285006512e+18,,"@FieruMunegascu Bonjour, sortie vendredi ;-)",Micromania-Zing,80595852
Wed Sep 25 13:21:10 +0000 2019,,1176849122994921472,1.1768433997706404e+18,,@Sokhar29 Ça ne devrait pas tarder !,Micromania-Zing,80595852
Wed Sep 25 11:39:02 +0000 2019,,1176823420962660352,1.1768042519364444e+18,,"@OtakuNono Bonjour, je suis sincèrement désolé, je vous invite à nous envoyer un message ici : [LIEN]",Micromania-Zing,80595852
Wed Sep 25 09:35:57 +0000 2019,,1176792445947961345,1.1767905885172326e+18,,"@jesuisNicoo Bonjour, des PLV ont pourtant été envoyées en magasin. Pouvez-vous m'indiquer de quel magasin il s'agit ?",Micromania-Zing,80595852
Wed Sep 25 08:39:42 +0000 2019,,1176778289584717824,1.1767758947168625e+18,,"@Razgriz_33 Bonjour, pas d'info pour le moment, on communiquera lorsque ce sera lancé !",Micromania-Zing,80595852
Wed Sep 25 08:08:09 +0000 2019,,1176770349574295552,1.1765399454245765e+18,,"@poumpoumpadou Bonjour, s'il y a du stock, oui ! C'est indiqué dans les mentions légales du mail :-)",Micromania-Zing,80595852
Wed Sep 25 08:02:31 +0000 2019,,1176768932331610112,1.1765936980265902e+18,,@Alricalzph Pas d'info pour le moment mais nul doute que ça ne va pas tarder !,Micromania-Zing,80595852
Wed Sep 25 08:02:07 +0000 2019,,1176768833136340992,1.176597578458288e+18,,"@Viggy_A @NintendoFrance Bonjour, de quand date votre achat ?",Micromania-Zing,80595852
Wed Sep 25 08:00:59 +0000 2019,,1176768544824012801,1.176607005747888e+18,,@ReynAlpha Pas d'info pour le moment !,Micromania-Zing,80595852
Wed Sep 25 07:58:47 +0000 2019,,1176767991863750656,1.17674053555558e+18,,@Kalygaming Pas d'info pour le moment !,Micromania-Zing,80595852
Tue Sep 24 12:56:38 +0000 2019,,1176480560505655296,1.1764797878267249e+18,,@Terror1099 Ils sont affichés :-) En cliquant sur revendre ce produit sur la fiche du produit concerné :-) [LIEN],Micromania-Zing,80595852
Tue Sep 24 11:48:13 +0000 2019,,1176463344259219457,1.1764570711784653e+18,,"@oollong14 Bonjour, qu'indique le suivi de commande ? Ce n'est pas normal que vous n'ayez rien ...",Micromania-Zing,80595852
Tue Sep 24 07:50:31 +0000 2019,,1176403526475485185,1.176168488047698e+18,,"@bloodySuSu Bonjour, vous l'avez récupéré ?",Micromania-Zing,80595852
Tue Sep 24 07:47:12 +0000 2019,,1176402689950932992,1.1761808750395965e+18,,@TSauveur_ L'édition Champions est bien dispo depuis ce matin :-),Micromania-Zing,80595852
Tue Sep 24 07:43:01 +0000 2019,,1176401639214845952,1.176203380693373e+18,,"@anubis24KT En édition Champions, c'est dispo depuis ce matin oui :-)",Micromania-Zing,80595852
Tue Sep 24 07:40:26 +0000 2019,,1176400986199461888,1.1762306065707581e+18,,@Biibocliick Les stocks débordent de FIFA 19 ... Les prix sont fixés par rapport à nos stocks et au potentiel de revente :-),Micromania-Zing,80595852
Mon Sep 23 11:45:25 +0000 2019,,1176100252849455105,1.1760990524857754e+18,,"@damonx Bonjour, les bonus de précommande n'étaient proposés que pour l'édition standard. Concernant les manettes, je vous invite à contacter notre service client ici : [LIEN]",Micromania-Zing,80595852
Mon Sep 23 11:44:40 +0000 2019,,1176100062411284480,1.176099228155818e+18,,"@Striikerr_ Bonjour, vous n'avez reçu aucun mail/sms ?",Micromania-Zing,80595852
Mon Sep 23 09:11:38 +0000 2019,,1176061552174276610,1.175102573252096e+18,,"@alekkse Bonjour, les bonus ne sont éligibles que pour l'édition standard.",Micromania-Zing,80595852
Mon Sep 23 09:06:39 +0000 2019,,1176060297959936001,1.175201852390105e+18,,"@johzeph Bonjour, si vous avez reçu un code par mail et que vous ramenez un jeu éligible à la reprise, c'est possible oui :-)",Micromania-Zing,80595852
Mon Sep 23 09:04:28 +0000 2019,,1176059746949959680,1.1752726179823616e+18,,"@CedricL57050 Bonjour, sortie prévue vendredi :-)",Micromania-Zing,80595852
Mon Sep 23 09:02:35 +0000 2019,,1176059271257231360,1.175316323280261e+18,,"@AJ___Punk Bonjour, les bonus n'étaient proposés que pour l'édition standard, désolé !",Micromania-Zing,80595852
Mon Sep 23 08:56:51 +0000 2019,,1176057829859483649,1.1753661827461693e+18,,"@HiuraYT Bonjour, quel type de livraison avez-vous demandé ?",Micromania-Zing,80595852
Mon Sep 23 08:55:20 +0000 2019,,1176057447439622144,1.1753747733056922e+18,,"@Duvalssj Bonjour, vous êtes bien en contact avec notre service client ?",Micromania-Zing,80595852
Mon Sep 23 08:46:35 +0000 2019,,1176055247648776194,1.175378606564008e+18,,"@L00P78 Bonjour, je suis sincèrement désolé, je vous invite à nous envoyer un message ici : [LIEN]",Micromania-Zing,80595852
Mon Sep 23 08:46:08 +0000 2019,,1176055134717206529,1.175416071521788e+18,,"@bryan12349876 Bonjour, pas actuellement !",Micromania-Zing,80595852
Mon Sep 23 08:45:56 +0000 2019,,1176055084683268096,1.1754176874445087e+18,,"@AZMaxime Bonjour, je vous invite à nous envoyer un message ici : [LIEN]",Micromania-Zing,80595852
Mon Sep 23 08:41:53 +0000 2019,,1176054063454216192,1.1753209957936906e+18,,"@VRTvingt Bonjour, je suis désolé mais les bonus n'étaient donnés que pour l'édition standard.",Micromania-Zing,80595852
Mon Sep 23 08:27:52 +0000 2019,,1176050534673002496,1.1756957844210237e+18,,"@f1tom69 Bonjour, quel type de livraison avez-vous demandé ?",Micromania-Zing,80595852
Mon Sep 23 08:12:17 +0000 2019,,1176046613778878464,1.175771505080361e+18,,"@polquaise Bonjour, cette édition sort demain :-)",Micromania-Zing,80595852
