id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183079141672968192,La liste des annonceurs refusant de collaborer avec Zemmour s’allonge : @maif @FerreroFR @Groupama @monabanq  [LIEN],Sat Oct 12 17:57:02 +0000 2019,Terre et Peuple,2789693407,0,1
1183069906931195910,".@monabanq élu Service Client de l'Année 2020 avec un délai moyen de réponse de :
- 38 secondes sur chat
- 5 minutes sur Facebook 
- 4 heures 35 par email 

Performance remarquable aussi par téléphone avec 💯% de décrochés en moins de 20 secondes.

[LIEN]",Sat Oct 12 17:20:20 +0000 2019,Damien Duponchelle 📈,468317855,0,0
1182611238783782913,"Une petite liste de compagnies à boycotter :
@FerreroFR 
#MAIF
@Groupama
@monabanq

[LIEN]",Fri Oct 11 10:57:45 +0000 2019,☠️,125025286,0,0
1182595491097382912,"Dommage qu'on ne puisse pas en faire autant pour 
@MAIF ;  @Groupama ; @monabanq ! [LIEN]",Fri Oct 11 09:55:11 +0000 2019,Bern,768068517828685824,0,0
1182594242016956416,Fiers de nos clients 👏🏻👏🏻. @ShowroompriveFR @Total @Cofidis @monabanq @NestleFr @SamsungFR Bravo aux lauréats de l’élection du Service Client de l’Année. #ESCDA2020 #ESCDATRIANON #RelationClient #ServiceClient,Fri Oct 11 09:50:13 +0000 2019,Deafi,292368955,4,2
1182594048915361792,"Boycott de @FerreroFR dont @NutellaFR , de la @MAIF , de @GroupeGroupama et de @monabanq  suite à la volonté de suppression d’@EricZemmourActu #zemmour #ZENPP !",Fri Oct 11 09:49:27 +0000 2019,Ajourdier,962653654988804096,1,0
1182564765899591680,"De nouveaux annonceurs boycottent l’émission “Zemmour &amp; Naulleau”. Après @FerreroFR, @monabanq, @Groupama, la @MAIF et la @MAAFAssurances ont pris la décision de ne plus communiquer durant l’émission sur @ParisPremiere ... [LIEN]",Fri Oct 11 07:53:05 +0000 2019,Sandra Muller,189869909,4,0
1182537765193420800,Chaleureuses félicitations à toutes les équipes de @monabanq ! [LIEN],Fri Oct 11 06:05:48 +0000 2019,Daniel Baal,4039829901,18,4
1182366646259683328,Félicitations à @monabanq ! L’entreprise remporte le trophée Élu Service Client de l’Année 2020 dans la catégorie Banque en ligne #ESCDA2020 [LIEN],Thu Oct 10 18:45:50 +0000 2019,ESCDA,593683969,5,3
1182365991218614273,"#ESCDATRIANON 
#ESCDA2020 
#ESCDA_Fr 
Bravo à @monabanq [LIEN]",Thu Oct 10 18:43:14 +0000 2019,Emmanuel PLOTON,4813910182,1,0
1182363868569493505,"Bravo à @FerreroFR, @MAIF ⁦⁦@Groupama⁩ et ⁦@monabanq⁩ pour avoir retiré leurs pubs des émissions de #Zemmour. 👏Comme le dit la MAIF c’est une question d’alignement entre des discours et des actes! Le combat continue ⁦@slpng_giants_fr⁩ [LIEN]",Thu Oct 10 18:34:48 +0000 2019,JSK 🌐,1031574541485662208,28,8
1182309072739147777,"Bonjour la @MAIF, dites-moi assurez-vous les mosquées salafistes, les locaux d’associations communautairistes ou des clubs de sport gérés par des radicaux?
Et @monabanq vous accueillez les dépôts d’argent et ouvrez des comptes à ce même type de clientèle?",Thu Oct 10 14:57:03 +0000 2019,M. Lambda (2)🇫🇷,3149363583,11,7
1182225569615958016,"Cher @RobertMenardFR 
Un avis éclairé sur @monabanq, @MAAFAssurances, @MAIF
 et @GroupeGroupama  qui refusent désormais de financer les émissions de #Zemmour la petite racaille délinquante multi-condamnée pour incitation à la haine?
Pas de bisous, tu as le bec qui pue le Zemmour [LIEN]",Thu Oct 10 09:25:15 +0000 2019,David T,3881765667,1,0
1182176497215430656,"#Collabos 😡😡😡

@NutellaFR, @MAIF, @Groupama, @monabanq ... la pub fuit les chaînes qui accueillent Zemmour.

Plusieurs annonceurs refusent d’être associés aux émissions ou aux chaînes où travaille l’éditorialiste, à cause de ses propos polémiques.

[LIEN]",Thu Oct 10 06:10:15 +0000 2019,Seyvam,247841879,3,3
1182170852261015552,"""Zemmour et Naulleau"" : Après Ferrero, d'autres annonceurs boycottent l'émission de Paris Première : bravo ⁦@monabanq⁩ ⁦@GroupeGroupama⁩ ⁦@MAIF⁩ ⁦@MAAFAssurances⁩  [LIEN]",Thu Oct 10 05:47:49 +0000 2019,iQuid,15425265,0,0
1182160818009526273,"Ça, c'est donc attesté ⤵️
Sleeping Giants @slpng_giants = police de la pensée et censure.
Bloquent après 3 tweets contradictoires argumentés et polis : des fragiles qui jouent les matamores.
Mais finalement moins que des @FerreroFR @monabanq
@Boursorama @MAIF qui cèdent.  
Ça pue [LIEN]",Thu Oct 10 05:07:57 +0000 2019,Val #NiFachoNibigot,2803998789,2,0
