id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183846179760726016,#FrenchTech  #immobilier  #proptech @BIC_Montpellier @MLMontpellier  coming soon 🚀 l’événement  @Frenchproptech @montpellier @Entreprendre_MT @Montpellier3m @Rabii_Youssous @chantal_marion @Saurel_P @LaTribuneMtp @FrenchTechMed [LIEN],Mon Oct 14 20:44:58 +0000 2019,El ouachmi nordine,2908296147,2,0
1183759123764133888,Ensembles soyons eco-citoyens responsables et respectons tous sans faille notre bien public le plus précieux....... La Nature.....@Saurel_P  @Montpellier3m [LIEN],Mon Oct 14 14:59:02 +0000 2019,Vincent.Thuin,2997677734,34,31
1183725385105707008,"#CopernicusHackathon &amp; #Climathon : Coach et membre du jury, le @BIC_Montpellier offrira un prix lors de cet événement les 25 et 26 octobre à #Montpellier, Bordeaux et Toulouse 😃 Inscrivez-vous ! @AerospaceValley @EpitechMontpel @ESABICSudFrance @Montpellier3m #InnovationVerte [LIEN]",Mon Oct 14 12:44:59 +0000 2019,BIC de Montpellier,749984040032305152,4,3
1183713843337453578,"Réouvrir un théâtre , au cœur d un quartier , un théâtre qui est unique dans son genre puisqu il est aussi lieu d apprentissage , toute la chaîne de l art dramatique est ici... tout cela est un acte politique qui a du sens .... @Saurel_P @Montpellier3m [LIEN]",Mon Oct 14 11:59:07 +0000 2019,sarciat,263200742,11,13
1183706083409485825,"Avec mon adjoint @CantieJoel, vice-président du #CCAS, nous sommes heureux d'accueillir les séniors de #SaintBrès sur le stand de @Montpellier3m à l'occasion de la 71ème Foire Internationale de #Montpellier. @foireMTP @yagueannie @Saurel_P [LIEN]",Mon Oct 14 11:28:17 +0000 2019,Laurent Jaoul,3227833498,10,3
1183455504925937666,Merci au @LePointInnov pour leur invitation 2jours en lien avec #longevité #vieillissement #innovation @agnesbuzyn @DirectAN @Montpellier3m @ARS_OC [LIEN],Sun Oct 13 18:52:34 +0000 2019,Monique Iborra,372703035,5,2
1183402077734735872,"Superbe challenge mêlant Environnement, Civisme et connaissance de l'autre 🌿
Bravo à Patrick, Karim, Sébastien pour la coordination et à Patricia Mirallès pour avoir parrainé cet événement avec l'aide de la métropole ! @MIRALLESMP @patrickflores40 @Montpellier3m #Recyclage [LIEN]",Sun Oct 13 15:20:16 +0000 2019,JB Orlando-Moles,868421256240144384,4,2
1183378975177003009,#Montpellier capitale de l’olive pour sa fête à Pignan @Montpellier3m [LIEN],Sun Oct 13 13:48:28 +0000 2019,Claap Montpellier,1017784048800948224,2,0
1183362688065458176,Rencontre du président Christian Poujol président de la CMA34 et de Chantal Marion conseillère métropolitaine ⁦@foireMTP⁩ ⁦@Montpellier3m⁩ lors d’une ITW de ⁦@RadioAviva88Fm⁩ [LIEN],Sun Oct 13 12:43:45 +0000 2019,CMA34,3252651912,2,1
1183356196247523328,"Montpellier Clean Challenge.Une belle réussite nettoyage des parcs et espaces verts. Avec le soutien des habitants. Merci aux associations aux services de la métropole, à la  marraine de l’opération Patricia Miralles @Montpellier3m @3MTKD_News @MIRALLESMP @VBarthas @LemassonRc [LIEN]",Sun Oct 13 12:17:57 +0000 2019,patrickflores,1168073559706624001,19,12
1183337082439262209,"Dans le magazine de la métropole, @Saurel_P affirme la venue de près de 200 maires pour le #pactedeMilan. Or 20 maires se sont déplacés pour moins d'une centaine de représentants.
#JesuisUnDesDeux qui comprend mieux le nb de km de pistes cyclables annoncés  par @Montpellier3m [LIEN]",Sun Oct 13 11:02:00 +0000 2019,Frédéric Laudet,2194226341,2,1
1183152913822171136,#influenceur un tableau de #Fabre au @mbalyon #Lyon  @museefabre @piobetta @Montpellier3m  #peinture [LIEN],Sat Oct 12 22:50:11 +0000 2019,lecurieuxdesarts,3367446219,0,1
1183091145217363969,"#MONTPELLIER pour la planète. Une fondation pour soutenir les initiatives montpelliéraines de lutte contre le changement climatique. Ce qui compte, c’est ce que l’on préserve. @Saurel_P @Montpellier3m  @MLMontpellier [LIEN]",Sat Oct 12 18:44:44 +0000 2019,jean christophe,744297727585042433,1,0
1183084311777550337,Présent pour assister à cette belle victoire du @BasketLMA sur #Lyon 72 à 58 dans un Palais des sports en ébullition. Bravo à nos gazelles! #MontpellierCapitaleSport @Saurel_P @montpellier_ @Montpellier3m [LIEN],Sat Oct 12 18:17:35 +0000 2019,Patrick Rivas,3431910874,20,20
1182994636622696448,"Vous aimez les fêtes de terroir à l'intérieur de @Montpellier3m ? Donc demain, c'est la fête de l'olive à #Pignan et, dimanche prochain, celles du miel à #Cournonsec et de la courge et des fruits d'automne à #saintjeanvedas. #agroecologie #pasdepayssanspaysans",Sat Oct 12 12:21:15 +0000 2019,CARRIERE Jérôme,596612407,5,2
1182982287547424768,"#HangarTheatre Un nouveau lieu d'éclosion du spectacle vivant, pour les élèves de l'école nationale d'art dramatique de @Montpellier3m et pour des compagnies en résidence, ouvert au grand public. Des aujourdhui ! Avec des spectacles gratuits tte la journée #destinationCulture [LIEN]",Sat Oct 12 11:32:10 +0000 2019,Rachel Bellinguez,2731169376,4,0
1182952807089004544,assiste à l inauguration officielle du Hangar #Theatre au coeur du quartier #Boutonnet à #Montpellier en présence de @Saurel_P &amp; de nombreux élus dont @isabelmarsala et @travier_b en charge de la #culture à la ville et à @Montpellier3m [LIEN],Sat Oct 12 09:35:02 +0000 2019,Charles Dos Santos,90864618,19,13
1182948456610054146,Orchestre syncopatique #jazz #marché ⁦bravo @CastelnauleLez⁩ ⁦@Montpellier3m⁩ ⁦pour cette animation @FLafforgue⁩ ⁦@JulienMiro⁩ ⁦@magaliguibert⁩ [LIEN],Sat Oct 12 09:17:44 +0000 2019,Perrin Jerome,3097751297,2,1
1182751080440094720,"Présidé par @Prefet34 et @Saurel_P , le comité de pilotage du contrat de ville @Montpellier3m fait le point sur les engagements « renforcés et réciproques » avant le renouvellement de la charte en décembre avec les partenaires dont @enedis ! #PODEM #QPV @enedis_LR @yagueannie [LIEN]",Fri Oct 11 20:13:26 +0000 2019,Philippe Malagola,3401074799,13,6
1182723107108409345,"Très heureux d’accueillir,et de pouvoir échanger  avec ⁦@Saurel_P⁩ ⁦@sophiesalelles⁩ a l’occasion de notre enjeux ville ⁦@Montpellier3m⁩ avec l’ensemble de nos filiales ⁦@ENGIEgroup⁩ encore un grand merci ! Sincères félicitations pour #pactedemilan2019 [LIEN]",Fri Oct 11 18:22:17 +0000 2019,Serge Pina,3028203196,29,21
