id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183349564725780481,Je dis ca comme ca mais au @MontpellierHSC on l accueille quand il veut 💪 [LIEN],Sun Oct 13 11:51:36 +0000 2019,Chris MIST3RY-MAN™,1328642334,4,0
1183114373444853760,Le @MontpellierHSC propose du beau jeu et ça fait plaisir de voir ça !,Sat Oct 12 20:17:02 +0000 2019,Diaks レインメーカーのファン,862711221065314307,2,0
1182722532098695169,"🔴 Focus sur le #MHSC dans #100L1 ! Après un début en demi teinte, le @MontpellierHSC est remonté à la 8ème place! Une valeur sûre de la #Ligue1 ?

Nous serons en direct avec notre expert @fabienguyon

Réagissez en direct sur le live:
[LIEN]",Fri Oct 11 18:20:00 +0000 2019,100% Ligue 1,2323985827,1,1
1182700022929997825,#Giroud la dernière fois ou il était titu indiscutable en club c'était à @MontpellierHSC ça fait 4 ans qu'il est le second choix en club mais est toujours indéboulonnable en EDF et now tt le monde se réveil,Fri Oct 11 16:50:33 +0000 2019,hova beta,750105780553003008,0,0
1182666373962575875,"[LIEN]
Et ce n’est pas la défense Dijonnaise qui dira le contraire 🙈🤐 #D1Akema 
@mcleger13 @MontpellierHSC",Fri Oct 11 14:36:51 +0000 2019,PiedsCarrés-Féminin,1059891261262495747,5,0
1182658983343087618,"Bonjour @MontpellierHSC @MHSCSTORE 
Je vois que le maillot #OctobreRose est dispo sur le site, mais il n'y a ni taille S, ni coupe femme.
L'un des 2, au moins, est-il prévu ?
Merci
#TeamMHSC",Fri Oct 11 14:07:29 +0000 2019,Florian,85876137,1,0
1182589425072644097,"#football #Montpellier #BTP A Montpellier ou ailleurs, avec ou sans aides publiques, le nouveau stade de football se fera. Message très clair de L.Nicollin (@MontpellierHSC et @GROUPENICOLLIN)lors de la  soirée de @RsoEntreprendre Occ. Méd. Pour @HJE34 [LIEN] [LIEN]",Fri Oct 11 09:31:05 +0000 2019,Alerteco,379074595,13,5
1182576149483925505,"#FOOTBALL Retour sur le match de la victoire de l'@equipedefrance espoirs ou le viganais #NicolasCozza a joué l'intégralité du match. En revanche, @SofianeAlkch n'est pas entré en jeu.
C'est à lire ci dessous 
[LIEN]
@nimesolympique @MontpellierHSC [LIEN]",Fri Oct 11 08:38:19 +0000 2019,JuSports30,799717000620609538,1,0
1182333868239675398,"#FIFA20 

Annonce des Tournois Majeurs 

🏆ePremier League
⚽️@AVFCOfficial
🧑@SavageSkillzAJ 

🏆eLigue 1 
⚽️@AmiensSC
🧑@TRushFiaskoo

🏆eLigue 1
⚽️@MontpellierHSC
🧑@Luglio__ [LIEN]",Thu Oct 10 16:35:35 +0000 2019,T-Rush Esport,1091734034462457856,11,3
1182309639318360064,"⚽️🇫🇷 Une cinquième journée qui s'annonce explosive ! 😍

👉 [LIEN]

#D1F #D1Arkema #Football #FootballFeminin @Infos_D1F @LESFEMININES @D1Arkema @ASJSoyaux @MontpellierHSC @fcgbgirls @OLfeminin @PSG_Feminines @FCF91cde @StadeDeReims @OMFanFeminine",Thu Oct 10 14:59:18 +0000 2019,Le Sport au Féminin,1088919891606994945,4,1
1182296281538056192,📆 Le match @MontpellierHSC / OL (J8) est fixé le samedi 2 novembre à 15h30. [LIEN],Thu Oct 10 14:06:14 +0000 2019,OL Féminin,427272755,153,19
1182284820820439040,"Au cœur du vestiaire du @MontpellierHSC avant Montpellier – Dijon ! #D1Arkema 

Retrouvez l'intégralité de D1 Arkema Le Mag ici ➡️ [LIEN] [LIEN]",Thu Oct 10 13:20:41 +0000 2019,D1 Arkema,1605272004,36,4
1182272694118694912,"LIGUE 1 | Au @MontpellierHSC, une première depuis la saison du titre...

⚽🎙️ Il est l'heure de faire premier un bilan, après un quart du championnat. C'est signé @B_Queneutte ➡️ [LIEN] #MHSC #FBsport [LIEN]",Thu Oct 10 12:32:30 +0000 2019,France Bleu Hérault,103047216,4,4
1182038286770065419,Ouvre Méditerranée @MontpellierHSC stpp [LIEN],Wed Oct 09 21:01:03 +0000 2019,ALEX,1125809113206788097,7,0
1181968854894960640,"#foot #football #birthday 🎂 Joyeux Anniversaire @AndyDelort9 🇩🇿🇫🇷 (2⃣8⃣ ans) attaquant du @MontpellierHSC ex @FCSete34 Pointe-Courte AC Sète, @ACAjaccio @nimesolympique @FCMetz @ToursFC @LaticsOfficial @SMCaen @TigresOficial @ToulouseFC [LIEN]",Wed Oct 09 16:25:09 +0000 2019,YanMae,65620617,0,0
1181952399361089536,"Un beau moment entre @EnzHaut, Jordan Ferri et des supporters! 👏

@beGeniusESC x @MontpellierHSC 🔥 [LIEN]",Wed Oct 09 15:19:46 +0000 2019,Adrien 'Yuksaa' Otheguy,590250475,26,0
1181949123894874113,"Joyeux anniversaire à notre champion d'Afrique et numéro 9 du @MontpellierHSC @AndyDelort9 qui fête ses 28 ans 🎉🎂 que du bonheur et pleins de buts ! 

Bon rétablissement par la même occasion 💪🙏

#MHSC #Ligue1Conforama #LesVerts [LIEN]",Wed Oct 09 15:06:45 +0000 2019,Sport'n'Chill  ⭐ ⭐,4330228642,63,2
1181875137488052225,"L'ancien attaquant du @ToursFC et désormais à @MontpellierHSC, Andy Delort (@AndyDelort9), fête ses 28 aujourd'hui. Une page lui est consacrée dans Une histoire du football en Touraine. Et on en profite pour lui souhaiter un joyeux anniversaire ! 🎂 [LIEN] [LIEN]",Wed Oct 09 10:12:45 +0000 2019,Une histoire du football en Touraine,1123862050768400386,16,2
1181806999333408769,"🎂🎂JOYEUX ANNIVERSAIRE !!!🎂🎂

@AndyDelort9 (28 ans)

👕 51 matches tcc avec @ToulouseFC de 2017 à 2018
⚽️ 10 buts
🎯 6 passes décisives

Aujourd'hui, au @MontpellierHSC [LIEN]",Wed Oct 09 05:42:00 +0000 2019,TFC Database,905410427324125184,12,0
1181655604928090112,"Bonsoir @MontpellierHSC , possible de se voir en DM , urgent ? Merci 🙏",Tue Oct 08 19:40:24 +0000 2019,Freddy02,1943940102,3,2
1181613457755529216,"Andy Delort ? C'est le pied au @MontpellierHSC 😜

Natif de Sète, l'attaquant international algérien s'éclate à quelques pas de là sous les couleurs du club héraultais, où il vit la meilleure période de sa carrière 📊➡ [LIEN] [LIEN]",Tue Oct 08 16:52:56 +0000 2019,Twittfoot,1046076681147076608,0,0
1181605421166972928,Montpellier : @murielpenicaud inaugure les 2 nouveaux #CFA d’ #entreprise du @GROUPENICOLLIN [LIEN] @MontpellierHSC @Minist_Travail [LIEN],Tue Oct 08 16:21:00 +0000 2019,ECOMNEWS,258037819,4,0
1181560101020282880,"Dans #presse #algérienne :
EN RECONNAISSANCE POUR SES 
#PERFORMANCES AVEC LE @MontpellierHSC ET LES #VERTS.( #CAN2019 )
La @montpellier_  honore @AndyDelort9 ( Via Le Quotidien algérien @Liberte_Algerie )
#Montpellier #sport @Saurel_P @MidiLibreSports 
[LIEN]",Tue Oct 08 13:20:55 +0000 2019,LALIAM BOUDJEMAA,1516650044,5,4
1181553578340691973,"Bien le bonjour la #TeamMHSC
Voici ma proposition pour les maillots de l'année prochaine pour le @MontpellierHSC 
N'hésitez pas a me donner vos avis :) [LIEN]",Tue Oct 08 12:54:59 +0000 2019,Yanaël φ,557360577,66,9
1181480179694292992,"⚽️ Après la belle victoire du @FCSete34 face au @MontpellierHSC 2, c'est l'@aragodesete qui affrontera aussi #Montpellier en @LNVofficiel ce 11 octobre ! On leur souhaite la même réussite 🏐 Allez #Sète ! [LIEN]",Tue Oct 08 08:03:20 +0000 2019,Ville de Sète,4285824681,15,1
1181421285106159616,"La famille Nicollin ouvre simultanément deux #CFA d'entreprise à #Montpellier : @GROUPENICOLLIN pour les métiers de l'environnement et @MontpellierHSC pour les métiers de l'animation sportive
#formation #avenirpro #apprentissage #sport #environnement
[LIEN]",Tue Oct 08 04:09:18 +0000 2019,Dominique JANNOT⛵🌏🚲,929716167471779840,0,0
