id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183432382852030464,Dans 2 jours @NetflixFR débarque dans mon abonnement @myCANAL 🥳,Sun Oct 13 17:20:41 +0000 2019,Hubert de Montmirail,14597722,0,0
1183429834975956993,"Je vous recommande ""Capharnaüm""
Actuellement disponible sur @myCANAL

Tellement poignant que j'ai craqué plusieurs fois ! 😭😫

Parfois on ne se rend pas compte de la chance qu'on a... #tristevérité 

Un très beau film de @NadineLabaki 👏🏾👏🏾👏🏾",Sun Oct 13 17:10:34 +0000 2019,Unetouffecrepus,1165703345337765891,0,0
1183373341161381889,Personne de l'assistance canal dans le coin ? Mon interlocuteur ce matin me dit qu'il est impossible de m'activer le décodeur 4k si je ne branche pas son disque dur... Qui est optionnel et que je n'ai donc pas commandé ni reçu ! @canalplus @InfoAbonneCanal @myCANAL @canalplusfr,Sun Oct 13 13:26:05 +0000 2019,Sam Lion,376713575,0,0
1183366398619373568,"Toute ressemblance avec des faits réels ne serait que pure et fortuite coïncidence... 

Regardez Presse transparente sur #mycanal [LIEN] via @myCANAL",Sun Oct 13 12:58:29 +0000 2019,Benjamin Nart,1175715917260570624,0,0
1183346131251683328,Regardez La quatrième dimension sur #mycanal [LIEN] via @myCANAL,Sun Oct 13 11:37:57 +0000 2019,Fred HBZ,61829275,0,0
1183330365001392129,Enfin vu le très joli et bouleversant Pupille (que @ch_carriere m’a dit genre 567 fois de voir 🙃) qu’on avait raté au cinéma. Dispo sur @myCANAL et à voir 🥰❤️,Sun Oct 13 10:35:18 +0000 2019,Emilie Lopez ⭐️⭐️,56971995,40,3
1183303676347277313,Sinon @myCANAL y a moyen qu'un jour l'application soit disponible sur @PlayStationFR ? Ce serait quand même pas mal non ?,Sun Oct 13 08:49:15 +0000 2019,Taikobo,772136806817075200,0,0
1183294845030404097,"Bonjour les incapables de @mycanal.
Y aura t'il un week-end où on arrivera à ne pas avoir de problèmes avec les rediffusions Formule 1? La Q3, on l'aura avant la fin de l'année? Au prix de votre abonnement, merci d'être un peu moins nul, ça changerait un peu.",Sun Oct 13 08:14:10 +0000 2019,Sbac13,1224366270,0,0
1183133700000833536,"Les #duosimpossibles
6 ème édition de @JeremyFerrari avec comme copilote @GuillaumeBats sont déjà disponibles en Replay,
pour notre plus grand plaisir
sur @myCANAL 🌟
RDV juste ici ⤵️
[LIEN]
#humour #divertissement
©montage @C8TV [LIEN]",Sat Oct 12 21:33:50 +0000 2019,DarkSmileFans AG J-89💉,1105113506309963776,34,2
1183123913355747328,". @myCANAL bonjour pourquoi ce message ne cesse d'apparaitre, toutes les cinq minutes, alors que personne d'autre que moi n'utilise le site/l'appli ? c'est vraiment insupportable [LIEN]",Sat Oct 12 20:54:56 +0000 2019,𝖍𝖊𝖈𝖆𝖙𝖊 🦇,336160464,1,0
1183079784835899393,Mercredi 23 octobre à 21:00 sur @PlanetePlus et sur @myCANAL [LIEN],Sat Oct 12 17:59:35 +0000 2019,isabelle antraygue,1100740553833091072,2,0
1182982227186966531,L’INTERVENTION disponible sur @myCANAL [LIEN],Sat Oct 12 11:31:56 +0000 2019,Empreinte Cinéma,920723291236651009,6,4
1182976080111636481,"Bonjour @myCANAL @InfoAbonneCanal 
Sur Years &amp; Years épisode 4, il manque le recap au début. Le souci ? Il est tout de même existant sur les sous-titres, donc y’a une désynchro de plus de 30s entre la vidéo et les sous-titres... relou en VOST ;)
Si vous pouvez transmettre ! Merci",Sat Oct 12 11:07:30 +0000 2019,Lilian de la Radio,15807298,0,0
1182958898573131777,"Regardez Corse Rivières Sous Surveillance sur #mycanal  
                                                     [LIEN] via @myCANAL",Sat Oct 12 09:59:14 +0000 2019,Mimosa,765943276377628673,0,0
1182944960141844482,"L’épisode de @Sport__Reporter de ce week-end ?... @lemondefr a vu « ce documentaire aussi court qu’émouvant » 🙏
Bravo @rvorano @arnaudbonnin @AlexGohari et toute l’équipe 👍

« Luchadores » ce soir 20h @CanalplusSport et sur @myCANAL [LIEN]",Sat Oct 12 09:03:51 +0000 2019,Guillaume Priou,594876341,18,8
1182936763624493061,Regardez Chasseurs de trous noirs : En quête du plus grand mystère de l'univers sur #mycanal [LIEN] via @myCANAL,Sat Oct 12 08:31:17 +0000 2019,VidalFlorian,1080879235886211072,0,0
1182936057727377408,"Jusqu’à dimanche c’est la fête de la VOD ! 2€ la location ou 5€ l’achat ! Vite vite ! Chez @filmotvfrance @ARTEfr VOD, @MYTF1VOD @UniversCine @LaCinetek @myCANAL VOD @Videofutur @orange @LATOILEVOD #Fetedelavod #Streaming [LIEN]",Sat Oct 12 08:28:28 +0000 2019,Cine-Asie,127513811,4,1
1182799251757326336,vraiment @myCANAL reprendre le programme 8h avant sur la chaine ca met bien pour les soirees simpsons,Fri Oct 11 23:24:51 +0000 2019,R.I.P. koda,859788327205163008,0,0
1182747949857755136,Tout beau et vraiment tout chaud ! Voici le TOP 3 des films adultes les + consultés de la semaine sur @myCANAL 😅⤵️,Fri Oct 11 20:01:00 +0000 2019,Le Journal du Hard,804176210,28,2
1182738387570167808,"Regardez Noam Anouar : ""Mickael Harpon a fait l'apologie du crime contre Charlie Hebdo et de l'hyper cacher"" sur #mycanal [LIEN] via @myCANAL",Fri Oct 11 19:23:00 +0000 2019,Celine,136722363,2,1
1182707638796201985,Je suis en train de regarder l’episode 1 de #TwilightZone sur @myCANAL ! C’est perché ! Mais c’est tellement cool ! #QuatriemeDimension,Fri Oct 11 17:20:49 +0000 2019,Anthony Ravenswood💫 👰🏻🎩,970229167206948866,3,0
1182674744346370048,"Bonjour @myCANAL toujours pas de version adaptées aux nouveautés de #tvOS13 ? 
Par ailleurs le replay de @serieclub semble encore en retard concernant #Supernatural ! 
Tous les ans le problème se pose ! C’est irritant à force !",Fri Oct 11 15:10:06 +0000 2019,JiM.FDV - 🐯 ⵣ ខ្ញុំ,152951297,0,0
1182670405313671168,"Les confessions de David Vallat, ex-djihadiste repenti et le témoignage très fort de Camille, dont le mari agriculteur s'est suicidé... Pour le replay de #BalanceTonPost c'est sur @myCANAL ➡️ [LIEN] [LIEN]",Fri Oct 11 14:52:52 +0000 2019,Balance Ton Post,1022456532284461058,62,16
1182652225769881602,Bouleversant ! Merci @Cyrilhanouna de donner la parole de lever le voile sur cette tristesse @TPMP @BalanceTonPost #mycanal [LIEN] via @myCANAL,Fri Oct 11 13:40:37 +0000 2019,Charles Pillet,600334968,0,0
1182651162383867904,Regardez Le témoignage de David Vallat : Ancien djihadiste se bat pour la déradicalisation chez les jeunes sur #mycanal [LIEN] via @myCANAL,Fri Oct 11 13:36:24 +0000 2019,Monica Rivaldo,832033056,0,0
1182638865510735872,Regardez Balance ton post ! sur #mycanal [LIEN] via @myCANAL,Fri Oct 11 12:47:32 +0000 2019,Casimira31,298721490,1,0
1182603230712340486,Je n’oublie pas @myCANAL et @PrimeVideoFR non plus hein [LIEN],Fri Oct 11 10:25:56 +0000 2019,⭐️⭐️TheManWhoLivesInHell,151392024,0,0
1182600498999889920,Regardez Les ambitions de Renault sur #mycanal [LIEN] via @myCANAL,Fri Oct 11 10:15:05 +0000 2019,Naty,196951199,1,0
1182591617603133441,"#POULPOVISION mon nouveau projet tous les dimanches EN CLAIR sur @canalplus à 14h20 💥
Tout le monde peut le voir à la télé ou en replay sur @mycanal ❤️👨‍❤️‍👨💕💕🐙 Mais à votre avis qu’est ce que c’est tout ce bordel ? Peut être il faudrait que j’explique ? [LIEN]",Fri Oct 11 09:39:47 +0000 2019,Monsieur Poulpe,101887303,350,47
1182588900323278850,Regardez Le témoignage de David Vallat : Ancien djihadiste se bat pour la déradicalisation chez les jeunes sur #mycanal [LIEN] via @myCANAL,Fri Oct 11 09:28:59 +0000 2019,Prof contractuel maths,379367658,0,0
