id,text,data,user,user_id,favorite_cnt,retweet_cnt
1175772351893557251,L'étrange odeur du string cosmique @NetflixFR vous êtes pas chauds ? [LIEN],Sun Sep 22 14:02:28 +0000 2019,Maître Renard,988147261619294208,0,0
1175770570417410048,La série Dark Cristal sur @NetflixFR c’est un chef-d’œuvre ! Vivement la saison 2 😁,Sun Sep 22 13:55:23 +0000 2019,✩ ᎷᏗᏒᎥᏋ ✩,889876331516895232,1,0
1175768599430086657,Bien essayé le TOU DOUUM  de @NetflixFR [LIEN],Sun Sep 22 13:47:33 +0000 2019,Arsène-Alidé,359583473,1,1
1175767484982583296,"The Last Kingdom, meilleure série sur les vikings, merci @NetflixFR ☝🏼",Sun Sep 22 13:43:07 +0000 2019,L O R I S 👁,1003639934585012224,1,0
1175766966847647744,"Je débute #Criminal sur @NetflixFR et en cinq minutes c'est déjà insupportable, y'a l'actrice qui joue Marina Loiseau dans Le bureau des légendes et elle me donne envie de bouffer une plaquette de Xanax avec sa diction apathique 😬 [LIEN]",Sun Sep 22 13:41:04 +0000 2019,Brice Bonneau,937678729903525890,0,0
1175766440412160000,J’ai si hâte de voir la saison 2 de #F1 🏎 sur @NetflixFR ! #SingaporeGP,Sun Sep 22 13:38:58 +0000 2019,Danny Phan,962389386443870209,0,0
1175765735274139648,la série sur ma vie est disponible sur @NetflixFR hein vu que tous ce qui m’arrive,Sun Sep 22 13:36:10 +0000 2019,leane ღ,1084163836788293633,0,0
1175765718870179840,Tu ne peut pas te payer un abonnement Netflix ? Achète l’entreprise @NetflixFR !!! 💁🏾‍♀️,Sun Sep 22 13:36:06 +0000 2019,Be Honeyst 🧸🍯,1457217728,1,0
1175763988975501312,"Bon déjà 3 jours que je suis dans mon mood ""Malade 🤧"", @NetflixFR est mon ami 🥰",Sun Sep 22 13:29:14 +0000 2019,L. F. 🔥,538510881,1,1
1175763870151008258,Devant l'épisode 15 de la saison 4 de @Gotham sur @NetflixFR avec @ben_mckenzie @realdavidmazouz @seanpertwee @robinlordtaylor @mister_CMS @donallogue @missmorenab @ErinRRichards @camren @jessicalucas @chalkchris @thedrewpowell #Gotham [LIEN],Sun Sep 22 13:28:45 +0000 2019,AlexDeMetz,871465521551691777,0,0
1175763144838393861,"J'ai craqué, j'ai pris @NetflixFR",Sun Sep 22 13:25:53 +0000 2019,Étudiante,2431580470,0,0
1175760548790710272,La saison 12 de @bigbangtheory viendra sur @NetflixFR?#netflix#BigBangTheory,Sun Sep 22 13:15:34 +0000 2019,eric sch,1175526558683095040,0,0
1175760271710797824,Je vais suivre ça comme jamais @NetflixFR 😭❤️ [LIEN],Sun Sep 22 13:14:28 +0000 2019,Miss Roronoa ✨,913503259,0,0
1175760161320984581,encore un truc prometteur @NetflixFR 😌 [LIEN],Sun Sep 22 13:14:01 +0000 2019,Lawlaw 🌝,980776370,1,0
1175758638956392448,Bon @NetflixFR a quand une série sur la mythologie grecque? (Prochainement svp) [LIEN],Sun Sep 22 13:07:58 +0000 2019,Lucrecia c moi💁🏻‍♀️,1151586313528860672,1,0
1175758557603684353,Eh oh néné @NetflixFR pourquoi je ne peux pas regarder American Horror story sur PC? Répondez les copains. Ps : ça va ? 👽,Sun Sep 22 13:07:39 +0000 2019,Mattéo • Zaiiku 👥,841329008142929921,0,0
1175757935651282944,À quand Smallville sur @NetflixFR ?🤔,Sun Sep 22 13:05:11 +0000 2019,★Baloo★,624897719,0,0
1175757650598014976,À regarder absolument : Unbelievable sur @NetflixFR,Sun Sep 22 13:04:03 +0000 2019,Cy,368425687,1,0
1175756847007096833,"Voici la bande-annonce de la saison 3 de #TheCrown, qui sera disponible le 17 novembre sur @NetflixFR #series #netflix #BandeAnnonce #ClaireFoy [LIEN]",Sun Sep 22 13:00:51 +0000 2019,SERIES MANIA,962205008,3,0
1175756467573538816,C'est un temps à rester dans son lit à regarder @NetflixFR,Sun Sep 22 12:59:21 +0000 2019,Charline 👑 🍩,486606827,0,0
1175756452755136512,Il n’y a pas Men in black II sur @NetflixFR ??,Sun Sep 22 12:59:17 +0000 2019,Clemj ﻬ,3348079731,0,0
1175755774976331776,"Bon, ben c'est mon premier dimanche après midi @NetflixFR.Je suis un peu troublée. #1ereFois #Netflix #Serie #TempsPourri",Sun Sep 22 12:56:35 +0000 2019,AudeLàDuReel,1368021349,0,0
1175755518213799937,Lundix Mardix Mercredix Jeudix Vendredix Samedix Netflix @NetflixFR,Sun Sep 22 12:55:34 +0000 2019,laurent Langlade,379892434,1,0
1175753465718607874,1ere saison de #Mindhunter Et c'était WOW !!!😵😵😵On ressent tellement la patte de Fincher. De la Grande TV. Merci @NetflixFR et David Fincher.,Sun Sep 22 12:47:25 +0000 2019,Kerdudo David,827551285,0,0
1175753274110173193,"Dimanche pluvieux -&gt; @NetflixFR : « The great hack », pour comprendre le scandale Facebook Cambridge Analytica. Édifiant !",Sun Sep 22 12:46:39 +0000 2019,Caroline Bindel,52088047,1,1
1175752688434393089,"cc @NetflixFR y a moyen pour les prochains épisodes de Criminal que ça soit une série a choix, ça serait magnifique",Sun Sep 22 12:44:20 +0000 2019,goddontlikeugly,3015198263,0,0
1175751042006487040,Devant l'épisode 14 de la saison 4 de @Gotham sur @NetflixFR avec @ben_mckenzie @realdavidmazouz @seanpertwee @robinlordtaylor @mister_CMS @donallogue @missmorenab @ErinRRichards @camren @jessicalucas @chalkchris @thedrewpowell #Gotham [LIEN],Sun Sep 22 12:37:47 +0000 2019,AlexDeMetz,871465521551691777,0,0
1175750831297241089,#AHSApocalypse c'est nul.. @NetflixFRj'attends #AmericanHorrorStory1984,Sun Sep 22 12:36:57 +0000 2019,Jeremī,970480062,0,0
