id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184015172727431168,"🔜#5RNAEN Rencontres Industries #BioSanté @NvelleAquitaine #Euskadi #Navarre c'est demain à Pampelune ! +140 participants et +120 RDV BtoB organisés, cette 5ème édition va permettre de renforcer nos liens transfrontaliers ++ ! @Sodenavarra @TICSanteNA #BasqueHealthCluster [LIEN]",Tue Oct 15 07:56:29 +0000 2019,GIPSO,939171798461091840,0,0
1184014394256232448,"Les étudiants de 3ème année de l’#IFSI du #CHULimoges participent à l’opération ""#Prejugix400mg"" Le médicament anti-Préjugés #oslassociation [LIEN] @ARS_NAquit @NvelleAquitaine @VilleLimoges87 @AG2RLAMONDIALE [LIEN]",Tue Oct 15 07:53:24 +0000 2019,CHU Limoges,153716934,5,6
1184013649461035008,"Briv’accélère, dispositif #TransfoNum de @AgglodeBrive pour passer au numérique avec @CCICorreze @cmacorreze @aliptic_ et le soutien de @NvelleAquitaine et @BanqueDesTerr cc @NumeriqueNA. 
Plus de 50 professionnels du territoire déjà référencés ! [LIEN]",Tue Oct 15 07:50:26 +0000 2019,Raphael Nieto,38880180,1,2
1184013610198228994,A Vienne Briance Gorre membre de @EnviroLim on parle économie d'énergie à tous niveaux sur la station d'eau potable et en particuliers sur le pompage de Panazol avec @OI_Eau @saur hydraulique Environnement. Les financeurs @hautevienne_dep @LoireBretagne @ademe @NvelleAquitaine [LIEN],Tue Oct 15 07:50:17 +0000 2019,@quebec-eau,960623329370570753,3,1
1184004886821769216,"Bienvenue chez nous ! Merci à ⁦@tv7bordeaux⁩ et la région  ⁦@NvelleAquitaine⁩ pour cette vidéo de visite de La cité numérique, véritable cluster de vie pour les entreprises digitales de la région et... d’ailleurs !  [LIEN]",Tue Oct 15 07:15:37 +0000 2019,Cité Numérique,1536474366,0,0
1184001308958826496,"C'est parti pour la 2e édition du Charente-Maritime Cyber Sécurité! Venez échanger sur le thème : L’humain, acteur de la #cybersecurite sur terre et sur mer dans les locaux de @ExceliaGroupLR et @EIGSI #CMCS2019 #Cybermois avec le soutien de @ANSSI_FR @NvelleAquitaine @AggloLR [LIEN]",Tue Oct 15 07:01:24 +0000 2019,Excelia Group,126647747,2,1
1183998694015807490,"#DFCI s’équipe pour assurer la surveillance des zones incendiées. Réalisées par une société bretonne les remorques agricoles pensées pour la forêt sont réceptionnées et en livraison dans les Landes de Gascogne. 
Financement @europe_france @Min_Agriculture @NvelleAquitaine [LIEN]",Tue Oct 15 06:51:00 +0000 2019,DFCI Aquitaine,1143064465333772288,0,2
1183978125639725057,Je partage à 200% la conclusion.Juste ne pas tout ramener au #glyphosate @eddyfougier .Suffit de lire la feuille de route #NeoTerra de @NvelleAquitaine (et autres projets en Région) pour comprendre que  la menace pr notre agriculture ne vient pas de l'interdiction d'une molécule. [LIEN],Tue Oct 15 05:29:17 +0000 2019,Pascal Nerbesson,300361066,2,2
1183824876303466499,"#hapchotbeer de @hossegor dans un verre à bière de #abbayedefrontfroide 
Le #sudouest se marie bien. Quand la #nouvelleaquitaine rencontre #occitanie 
La #biere devient une évidence.
@NvelleAquitaine @Occitanie [LIEN]",Mon Oct 14 19:20:19 +0000 2019,Nicolas VpourVergnaud,2566964736,0,0
1183810990896533505,"Revue l'actualité #NouvelleAquitaine, toujours passionnante à lire, et c'est un bel objet. 🙏👏 @emfpoitiers @Actu_NvlleAq et ses financeurs (@NvelleAquitaine etc). #litterature, #gastronomie, #sciences, #arts... il y en a pour tous les goûts ! [LIEN]",Mon Oct 14 18:25:09 +0000 2019,Mariannig Hall,888336455004807168,2,1
1183793551584481280,"Je découvre que la région @NvelleAquitaine fait des petites vannes avec @FLBP33. Connaît-elle @lefopulaire et la #BretzelCie ? 

C'est un peu loin de la capitale bordelaise mais il y a beaucoup de choses sympas en #Limousin.. [LIEN]",Mon Oct 14 17:15:51 +0000 2019,Kevin Cao,435841738,6,0
1183790122988462087,Débat intéressant sur l'ehpad de demain. Public ou privé ? Quelles implantations ? Quelle architecture ? Quelles innovations ? @LONGEVITYbySAPS @autonomlab @RevLim87 @bvlarchitecture #banquetarneaud @VilleLimoges87 @NvelleAquitaine @EsterTechnopole [LIEN],Mon Oct 14 17:02:13 +0000 2019,Patrick Laroudie,2476672210,5,2
1183787705802657794,"""Construire par l’Éducation, les nouvelles #solidarités #écologiques"", colloque du 6 juin 2019 organisé par @NvelleAquitaine et Institut de #formation et de #recherche en #éducation à l' #environnement (Ifrée) retrouvez le compte-rendu [LIEN] #EEDD #EDD #ENEDS",Mon Oct 14 16:52:37 +0000 2019,Ifrée,2478313430,4,2
