id,text,date,user,user_id,favorite_cnt,retweet_cnt
1184132083800772611,"Aujourd’hui, la chorégraphe #LorianeWagner, en résidence à l’Agora, a donné un atelier de danse à des animateurs socioculturels du département #cultureetsportsolidaires34 @Heraultinfos @Occitanie @montpellier_ @Montpellier3m [LIEN]",Tue Oct 15 15:41:03 +0000 2019,Montpellier Danse,192941831,0,0
1184111798032781318,"Tourisme et shopping #outlet 🛍 [LIEN] via @Tourhebdo 
Et merci aux partenaires @vnf_officiel @Calaistourisme @TUIflyBelgium @TUI_France @atout_france @Ouispeak @CrtOccitanie @Occitanie",Tue Oct 15 14:20:27 +0000 2019,Advantail,901514064,1,1
1184079991950204928,"L'#Institutmarin en déplacement en #Tunisie pour le programme #Terricoop des Galpa @Occitanie : visite de ports de pêche et échanges sur la labellisation des produits de la mer, l'invasion du crabe bleu, la pollution plastique en mer,... #echanges #développementéconomique [LIEN]",Tue Oct 15 12:14:03 +0000 2019,Le Seaquarium,126010377,0,0
1184074964296699904,"#Hydrogène, #éolien flottant, et si vous deveniez acteurs de ces #filières ?
Rdv aux matinées de sensibilisation dans les territoires d'
@Occitanie organisé par @ADOCC_  @BenjFevre 
🗓️le 12 nov #martrestolosane
⏬⏬
[LIEN]",Tue Oct 15 11:54:05 +0000 2019,AD'OCC Pyrénées,847073709953298433,0,0
1184071112411504640,On a vu @CaroleDelga souriante et heureuse pendant la présentation du #TDF2020 y'a de quoi. De belles étapes inédites au coeur de la plus belle région de France l'@Occitanie #FierDeMaRegion,Tue Oct 15 11:38:46 +0000 2019,🔴⚫#𝗧𝗼𝘂𝗹𝗼𝘂𝗭𝗲𝗻𝟯𝟭⭐️⭐️,761119855298830337,0,0
1184069567955591173,"Euh ! @LeTour de France 2020 c'est 
Presque la route du sud 🤔🤔
3 étapes en @Occitanie👍👍👍
Une arrivée à @VilledeLavaur 👍 [LIEN]",Tue Oct 15 11:32:38 +0000 2019,phil-conducteur,586979208,3,1
1184067658251153408,"Bravo à la région @Occitanie, un exemple à suivre en terme de #numérique 👏Depuis 2011, la région a mis en place ""Lordi"" : mise à disposition d'#ordinateurs &amp; de manuels 100% digitaux ! cc @20Minutes [LIEN] [LIEN]",Tue Oct 15 11:25:03 +0000 2019,Diversidays,912558676371804160,8,3
1184064084645425153,📩 Toutes les collectivités réunies pour soutenir l’#aéroport #CastresMazamet via la convention de partenariat pour le financement de la ligne #CastresParis : un enjeu pour notre territoire ! @Occitanie #Tarn [LIEN],Tue Oct 15 11:10:51 +0000 2019,Emilie Aussaguel 🇫🇷🇪🇺,4419406756,2,0
1184061420356456449,"#PayeTonIFSI | Nous étions présents ajd à @Toulouse pour un 2e #rdv avec la #Région @Occitanie. 

Des #engagements sont pris mais du #travail reste à faire. @La_FNESI reste attentive à la volonté politique de @CaroleDelga de garantir des conditions de forma exemplaire aux #ESI. [LIEN]",Tue Oct 15 11:00:16 +0000 2019,Félix Ledoux,1060103026000695296,11,3
1184060367573520384,"Inauguration nvx locaux à @montpellier_ 1ère Faculté Libre Etudes Politiques dédiée #ESS en France. Pascal COLIN, pdt RENESS, honoré présence Marie MEUNIER-POLGE, Conseillère régionale déléguée #ESS, représentant Carole DELGA, Présidente @Occitanie &gt;&gt;&gt; [LIEN] [LIEN]",Tue Oct 15 10:56:05 +0000 2019,RENESS,821695213894823937,3,1
1184057499781083138,"Quatre étapes en @Occitanie, dont une dans son fief Cazeres Loudenvielle : un plaisir tres personnel pour @CaroleDelga qui a aussi soutenu arrivée à Aigoual [LIEN]",Tue Oct 15 10:44:41 +0000 2019,Midi Libre Millau,1004206520,7,2
