id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183973942102515716,"📚Un #MardiConseil mais pas pour moi xD Puisque je vous parle d'un titre dont je comprends mais ne partage pas l'engouement qu'il suscite ^^
Il s'agit de Demon Slayer de Koyoharu Gotoge chez @PaniniManga qui est trop classique à mon goût... ⚔️⛩️🦇
[LIEN]",Tue Oct 15 05:12:39 +0000 2019,Tampopo24 🌸📚,949962811374997504,15,4
1183810325092675585,On attend toujours la réédition du manga BANANA FISH (@PaniniManga) 🙄 Si jamais...,Mon Oct 14 18:22:30 +0000 2019,英二 🍌🐟,405827859,2,0
1183748126252961794,Bonjour @PaniniManga j'ai fini brave 10 et j'ai vraiment adoré. Peut-on espèrer voir Brave 10 S édité chez nous? 🤔,Mon Oct 14 14:15:20 +0000 2019,Lassia,1305559573,0,0
1183746841386586113,"[H.S] Il est temps de mettre en avant un manga de chez nos confrères de @PaniniManga qui mérite le coup d'oeil.

Demon Slayer est un shonen actuellement dans le top 5 des meilleurs manga du fameux Shonen Jump. Les 4 premiers tomes sont déjà disponibles et le 5ème arrive le 27/11. [LIEN]",Mon Oct 14 14:10:14 +0000 2019,Editions chattochatto,831130190432632832,139,44
1183745299061366785,"Manga à Chaud sur #DemonSlayer qui ressort chez @PaniniManga 
Donc j'ai décidé d'en reparler :D

[LIEN] [LIEN]",Mon Oct 14 14:04:06 +0000 2019,Mr Mangasse,753303119795281920,18,3
1183744108478623744,"L'éditeur @PaniniManga annonce la réédition du célèbre manga Happy! de Naoki Urasawa en édition deluxe, comme précédemment publiée.

La série devrait être de nouveau disponible en intégralité dès le 19 février 2020 si tout va bien. [LIEN]",Mon Oct 14 13:59:23 +0000 2019,Manga Café,709857718,10,2
1183666214285041665,Mdr la bannière de @PaniniManga,Mon Oct 14 08:49:51 +0000 2019,L’inspecteur 亀,1265526631,16,2
1183152917328605185,"Première image : exactement ma tête quand j'ai vu les tomes à la fnac 😂😭
J'ai pas résisté :( @PaniniManga Je vous aime ❤️ [LIEN]",Sat Oct 12 22:50:12 +0000 2019,Mask,1143263300039454721,15,0
1183081598792679425,30km pour avoir enfin #kimetsunoyaiba 3-4. Ami(e)s du Calvados il reste 1 vol.3 de dispo à la @Fnac Caen. Aucun ex. à [LIEN] Bayeux ou même à Cultura Mondeville et pareil à Univers Bd à Caen. Bravo @PaniniManga pour ce lancement mieux réussi que la 1ere fois !,Sat Oct 12 18:06:48 +0000 2019,Weekly Shonen Jump non officiel,1004373908634644480,0,0
1183005765784756224,"#Manga du jour
@EditionsKana @AKATAmanga @PaniniManga [LIEN]",Sat Oct 12 13:05:28 +0000 2019,Vanilil,338995598,3,0
