id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183306812289880064,"Hi (@ Paris Charles de Gaulle Airport - @parisaeroport in Roissy-en-France, Île-de-France) [LIEN]",Sun Oct 13 09:01:43 +0000 2019,adi,1422912769,0,0
1183297192800337920,"I'm at Paris Charles de Gaulle Havalimanı - @parisaeroport in Roissy-en-France, Île-de-France [LIEN]",Sun Oct 13 08:23:30 +0000 2019,kirazinannesi,85156445,1,0
1183262755614351360,C’est parti @ParisAeroport ✈️❤️😘⤵️ [LIEN],Sun Oct 13 06:06:39 +0000 2019,Lunise Marquis,127643327,9,0
1183095507595464705,Campagne @DellTech à @ParisAeroport ✈️ [LIEN],Sat Oct 12 19:02:04 +0000 2019,Julien Cloarec,1066815760054591488,4,2
1183084647254839297,Retour à @Paris pour les @M2ComMulti 🇫🇷🛬 #trip #Estonia #Back2France #France @ParisAeroport [LIEN],Sat Oct 12 18:18:55 +0000 2019,Master UNIC Assas,2593336502,3,1
1183080076927258625,🇨🇵✈️🎶👍 #idéal #etiennedaho  : le plus #avgeek (mon préféré) des clips vidéo de la pop française tourné avec équipes @ParisAeroport &amp; au @SheratonParis dans le 1er projet du #cdgval  [LIEN] [LIEN],Sat Oct 12 18:00:45 +0000 2019,Cédric Landais,2288485103,21,1
1183037043846332416,"I'm at Aeroporto de Paris-Charles de Gaulle - @parisaeroport in Roissy-en-France, Île-de-France [LIEN]",Sat Oct 12 15:09:45 +0000 2019,Pedro Palmieri,205252291,0,0
1182998315241213953,"I'm at Paris-Orly Airport - @parisaeroport in Paray Vieille Poste, Île-de-France [LIEN]",Sat Oct 12 12:35:52 +0000 2019,عبدالله,343948341,0,0
1182971760351809536,"Coucou @ParisAeroport , il se passe quoi au terminale 2C (C16) ? Depuis 20mn, les agents sont bloqués. Les tapis ne fonctionnent pas",Sat Oct 12 10:50:20 +0000 2019,y n r a,37204851,1,0
1182966029120626688,Les pompiers de l’aéroport d’Orly s’engagent dans la campagne octobre rose et soutiennent la ligue contre le cancer de l’Essonne et participent à la course de Mennecy dimanche 13 octobre #jaimemesseins @ParisAeroport @sdis91 [LIEN],Sat Oct 12 10:27:34 +0000 2019,Ligue Cancer 91,847366440113942528,10,3
1182961809327828994,"Hello France ✌🏼🇫🇷
@ParisAeroport on en parle des 3 bornes paraphe ouvertes pour tout le terminal international 2F ???
Vous rendez fous 🤣😂
Paris, 12 octobre. 6h30 du matin et arrivée de tous les longs courriers de nuit...
On comprend le classement de l'aéroport de Roissy CDG... [LIEN]",Sat Oct 12 10:10:48 +0000 2019,Gavin,114425185,56,9
1182948405351473153,"I'm at Paris Charles de Gaulle Airport - @parisaeroport in Roissy-en-France, Île-de-France [LIEN]",Sat Oct 12 09:17:32 +0000 2019,هشام ‏؏ الفياض,329010827,0,0
1182946000824090624,"Et si finalement c’était pas lui...mais un vieux cauchemar Stephanois ?  😱😱😱😱 #Glasgow #XDDL #DupontDeLigones #ASSE #TeamASSE  

Par contre si c’est lui vive @ParisAeroport on me fait chier pour une bouteille #Cristaline par contre un tueur ignoble...passez monsieur 🤷🏽‍♂️ [LIEN]",Sat Oct 12 09:07:59 +0000 2019,Zak@ngel⭐️⭐️,2990762531,4,0
1182935640071118849,"Heading home (@ Paris Charles de Gaulle Airport - @parisaeroport in Roissy-en-France, Île-de-France) [LIEN] [LIEN]",Sat Oct 12 08:26:49 +0000 2019,Vineet Handa,53745070,0,0
1182925358926106625,Bizarre que @ParisAeroport puisse laisser passer un type soumis à un mandat d'arrêt international alors qu'on me casse les pieds aux contrôles pour une bouteille d'eau et un blue- jean qui declenche l'alarme,Sat Oct 12 07:45:57 +0000 2019,JdErrard,239327389,6,0
1182915497257558023,"I'm at Terminal 2F - @parisaeroport in Le Mesnil-Amelot, Île-de-France [LIEN]",Sat Oct 12 07:06:46 +0000 2019,derteilzeitberliner,71923148,0,0
1182905657726513153,"objet oublié dans mon sac de voyage, passé sans encombres au contrôle sécurité de @ParisAeroport repéré et confisqué à @aeroportmp , que je viens de récupérer. Merci @CCastaner d'améliorer les contrôles de cette société privée sur l'aéroport d'Orly ... [LIEN]",Sat Oct 12 06:27:40 +0000 2019,Jef Dumas No#FakeMed,322488054,3,0
1182886760902283264,Quand je vois que #dupontdeligonnes passe tranquillement les portiques de sécurité à @ParisAeroport je me pose de réelles questions sur notre sécurité @PoliceNationale @Gendarmerie @CCastaner,Sat Oct 12 05:12:35 +0000 2019,Renaud ☨,541509186,0,0
1182883626905735168,"Animation au salon #AirFrance à @ParisAeroport autour des vins de la #business long-courriers et des fromages.
Merci #TheTravelersClub pour la visite. #wineselection #winetasting #BestSommelieroftheWorld #meilleursommelierdumonde #migliorsommelierdelmondo [LIEN]",Sat Oct 12 05:00:08 +0000 2019,Paolo Basso,879799206,29,4
1182873330019393537,"Hello Paris ! 🛬 (@ Aéroport Paris-Charles de Gaulle - @parisaeroport in Roissy-en-France, Île-de-France) [LIEN] [LIEN]",Sat Oct 12 04:19:13 +0000 2019,𝕮𝖑𝖊𝖒𝖊𝖓𝖙 𝕾. in Dubaï,175192751,0,0
1182864047403700224,"Franchement pas surpris que Xavier Dupont de Ligonnès ait pu passer la frontière française aussi facilement. A Roissy @ParisAeroport, lors d'un voyage, je me souviens qu'ils se battaient pour leur heure de pause à la sécurité. Tu peux passer tranquille, ils ne voient rien...",Sat Oct 12 03:42:20 +0000 2019,Ilos,886252227202924545,2,0
1182857341475131392,"Pendant ce temps la ,le PDG d @ParisAeroport pose à côté de l'objet le plus recherché de France dans ses aéroports : la bouteille d'eau...

#dupontdeligonnes [LIEN]",Sat Oct 12 03:15:41 +0000 2019,Armor,124181029,0,0
1182831620530888704,Donc #XavierDupontdeLigonnes a passé 8 ans sous une fausse identité et a pu passer sans problème avec un passeport fake ? @ParisAeroport l’exercice de sécurité est complètement loupé.,Sat Oct 12 01:33:28 +0000 2019,Momo Fofana 🇫🇷,3296187416,3,0
1182771534127095810,Je suis choqué qu’il ait pu prendre l’avion oklm à CDG trkl la sécurité ? @ParisAeroport [LIEN],Fri Oct 11 21:34:43 +0000 2019,Florencio,31727189,0,0
1182770432765779969,"Bilan d'une semaine dans la #France de #Macron et #Castaner : 
- un tueur islamiste se balade dans #Paris avec une habilitation secret défense ;   
- l'assassin #XavierDupontdeLigonnes (de Ligonnès) prend tranquillement prendre l'avion à #roissy @ParisAeroport #CDG
Pays de fous.",Fri Oct 11 21:30:20 +0000 2019,Esprit1101🇫🇷✝️,3438438869,13,11
1182751889479405568,Magnifique approche sur la 06-24 😍 #Spotting #Orly @ParisAeroport [LIEN],Fri Oct 11 20:16:39 +0000 2019,Fabio Prisse,1167392265192595457,0,0
1182750859672862724,Le mec a quand même pris l’avion tranquillement de Roissy ... les aéroports français niveau sécurité c’est le monde des bisounours ! @ParisAeroport #XavierDupontdeLigones [LIEN],Fri Oct 11 20:12:34 +0000 2019,GianyStark,4908630419,3,2
1182744869065891858,Xavier Dupont de Ligonnès @CCastaner @PoliceNat44 @ParisAeroport comment peut on quitter le pays si facilement ? Faudra pas nous la jouer a l'envers de passer la securite si facilement. Et même un avion sa se détourne...,Fri Oct 11 19:48:45 +0000 2019,Chevalier Thomas,1110994568,0,0
1182743076361650176,La sécurité de @ParisAeroport 👏🏻 aka l'incompétence en personne ! Ça laisse passer un type en cavale pour multiples meurtres et quand on a une bouteille dans son sac ça pète un cable. J'ai falli rater un PARIS NY à cause de l'excès de zèle de vos douanes. Vous êtes des INCAPABLES,Fri Oct 11 19:41:38 +0000 2019,™,1209311,6,1
1182742337572745216,#xavierdupontdeligonnes  ... c’est pour quand la photo de sa nouvelle tête ... il a changé tant que ça @ParisAeroport ??,Fri Oct 11 19:38:42 +0000 2019,myrgou 🇫🇷,556222107,0,0
1182740553676591104,On peut voyager avec un faux passeport @ParisAeroport????,Fri Oct 11 19:31:36 +0000 2019,Antoine,1832456282,0,0
1182740152772419585,"Dites moi @ParisAeroport , comment ça se fait que la #PAF n'applique pas la lecture d'empreintes systématiquement comme à #Glasgow ?? 
#xavierdupontdeligonnes est passé chez vous tranquille dans ses pantoufles , ya pas un problème GRAVE de sécurité quand même ??",Fri Oct 11 19:30:01 +0000 2019,La toons ☪,50831483,0,0
1182736651858173952,Et il passe tranquille les contrôles de sécurité @ParisAeroport ... ça va on est bien 😱 [LIEN],Fri Oct 11 19:16:06 +0000 2019,AG,572852830,0,0
1182736549827481601,Ça me fume le gars CDG c’est grave la cour de récré @ParisAeroport [LIEN],Fri Oct 11 19:15:42 +0000 2019,pastrami sandwich,3406059111,0,1
1182736437977997317,À @ParisAeroport de Roissy un gars comme Dupont de Ligonnès avait un faux passeport et faut qu'il arrive à #Glasgow pour qu'il s'aperçoit que celui ci et faux bravo hein en faire on rentre et sort comme on veut porte ouverte à tous même les terroristes alors 🤬🤬🤬🤬🤬 #honteux,Fri Oct 11 19:15:15 +0000 2019,Loic Bellec,3302074959,0,0
1182735451418968064,"Si son identité est bien confirmée, comment l’homme le plus recherché de France a t’il réussi à passer tous les contrôles de sécurité à @ParisAeroport ?",Fri Oct 11 19:11:20 +0000 2019,cycycro,4267635736,0,0
1182734614449799170,Merci @AirFranceFR et @ParisAeroport pour ce plaisir du vendredi soir... 30’ de retard à l’arrivée et pas de personnel pour activer la passerelle 😡🤬😡,Fri Oct 11 19:08:00 +0000 2019,Richard Wolff,126963204,0,0
1182734113205379073,"Donc le mec passe OKLM les contrôles de sécurité de Roissy ... 

Ça va @ParisAeroport ?

[LIEN]",Fri Oct 11 19:06:01 +0000 2019,brian 👨🏻‍💻,50827654,0,0
1182732027130470400,Donc @ParisAeroport je demande au serveur d’un point restau à Orly où jeter la mini bouteille de vin en verre qu’ils m’ont vendu on me répond « malheureusement on fait pas le tri ». Je suis un peu déçu quand même !,Fri Oct 11 18:57:44 +0000 2019,Hugo Marius,50860599,0,0
1182626902651133952,"#galerie 📸

Alors qu'il nous a quitté le #11Octobre 2018, revenons sur l'oeuvre de l'#architecte Paul Andreu, reconnu pour ses nombreuses réalisations aéroportuaires ! ✈️
🔻
[LIEN] #aéroport #teamarchi @ParisAeroport @AeroportNice #avion #architecture",Fri Oct 11 12:00:00 +0000 2019,Lumières de la ville,1961132515,2,2
1182604381373513728,". @ParisAeroport pourquoi le passage de la sécurité en Sky Priority est-il plus long que les autres passagers ? Pourquoi ne pas ouvrir un deuxième tube au minimum ? 
C’est visiblement plus long d’être prioritaire à #CDG 2E.",Fri Oct 11 10:30:30 +0000 2019,Dominique-William Jacson,238081931,1,0
1182596782469111808,"🍷 Bravo aux équipes d’#AirFrance qui proposent ce midi au salon du T2E (portes L) à @ParisAeroport (-CDG) une animation autour des vins et champagne de la cabine #Business 🥂 en présence de l’exceptionnel @BassoSommelier : entre plaisir 🧀 et partage, un moment sympathique 👏🏻 [LIEN]",Fri Oct 11 10:00:19 +0000 2019,The Travelers Club,2465772624,20,4
1182592651872391168,"oui 🇫🇷 (@ Paris Charles de Gaulle Airport - @parisaeroport in Roissy-en-France, Île-de-France) [LIEN]",Fri Oct 11 09:43:54 +0000 2019,🐼 kimiyomarieofficial,117987103,0,0
1182533781334450177,"L'agent de contrôle s'est moqué de moi parce que j'avais un pense bête écrit sur la main 😭 (@ Aéroport de Paris-Orly - @parisaeroport in Paray Vieille Poste, Île-de-France) [LIEN]",Fri Oct 11 05:49:58 +0000 2019,INGANG NO KIKI,48726916,0,0
1182525815701065728,"I'm at Terminal 1 - @parisaeroport in Mauregard, Île-de-France [LIEN]",Fri Oct 11 05:18:19 +0000 2019,asintdnb,14489391,0,0
