id,text,date,user,user_id,favorite_cnt,retweet_cnt
1183398490644369409,"prenez conscience de votre imbécilité crasse, @partisocialiste , @enmarchefr ! [LIEN]",Sun Oct 13 15:06:01 +0000 2019,Ricard Rene nomacron FXB,2317894100,0,0
1183371642870943745,Le @partisocialiste devrait s'en inspirer... mais il a perdu son âme et ne représente plus rien. [LIEN],Sun Oct 13 13:19:20 +0000 2019,Général d'Armagh《🕀》🇫🇷,948032205124759553,4,3
1183353312776728578,Retrouvez moi sur @CNEWS à 15h dans #carrefourdelinfo pour commenter l'actualité @partisocialiste [LIEN],Sun Oct 13 12:06:30 +0000 2019,Dieynaba Diop,3086395801,8,4
1183331801516912646,"Et Francis Heaulmes , vous y avez pensé pour la tête de liste à #METZ ?  @partisocialiste",Sun Oct 13 10:41:01 +0000 2019,SuperChiller,1113722962492973056,0,0
1183318693431910401,Les élections municipales de #venissieux s annoncent rock and roll le @partisocialiste demande a @LBKVenissieux de se coucher pour faire place a son adversaire @MichelePicardVx . Ira t il au bout de son projet ou va t il se soumettre a la kommandantur socialiste🤔,Sun Oct 13 09:48:56 +0000 2019,Minguettes+,2809616573,0,0
1183295494077984768,"Après la violente attaque contre cette maman par ce sombre et détestable parti politique, a t-on des nouvelles ou des commentaires du @partisocialiste, @enmarchefr, @gouvernementFR et les autres? [LIEN]",Sun Oct 13 08:16:45 +0000 2019,Rim-Sarah Alouane,1513828290,7,1
1183293328714018816,"La mort programmée des Ouvriers Français. On va former rapidement ces #migrants et leurs donner un salaire de misère. Les salaires ""exorbitants"" des Ouvriers Français ne pouvant plus rivaliser. Tout çà avec la COMPLICITÉ de la Gauche @partisocialiste @PCF @FranceInsoumise Bravo ! [LIEN]",Sun Oct 13 08:08:08 +0000 2019,Cébé 🇫🇷,467817388,2,2
1183262516643807232,"La secte socialiste s'appelle #EnMarche 

Forcément que le @partisocialiste disparaît 

#Macron a fait une opa et procède à un changement d'enseigne 

Mais les mêmes personnes ont les mêmes idées [LIEN]",Sun Oct 13 06:05:42 +0000 2019,Kir Royal _FQSP♦️,4359271156,0,1
1183143533856862209,"En même temps quand on voit la tête de ce con, on se demande comment il a pu rester longtemps au @partisocialiste ! #bondebarras [LIEN]",Sat Oct 12 22:12:54 +0000 2019,Gilles Johnson,63845775,0,0
1183142691007324161,Scandale à la #RégionBourgogne : la présidente ➡️ @partisocialiste @MarieGuiteDufay accepte une voilée ! [LIEN],Sat Oct 12 22:09:33 +0000 2019,⚜️❣️Daniel pilotte de la BAROLLIERE 🇵🇱 🇮🇱,2464135300,0,1
1183138836479696896,"Le @partisocialiste perd encore  des adhérents en 2019 !
[LIEN]",Sat Oct 12 21:54:14 +0000 2019,lolo27100,2494483731,0,0
1183093222572208130,"Bravo @LaREM_AN !
C'est ça votre conception de la démocratie et du pluralisme des idées ? 
Comme tous les gens de gauche (car vous venez tous du @partisocialiste) vous êtes totalitaires.
Et ne venez pas dire que ce qu'il dit est odieux.
De Gaulle ne disait pas autre chose... [LIEN]",Sat Oct 12 18:52:59 +0000 2019,AuBonTouiteFrançais,1533342582,57,26
1183075069964238848,"Bel exemple d'#UnionDeLaGauche à #Beauvais où :
@partisocialiste
@GenerationsMvt
@EELV 
@FranceInsoumise 
@PCF 
@Radicaux2Gauche 
font liste commune pour les #Municipales2020 !
#UnisPourGagner [LIEN] [LIEN]",Sat Oct 12 17:40:51 +0000 2019,Parti Socialiste 60,2361380287,6,3
1183048435638980609,"Soutien à @JulienOdoul et au @RN_BFC face à la provocation d'une femme voilée et à l'islamo-collaborationnisme de @MarieGuiteDufay la présidente @partisocialiste de la @bfc_region. Le @RNational_off c'est la résistance face à la lèpre islamiste.   
[LIEN]",Sat Oct 12 15:55:01 +0000 2019,Jean MESSIHA,456777022,1593,703
1183043075200966657,Les Socialistes du @Lot et de l’Aveyron reçoivent aujourd’hui @faureolivier 1er Secrétaire du @partisocialiste à Cajarc pour la Fête de la Rose [LIEN],Sat Oct 12 15:33:43 +0000 2019,Benjamin Combes,3335595477,5,1
1183040081273249793,"Excellent moment avec les camarades du #Lot pour  la fête de la rose du @partisocialiste du Lot en présence de : 

- @faureolivier
- @martinmalvy
- @VincentLabarthe
- @CombBen
- @MariePique46
- @bertrandcavalerie

#fetedelarose 
#engagement #militant [LIEN]",Sat Oct 12 15:21:49 +0000 2019,Geoffrey Sapin,123235966,16,6
1183017935020929025,"Ce compte n'engage en rien le @partisocialiste, mes prises de positions sont strictement personnelles. Lors de la campagne, j’ouvrirais un nouveau compte spécifique. Là, il est personnel. #Ethique #Responsabilitée #Objectif2020",Sat Oct 12 13:53:49 +0000 2019,Margaux VIDAL,536264475,1,0
1183004521217310720,Le @partisocialiste est responsable de cette guerre civile qui se profile [LIEN],Sat Oct 12 13:00:31 +0000 2019,Miaou_mix,1068258588299354112,1,0
1182996459928608768,Quel est le délais habituellement ? @partisocialiste [LIEN],Sat Oct 12 12:28:29 +0000 2019,Jean Bernard,295720467,0,0
1182991065009274880,"SIMPLE
On attend l'engagement solennel de tous les partis de gauche et de leurs représentants de refuser toutes invitations de CNEWS...
@PCF @GenerationsMvt @NPA_officiel @EELV @FranceInsoumise @partisocialiste [LIEN]",Sat Oct 12 12:07:03 +0000 2019,glaco #GaucheCannelle,560511564,0,0
