date,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Fri Sep 27 08:55:07 +0000 2019,,1177506946032652288,1177503288456908801,,"@Allok74 Bonjour, plus d'informations sont à venir lundi :)",Les Cinémas Pathé Gaumont,538089117
Thu Sep 26 13:52:47 +0000 2019,,1177219468541472768,1177218765584388096,,"@Margotinerie Bonjour, d'après notre équipe informatique, elle intervient lorsque vous commencez une réservation et essayer d'en finaliser une autre, avec la même carte, sur la même tranche horaire (changement de siège par ex). Normalement, en attendant 5 min que la 1ère session expire…",Les Cinémas Pathé Gaumont,538089117
Thu Sep 26 11:33:41 +0000 2019,,1177184462901272576,1177152990303739904,,"@BaptGouin Bonjour, nous attendons votre DM :)",Les Cinémas Pathé Gaumont,538089117
Wed Sep 25 12:57:52 +0000 2019,,1176843259018190848,1176837190455832577,,"@n0urs Bonjour, nous vous invitons à passer en DM avec notre service clients, en leur donnant toutes vos infos pour vérification.",Les Cinémas Pathé Gaumont,538089117
Wed Sep 25 10:49:47 +0000 2019,,1176811028048482305,1176574710232080386,,"@Alexander_R Bonjour, nous sommes navré pour ces désagréments. Si le problème persiste, nous vous invitons à contacter notre service client par DM en leur rappelant votre problème et vos références (nom et e-mail associé à votre compte fidélité) afin de vérifier. Merci.",Les Cinémas Pathé Gaumont,538089117
Wed Sep 25 10:31:12 +0000 2019,,1176806349067436032,1176756170901676032,,"@SpiritWolf___ Bonjour, nous sommes navré pour ce désagrément.  Nous vous invitons à contacter notre service client par DM en leur rappelant votre problème et vos références (nom et e-mail associé à votre compte fidélité) afin de vérifier. Merci.",Les Cinémas Pathé Gaumont,538089117
Wed Sep 25 10:30:00 +0000 2019,,1176806046402318336,1176797943233503233,,"@tinmarbrnt Bonjour, nous sommes navré pour ce désagrément.  Nous vous invitons à contacter notre service client par DM en leur rappelant votre problème et vos références (nom et e-mail associé à votre compte fidélité) afin de vérifier. Merci.",Les Cinémas Pathé Gaumont,538089117
Tue Sep 24 11:03:08 +0000 2019,,1176451999539367937,1176196143006539776,,"@MonsieurPoulpy Bonjour, malheureusement pas de nouvelles concernant une sortie dans notre réseau.",Les Cinémas Pathé Gaumont,538089117
Tue Sep 24 10:55:31 +0000 2019,,1176450081987411969,1176190914047488000,,"@julie_fund Bonjour, le site est toujours fermé pour rénovation. Réouverture prévue en 2020. Pour plus d'infos et être informée par e-mail : [LIEN]",Les Cinémas Pathé Gaumont,538089117
Tue Sep 24 10:52:53 +0000 2019,,1176449418423427072,1176167220780654592,,"@HAONYT Bonjour, nous n'avons pas d'information à ce sujet pour la France. Désolé.",Les Cinémas Pathé Gaumont,538089117
